モデル,項目（比較対象／基準）,調整オッズ比（95%信頼区間）
主モデル（大分類）,場合別1：休憩時間（対 課外指導）,0.98 (0.81–1.18)
主モデル（大分類）,場合別1：各教科等（対 課外指導）,0.76 (0.64–0.90)
主モデル（大分類）,場合別1：学校行事（対 課外指導）,1.02 (0.78–1.34)
主モデル（大分類）,場合別1：特別活動（除学校行事）（対 課外指導）,1.20 (0.88–1.63)
主モデル（大分類）,場合別1：通学中（対 課外指導）,3.05 (2.51–3.71)
主モデル（大分類）,被災学校種：中（対 高）,0.50 (0.44–0.58)
主モデル（大分類）,被災学校種：小（対 高）,0.33 (0.27–0.40)
主モデル（大分類）,被災学校種：特中（対 高）,1.44 (0.72–2.87)
主モデル（大分類）,被災学校種：特高（対 高）,1.55 (0.97–2.48)
主モデル（大分類）,被災学校種：高専（対 高）,0.70 (0.34–1.47)
主モデル（大分類）,性別：女（対 男）,0.91 (0.79–1.04)
主モデル（大分類）,給付年度（西暦換算・標準化）,0.81 (0.77–0.86)
詳細活動モデル,場合別2：その他（対 体育的部活動）,0.62 (0.29–1.35)
詳細活動モデル,場合別2：その他の教科（対 体育的部活動）,0.52 (0.31–0.87)
詳細活動モデル,場合別2：その他学級活動（対 体育的部活動）,1.25 (0.53–3.00)
詳細活動モデル,場合別2：その他集団宿泊的行事（対 体育的部活動）,1.13 (0.58–2.20)
詳細活動モデル,場合別2：下校（降園）中（対 体育的部活動）,3.02 (2.34–3.89)
詳細活動モデル,場合別2：休憩時間中（対 体育的部活動）,0.96 (0.74–1.25)
詳細活動モデル,場合別2：体育（保健体育）（対 体育的部活動）,0.85 (0.70–1.02)
詳細活動モデル,場合別2：修学旅行（対 体育的部活動）,0.69 (0.28–1.74)
詳細活動モデル,場合別2：始業前の特定時間中（対 体育的部活動）,0.79 (0.50–1.24)
詳細活動モデル,場合別2：学級（ホームルーム）活動（対 体育的部活動）,0.74 (0.38–1.42)
詳細活動モデル,場合別2：授業終了後の特定時間中（対 体育的部活動）,1.16 (0.84–1.59)
詳細活動モデル,場合別2：文化的部活動（対 体育的部活動）,0.62 (0.27–1.40)
詳細活動モデル,場合別2：日常の清掃（対 体育的部活動）,1.43 (0.91–2.26)
詳細活動モデル,場合別2：昼食時休憩時間中（対 体育的部活動）,0.89 (0.68–1.18)
詳細活動モデル,場合別2：登校（登園）中（対 体育的部活動）,3.01 (2.28–3.95)
詳細活動モデル,場合別2：競技大会・球技大会（対 体育的部活動）,0.65 (0.36–1.18)
詳細活動モデル,場合別2：給食指導（対 体育的部活動）,0.61 (0.24–1.56)
詳細活動モデル,場合別2：総合的な学習の時間（対 体育的部活動）,0.95 (0.42–2.18)
詳細活動モデル,場合別2：運動会・体育祭（対 体育的部活動）,1.18 (0.70–1.99)
詳細活動モデル,場合別2：遠足（対 体育的部活動）,2.76 (1.29–5.87)
詳細活動モデル,被災学校種：中（対 高）,0.50 (0.43–0.58)
詳細活動モデル,被災学校種：小（対 高）,0.34 (0.28–0.41)
詳細活動モデル,被災学校種：特中（対 高）,1.52 (0.75–3.07)
詳細活動モデル,被災学校種：特高（対 高）,1.77 (1.09–2.86)
詳細活動モデル,被災学校種：高専（対 高）,0.73 (0.35–1.53)
詳細活動モデル,性別：女（対 男）,0.92 (0.80–1.05)
詳細活動モデル,給付年度（西暦換算・標準化）,0.81 (0.77–0.86)
通学中サブグループ,通学方法：徒歩（対 自転車）,0.35 (0.18–0.69)
通学中サブグループ,発生場所2（二値）：道路以外（対 道路）,0.48 (0.19–1.20)
通学中サブグループ,被災学校種：中（対 高）,0.83 (0.52–1.33)
通学中サブグループ,被災学校種：小（対 高）,0.38 (0.18–0.84)
通学中サブグループ,性別：女（対 男）,1.09 (0.74–1.60)
通学中サブグループ,給付年度（西暦換算・標準化）,0.82 (0.69–0.99)
