複数ラベル語彙検出,群,対象件数,検出件数,検出割合（％）
転倒・つまずき,歯牙障害,262,201,76.7175572519084
衝突・接触,歯牙障害,262,62,23.66412213740458
転落・落下,歯牙障害,262,47,17.938931297709924
車両関与,歯牙障害,262,36,13.740458015267176
路面と接触,歯牙障害,262,100,38.16793893129771
構造物と接触,歯牙障害,262,50,19.083969465648856
人と接触,歯牙障害,262,47,17.938931297709924
前歯部の記載,歯牙障害,262,106,40.458015267175576
歯牙の記載,歯牙障害,262,157,59.92366412213741
口腔・口唇の記載,歯牙障害,262,22,8.396946564885496
顔面・顎の記載,歯牙障害,262,143,54.58015267175572
ヘルメットの記載,歯牙障害,262,0,0.0
マウスガードの記載,歯牙障害,262,0,0.0
速度関与,歯牙障害,262,47,17.938931297709924
雨・湿潤路面,歯牙障害,262,17,6.488549618320611
ブレーキ・操作,歯牙障害,262,47,17.938931297709924
