複数ラベル語彙検出,群,対象件数,検出件数,検出割合（％）
転倒・つまずき,全体,590,372,63.05084745762712
転倒・つまずき,歯牙障害,262,201,76.7175572519084
転倒・つまずき,歯牙障害以外,328,171,52.13414634146341
衝突・接触,全体,590,148,25.08474576271186
衝突・接触,歯牙障害,262,62,23.66412213740458
衝突・接触,歯牙障害以外,328,86,26.21951219512195
転落・落下,全体,590,105,17.796610169491526
転落・落下,歯牙障害,262,47,17.938931297709924
転落・落下,歯牙障害以外,328,58,17.682926829268293
車両関与,全体,590,96,16.271186440677965
車両関与,歯牙障害,262,36,13.740458015267176
車両関与,歯牙障害以外,328,60,18.29268292682927
路面と接触,全体,590,192,32.54237288135593
路面と接触,歯牙障害,262,100,38.16793893129771
路面と接触,歯牙障害以外,328,92,28.04878048780488
構造物と接触,全体,590,101,17.11864406779661
構造物と接触,歯牙障害,262,50,19.083969465648856
構造物と接触,歯牙障害以外,328,51,15.548780487804878
人と接触,全体,590,177,30.0
人と接触,歯牙障害,262,47,17.938931297709924
人と接触,歯牙障害以外,328,130,39.63414634146341
前歯部の記載,全体,590,非表示（補完防止）,非表示（補完防止）
前歯部の記載,歯牙障害,262,非表示（補完防止）,非表示（補完防止）
前歯部の記載,歯牙障害以外,328,非表示（補完防止）,非表示（補完防止）
歯牙の記載,全体,590,165,27.966101694915253
歯牙の記載,歯牙障害,262,157,59.92366412213741
歯牙の記載,歯牙障害以外,328,8,2.4390243902439024
口腔・口唇の記載,全体,590,29,4.915254237288136
口腔・口唇の記載,歯牙障害,262,22,8.396946564885496
口腔・口唇の記載,歯牙障害以外,328,7,2.1341463414634148
顔面・顎の記載,全体,590,233,39.49152542372881
顔面・顎の記載,歯牙障害,262,143,54.58015267175572
顔面・顎の記載,歯牙障害以外,328,90,27.439024390243905
ヘルメットの記載,全体,590,非表示（補完防止）,非表示（補完防止）
ヘルメットの記載,歯牙障害,262,非表示（補完防止）,非表示（補完防止）
ヘルメットの記載,歯牙障害以外,328,非表示（補完防止）,非表示（補完防止）
マウスガードの記載,全体,590,0,0.0
マウスガードの記載,歯牙障害,262,0,0.0
マウスガードの記載,歯牙障害以外,328,0,0.0
速度関与,全体,590,83,14.067796610169491
速度関与,歯牙障害,262,47,17.938931297709924
速度関与,歯牙障害以外,328,36,10.975609756097562
雨・湿潤路面,全体,590,39,6.610169491525424
雨・湿潤路面,歯牙障害,262,17,6.488549618320611
雨・湿潤路面,歯牙障害以外,328,22,6.707317073170732
ブレーキ・操作,全体,590,91,15.423728813559324
ブレーキ・操作,歯牙障害,262,47,17.938931297709924
ブレーキ・操作,歯牙障害以外,328,44,13.414634146341465
