順位,発生場所1,発生場所2,件数,割合（％）,全体件数
1,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,2719,35.39,7682
2,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,1252,16.3,7682
3,学校内・校舎内（園内・園舎内）,教室（保育室）,782,10.18,7682
4,学校外（園外）,道路,616,8.02,7682
5,学校外（園外）,学校外運動場・競技場,493,6.42,7682
6,学校内・校舎内（園内・園舎内）,廊下,488,6.35,7682
7,学校外（園外）,その他,176,2.29,7682
8,学校外（園外）,学校外体育館,173,2.25,7682
9,学校内・校舎内（園内・園舎内）,実習実験室,160,2.08,7682
10,学校内・校舎内（園内・園舎内）,階段,119,1.55,7682
11,学校内・校舎内（園内・園舎内）,その他,112,1.46,7682
12,学校内・校舎外（園内・園舎外）,プール,108,1.41,7682
13,学校内・校舎内（園内・園舎内）,昇降口・玄関,102,1.33,7682
14,学校内・校舎外（園内・園舎外）,その他,91,1.18,7682
15,学校外（園外）,山林野（含スキー場）,66,0.86,7682
16,学校外（園外）,公園・遊園地,53,0.69,7682
17,学校内・校舎内（園内・園舎内）,便所,51,0.66,7682
18,学校内・校舎内（園内・園舎内）,遊戯室,29,0.38,7682
19,学校内・校舎内（園内・園舎内）,講堂,18,0.23,7682
20,学校内・校舎内（園内・園舎内）,ベランダ,17,0.22,7682
21,学校外（園外）,海・湖・沼・池,17,0.22,7682
22,学校外（園外）,河川,14,0.18,7682
23,学校外（園外）,運動場・校庭（園庭）,7,0.09,7682
24,学校内・校舎外（園内・園舎外）,農場,7,0.09,7682
25,学校内・校舎内（園内・園舎内）,屋上,3,0.04,7682
26,学校内・校舎外（園内・園舎外）,手足洗場,3,0.04,7682
27,学校内・校舎外（園内・園舎外）,排水溝,2,0.03,7682
28,学校内・校舎外（園内・園舎外）,水飲み場,2,0.03,7682
29,学校外（園外）,公園,1,0.01,7682
30,学校内・校舎外（園内・園舎外）,遊戯室,1,0.01,7682
