順位,場合別1,場合別2,件数,割合（％）,全体件数
1,課外指導,体育的部活動,2755,35.86,7682
2,各教科等,体育（保健体育）,1087,14.15,7682
3,休憩時間,休憩時間中,632,8.23,7682
4,休憩時間,昼食時休憩時間中,528,6.87,7682
5,保育中,欠損,380,4.95,7682
6,通学中,下校（降園）中,319,4.15,7682
7,休憩時間,授業終了後の特定時間中,285,3.71,7682
8,通学中,登校（登園）中,249,3.24,7682
9,休憩時間,始業前の特定時間中,199,2.59,7682
10,各教科等,その他の教科,158,2.06,7682
11,特別活動（除学校行事）,日常の清掃,129,1.68,7682
12,学校行事,運動会・体育祭,88,1.15,7682
13,特別活動（除学校行事）,学級（ホームルーム）活動,88,1.15,7682
14,学校行事,競技大会・球技大会,77,1.0,7682
15,特別活動（除学校行事）,給食指導,55,0.72,7682
16,学校行事,その他集団宿泊的行事,55,0.72,7682
17,課外指導,文化的部活動,48,0.62,7682
18,各教科等,理科,46,0.6,7682
19,各教科等,総合的な学習の時間,46,0.6,7682
20,各教科等,家庭（技術・家庭）,39,0.51,7682
21,学校行事,遠足,33,0.43,7682
22,特別活動（除学校行事）,その他学級活動,31,0.4,7682
23,課外指導,その他,31,0.4,7682
24,学校行事,修学旅行,30,0.39,7682
25,学校行事,文化的行事,27,0.35,7682
26,学校行事,その他健康安全・体育的行事,26,0.34,7682
27,各教科等,図画工作（美術）,25,0.33,7682
28,各教科等,自立活動,24,0.31,7682
29,寄宿舎にあるとき,欠損,23,0.3,7682
30,通学中,通学（通園）に準ずるとき,22,0.29,7682
31,各教科等,工業,21,0.27,7682
32,特別活動（除学校行事）,体育的クラブ活動,20,0.26,7682
33,特別活動（除学校行事）,児童（生徒・学生）会活動,19,0.25,7682
34,特別活動（除学校行事）,その他,16,0.21,7682
35,学校行事,大掃除,13,0.17,7682
36,学校行事,その他,12,0.16,7682
37,課外指導,水泳指導,10,0.13,7682
38,各教科等,農業,9,0.12,7682
39,学校行事,その他儀式的行事,8,0.1,7682
40,特別活動（除学校行事）,文化的クラブ活動,7,0.09,7682
41,学校行事,勤労生産・奉仕的行事,6,0.08,7682
42,各教科等,その他,3,0.04,7682
43,課外指導,林間学校,2,0.03,7682
44,各教科等,道徳,1,0.01,7682
