順位,競技種目,件数,割合（％）,全体件数
1,欠損,3759,48.93,7682
2,野球（含軟式）,1117,14.54,7682
3,サッカー・フットサル,500,6.51,7682
4,バスケットボール,345,4.49,7682
5,ソフトボール,213,2.77,7682
6,バレーボール,158,2.06,7682
7,柔道,142,1.85,7682
8,バドミントン,137,1.78,7682
9,その他,127,1.65,7682
10,テニス（含ソフトテニス）,111,1.44,7682
11,ラグビー,104,1.35,7682
12,水泳,93,1.21,7682
13,持久走・長距離走,91,1.18,7682
14,マット運動,83,1.08,7682
15,ハンドボール,67,0.87,7682
16,跳箱運動,63,0.82,7682
17,球技（その他）,45,0.59,7682
18,卓球,39,0.51,7682
19,体操（組体操）,39,0.51,7682
20,短距離走,37,0.48,7682
21,鉄棒運動,35,0.46,7682
22,走り高跳び,35,0.46,7682
23,陸上競技（その他）,34,0.44,7682
24,準備・整理運動,33,0.43,7682
25,剣道,30,0.39,7682
26,ホッケー,27,0.35,7682
27,体操（その他）,24,0.31,7682
28,ドッジボール,23,0.3,7682
29,スキー,19,0.25,7682
30,投てき,18,0.23,7682
31,自転車競技,14,0.18,7682
32,レスリング,12,0.16,7682
33,空手,12,0.16,7682
34,ボクシング,12,0.16,7682
35,筋力トレーニング,11,0.14,7682
36,障害走（ハードル）,11,0.14,7682
37,相撲,10,0.13,7682
38,走り幅跳び,10,0.13,7682
39,弓道,9,0.12,7682
40,縄跳び,7,0.09,7682
41,器械体操・新体操（その他）,7,0.09,7682
42,ポートボール,4,0.05,7682
43,スケート,3,0.04,7682
44,武道等（その他）,3,0.04,7682
45,運動なし,3,0.04,7682
46,登山,2,0.03,7682
47,ヨット,2,0.03,7682
48,準備運動等,1,0.01,7682
49,自転車競技部,1,0.01,7682
