種別,被災学校種,被災学年,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,中,2,27,17.53,0.35,1,154,7682
せき柱障害,高,1,24,15.58,0.31,2,154,7682
せき柱障害,高,2,24,15.58,0.31,2,154,7682
せき柱障害,中,3,20,12.99,0.26,4,154,7682
せき柱障害,小,5,14,9.09,0.18,5,154,7682
せき柱障害,中,1,12,7.79,0.16,6,154,7682
せき柱障害,小,6,11,7.14,0.14,7,154,7682
せき柱障害,高,3,11,7.14,0.14,7,154,7682
せき柱障害,小,4,5,3.25,0.07,9,154,7682
せき柱障害,小,3,2,1.3,0.03,10,154,7682
せき柱障害,幼,5,1,0.65,0.01,11,154,7682
せき柱障害,幼連,6,1,0.65,0.01,11,154,7682
せき柱障害,特小,6,1,0.65,0.01,11,154,7682
せき柱障害,特高,1,1,0.65,0.01,11,154,7682
そしゃく機能障害,高,2,4,20.0,0.05,1,20,7682
そしゃく機能障害,中,3,3,15.0,0.04,2,20,7682
そしゃく機能障害,小,2,3,15.0,0.04,2,20,7682
そしゃく機能障害,中,1,2,10.0,0.03,4,20,7682
そしゃく機能障害,高,1,2,10.0,0.03,4,20,7682
そしゃく機能障害,小,1,1,5.0,0.01,6,20,7682
そしゃく機能障害,小,4,1,5.0,0.01,6,20,7682
そしゃく機能障害,幼,5,1,5.0,0.01,6,20,7682
そしゃく機能障害,特高,1,1,5.0,0.01,6,20,7682
そしゃく機能障害,特高,2,1,5.0,0.01,6,20,7682
そしゃく機能障害,高,3,1,5.0,0.01,6,20,7682
上肢切断・機能障害,中,2,29,13.36,0.38,1,217,7682
上肢切断・機能障害,中,1,20,9.22,0.26,2,217,7682
上肢切断・機能障害,高,1,20,9.22,0.26,2,217,7682
上肢切断・機能障害,中,3,19,8.76,0.25,4,217,7682
上肢切断・機能障害,高,2,19,8.76,0.25,4,217,7682
上肢切断・機能障害,小,6,18,8.29,0.23,6,217,7682
上肢切断・機能障害,高,3,18,8.29,0.23,6,217,7682
上肢切断・機能障害,小,3,13,5.99,0.17,8,217,7682
上肢切断・機能障害,小,5,13,5.99,0.17,8,217,7682
上肢切断・機能障害,小,2,11,5.07,0.14,10,217,7682
上肢切断・機能障害,小,4,10,4.61,0.13,11,217,7682
上肢切断・機能障害,保,4,6,2.76,0.08,12,217,7682
上肢切断・機能障害,小,1,6,2.76,0.08,12,217,7682
上肢切断・機能障害,特高,1,3,1.38,0.04,14,217,7682
上肢切断・機能障害,幼,5,2,0.92,0.03,15,217,7682
上肢切断・機能障害,特中,2,2,0.92,0.03,15,217,7682
上肢切断・機能障害,特高,2,2,0.92,0.03,15,217,7682
上肢切断・機能障害,保,1,1,0.46,0.01,18,217,7682
上肢切断・機能障害,保,2,1,0.46,0.01,18,217,7682
上肢切断・機能障害,保,5,1,0.46,0.01,18,217,7682
上肢切断・機能障害,幼,3,1,0.46,0.01,18,217,7682
上肢切断・機能障害,幼,4,1,0.46,0.01,18,217,7682
上肢切断・機能障害,幼,6,1,0.46,0.01,18,217,7682
下肢切断・機能障害,高,2,24,15.19,0.31,1,158,7682
