種別,発生場所1,発生場所2,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,75,48.7,0.98,1,154,7682
せき柱障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,26,16.88,0.34,2,154,7682
せき柱障害,学校内・校舎外（園内・園舎外）,プール,9,5.84,0.12,3,154,7682
せき柱障害,学校内・校舎内（園内・園舎内）,教室（保育室）,8,5.19,0.1,4,154,7682
せき柱障害,学校外（園外）,その他,7,4.55,0.09,5,154,7682
せき柱障害,学校内・校舎内（園内・園舎内）,ベランダ,4,2.6,0.05,6,154,7682
せき柱障害,学校内・校舎内（園内・園舎内）,廊下,4,2.6,0.05,6,154,7682
せき柱障害,学校外（園外）,学校外運動場・競技場,4,2.6,0.05,6,154,7682
せき柱障害,学校外（園外）,道路,4,2.6,0.05,6,154,7682
せき柱障害,学校内・校舎外（園内・園舎外）,その他,3,1.95,0.04,10,154,7682
せき柱障害,学校外（園外）,学校外体育館,3,1.95,0.04,10,154,7682
せき柱障害,学校内・校舎内（園内・園舎内）,その他,2,1.3,0.03,12,154,7682
せき柱障害,学校内・校舎内（園内・園舎内）,階段,2,1.3,0.03,12,154,7682
せき柱障害,学校内・校舎内（園内・園舎内）,遊戯室,1,0.65,0.01,14,154,7682
せき柱障害,学校外（園外）,山林野（含スキー場）,1,0.65,0.01,14,154,7682
せき柱障害,学校外（園外）,運動場・校庭（園庭）,1,0.65,0.01,14,154,7682
そしゃく機能障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,8,40.0,0.1,1,20,7682
そしゃく機能障害,学校内・校舎内（園内・園舎内）,教室（保育室）,4,20.0,0.05,2,20,7682
そしゃく機能障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,3,15.0,0.04,3,20,7682
そしゃく機能障害,学校内・校舎内（園内・園舎内）,廊下,1,5.0,0.01,4,20,7682
そしゃく機能障害,学校内・校舎内（園内・園舎内）,階段,1,5.0,0.01,4,20,7682
そしゃく機能障害,学校外（園外）,その他,1,5.0,0.01,4,20,7682
そしゃく機能障害,学校外（園外）,学校外体育館,1,5.0,0.01,4,20,7682
そしゃく機能障害,学校外（園外）,道路,1,5.0,0.01,4,20,7682
上肢切断・機能障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,64,29.49,0.83,1,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,51,23.5,0.66,2,217,7682
上肢切断・機能障害,学校外（園外）,道路,24,11.06,0.31,3,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,教室（保育室）,20,9.22,0.26,4,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,廊下,12,5.53,0.16,5,217,7682
上肢切断・機能障害,学校外（園外）,学校外運動場・競技場,12,5.53,0.16,5,217,7682
上肢切断・機能障害,学校外（園外）,学校外体育館,9,4.15,0.12,7,217,7682
上肢切断・機能障害,学校内・校舎外（園内・園舎外）,その他,5,2.3,0.07,8,217,7682
上肢切断・機能障害,学校外（園外）,その他,4,1.84,0.05,9,217,7682
上肢切断・機能障害,学校外（園外）,公園・遊園地,4,1.84,0.05,9,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,その他,3,1.38,0.04,11,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,実習実験室,2,0.92,0.03,12,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,昇降口・玄関,2,0.92,0.03,12,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,階段,2,0.92,0.03,12,217,7682
上肢切断・機能障害,学校内・校舎内（園内・園舎内）,遊戯室,1,0.46,0.01,15,217,7682
上肢切断・機能障害,学校内・校舎外（園内・園舎外）,手足洗場,1,0.46,0.01,15,217,7682
上肢切断・機能障害,学校外（園外）,山林野（含スキー場）,1,0.46,0.01,15,217,7682
下肢切断・機能障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,51,32.28,0.66,1,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,28,17.72,0.36,2,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,教室（保育室）,12,7.59,0.16,3,158,7682
下肢切断・機能障害,学校外（園外）,学校外運動場・競技場,12,7.59,0.16,3,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,階段,8,5.06,0.1,5,158,7682
下肢切断・機能障害,学校外（園外）,その他,8,5.06,0.1,5,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,廊下,7,4.43,0.09,7,158,7682
下肢切断・機能障害,学校外（園外）,学校外体育館,7,4.43,0.09,7,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,その他,5,3.16,0.07,9,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,昇降口・玄関,4,2.53,0.05,10,158,7682
下肢切断・機能障害,学校外（園外）,山林野（含スキー場）,4,2.53,0.05,10,158,7682
