種別,場合別1,場合別2,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,各教科等,体育（保健体育）,66,42.86,0.86,1,154,7682
せき柱障害,課外指導,体育的部活動,38,24.68,0.49,2,154,7682
せき柱障害,休憩時間,昼食時休憩時間中,9,5.84,0.12,3,154,7682
せき柱障害,休憩時間,休憩時間中,8,5.19,0.1,4,154,7682
せき柱障害,休憩時間,授業終了後の特定時間中,6,3.9,0.08,5,154,7682
せき柱障害,休憩時間,始業前の特定時間中,3,1.95,0.04,6,154,7682
せき柱障害,通学中,登校（登園）中,3,1.95,0.04,6,154,7682
せき柱障害,保育中,欠損,2,1.3,0.03,8,154,7682
せき柱障害,学校行事,その他集団宿泊的行事,2,1.3,0.03,8,154,7682
せき柱障害,学校行事,運動会・体育祭,2,1.3,0.03,8,154,7682
せき柱障害,特別活動（除学校行事）,学級（ホームルーム）活動,2,1.3,0.03,8,154,7682
せき柱障害,特別活動（除学校行事）,給食指導,2,1.3,0.03,8,154,7682
せき柱障害,各教科等,その他の教科,1,0.65,0.01,13,154,7682
せき柱障害,各教科等,家庭（技術・家庭）,1,0.65,0.01,13,154,7682
せき柱障害,各教科等,総合的な学習の時間,1,0.65,0.01,13,154,7682
せき柱障害,学校行事,その他健康安全・体育的行事,1,0.65,0.01,13,154,7682
せき柱障害,学校行事,その他儀式的行事,1,0.65,0.01,13,154,7682
せき柱障害,学校行事,修学旅行,1,0.65,0.01,13,154,7682
せき柱障害,学校行事,大掃除,1,0.65,0.01,13,154,7682
せき柱障害,学校行事,文化的行事,1,0.65,0.01,13,154,7682
せき柱障害,学校行事,競技大会・球技大会,1,0.65,0.01,13,154,7682
せき柱障害,課外指導,文化的部活動,1,0.65,0.01,13,154,7682
せき柱障害,通学中,下校（降園）中,1,0.65,0.01,13,154,7682
そしゃく機能障害,課外指導,体育的部活動,6,30.0,0.08,1,20,7682
そしゃく機能障害,各教科等,体育（保健体育）,4,20.0,0.05,2,20,7682
そしゃく機能障害,休憩時間,授業終了後の特定時間中,3,15.0,0.04,3,20,7682
そしゃく機能障害,休憩時間,休憩時間中,2,10.0,0.03,4,20,7682
そしゃく機能障害,特別活動（除学校行事）,給食指導,2,10.0,0.03,4,20,7682
そしゃく機能障害,保育中,欠損,1,5.0,0.01,6,20,7682
そしゃく機能障害,各教科等,自立活動,1,5.0,0.01,6,20,7682
そしゃく機能障害,通学中,下校（降園）中,1,5.0,0.01,6,20,7682
上肢切断・機能障害,各教科等,体育（保健体育）,62,28.57,0.81,1,217,7682
上肢切断・機能障害,課外指導,体育的部活動,45,20.74,0.59,2,217,7682
上肢切断・機能障害,休憩時間,休憩時間中,16,7.37,0.21,3,217,7682
上肢切断・機能障害,通学中,下校（降園）中,15,6.91,0.2,4,217,7682
上肢切断・機能障害,保育中,欠損,14,6.45,0.18,5,217,7682
上肢切断・機能障害,休憩時間,昼食時休憩時間中,12,5.53,0.16,6,217,7682
上肢切断・機能障害,通学中,登校（登園）中,10,4.61,0.13,7,217,7682
上肢切断・機能障害,各教科等,その他の教科,9,4.15,0.12,8,217,7682
上肢切断・機能障害,休憩時間,授業終了後の特定時間中,7,3.23,0.09,9,217,7682
上肢切断・機能障害,休憩時間,始業前の特定時間中,4,1.84,0.05,10,217,7682
上肢切断・機能障害,学校行事,運動会・体育祭,3,1.38,0.04,11,217,7682
上肢切断・機能障害,特別活動（除学校行事）,学級（ホームルーム）活動,3,1.38,0.04,11,217,7682
上肢切断・機能障害,各教科等,家庭（技術・家庭）,2,0.92,0.03,13,217,7682
上肢切断・機能障害,学校行事,競技大会・球技大会,2,0.92,0.03,13,217,7682
上肢切断・機能障害,学校行事,遠足,2,0.92,0.03,13,217,7682
上肢切断・機能障害,寄宿舎にあるとき,欠損,2,0.92,0.03,13,217,7682
上肢切断・機能障害,特別活動（除学校行事）,日常の清掃,2,0.92,0.03,13,217,7682
上肢切断・機能障害,学校行事,その他健康安全・体育的行事,1,0.46,0.01,18,217,7682
上肢切断・機能障害,学校行事,その他集団宿泊的行事,1,0.46,0.01,18,217,7682
上肢切断・機能障害,学校行事,修学旅行,1,0.46,0.01,18,217,7682
上肢切断・機能障害,学校行事,大掃除,1,0.46,0.01,18,217,7682
上肢切断・機能障害,特別活動（除学校行事）,体育的クラブ活動,1,0.46,0.01,18,217,7682
上肢切断・機能障害,特別活動（除学校行事）,給食指導,1,0.46,0.01,18,217,7682
上肢切断・機能障害,課外指導,その他,1,0.46,0.01,18,217,7682
下肢切断・機能障害,課外指導,体育的部活動,52,32.91,0.68,1,158,7682
下肢切断・機能障害,各教科等,体育（保健体育）,24,15.19,0.31,2,158,7682
下肢切断・機能障害,休憩時間,昼食時休憩時間中,14,8.86,0.18,3,158,7682
下肢切断・機能障害,休憩時間,休憩時間中,13,8.23,0.17,4,158,7682
下肢切断・機能障害,休憩時間,始業前の特定時間中,8,5.06,0.1,5,158,7682
下肢切断・機能障害,保育中,欠損,6,3.8,0.08,6,158,7682
下肢切断・機能障害,各教科等,自立活動,6,3.8,0.08,6,158,7682
下肢切断・機能障害,休憩時間,授業終了後の特定時間中,5,3.16,0.07,8,158,7682
下肢切断・機能障害,各教科等,その他の教科,5,3.16,0.07,8,158,7682
下肢切断・機能障害,学校行事,運動会・体育祭,4,2.53,0.05,10,158,7682
下肢切断・機能障害,特別活動（除学校行事）,その他,3,1.9,0.04,11,158,7682
下肢切断・機能障害,通学中,登校（登園）中,3,1.9,0.04,11,158,7682
下肢切断・機能障害,学校行事,遠足,2,1.27,0.03,13,158,7682
下肢切断・機能障害,通学中,下校（降園）中,2,1.27,0.03,13,158,7682
下肢切断・機能障害,各教科等,理科,1,0.63,0.01,15,158,7682
下肢切断・機能障害,学校行事,その他健康安全・体育的行事,1,0.63,0.01,15,158,7682
下肢切断・機能障害,学校行事,その他集団宿泊的行事,1,0.63,0.01,15,158,7682
下肢切断・機能障害,学校行事,修学旅行,1,0.63,0.01,15,158,7682
下肢切断・機能障害,学校行事,競技大会・球技大会,1,0.63,0.01,15,158,7682
下肢切断・機能障害,寄宿舎にあるとき,欠損,1,0.63,0.01,15,158,7682
下肢切断・機能障害,特別活動（除学校行事）,学級（ホームルーム）活動,1,0.63,0.01,15,158,7682
下肢切断・機能障害,特別活動（除学校行事）,日常の清掃,1,0.63,0.01,15,158,7682
下肢切断・機能障害,特別活動（除学校行事）,給食指導,1,0.63,0.01,15,158,7682
下肢切断・機能障害,課外指導,その他,1,0.63,0.01,15,158,7682
下肢切断・機能障害,課外指導,文化的部活動,1,0.63,0.01,15,158,7682
外貌・露出部分の醜状障害,保育中,欠損,265,14.39,3.45,1,1841,7682
外貌・露出部分の醜状障害,課外指導,体育的部活動,250,13.58,3.25,2,1841,7682
外貌・露出部分の醜状障害,休憩時間,休憩時間中,235,12.76,3.06,3,1841,7682
外貌・露出部分の醜状障害,休憩時間,昼食時休憩時間中,189,10.27,2.46,4,1841,7682
外貌・露出部分の醜状障害,各教科等,体育（保健体育）,179,9.72,2.33,5,1841,7682
外貌・露出部分の醜状障害,休憩時間,授業終了後の特定時間中,104,5.65,1.35,6,1841,7682
外貌・露出部分の醜状障害,通学中,下校（降園）中,87,4.73,1.13,7,1841,7682
外貌・露出部分の醜状障害,休憩時間,始業前の特定時間中,81,4.4,1.05,8,1841,7682
外貌・露出部分の醜状障害,通学中,登校（登園）中,73,3.97,0.95,9,1841,7682
外貌・露出部分の醜状障害,各教科等,その他の教科,50,2.72,0.65,10,1841,7682
外貌・露出部分の醜状障害,特別活動（除学校行事）,日常の清掃,40,2.17,0.52,11,1841,7682
外貌・露出部分の醜状障害,特別活動（除学校行事）,学級（ホームルーム）活動,35,1.9,0.46,12,1841,7682
外貌・露出部分の醜状障害,各教科等,家庭（技術・家庭）,21,1.14,0.27,13,1841,7682
外貌・露出部分の醜状障害,各教科等,理科,20,1.09,0.26,14,1841,7682
外貌・露出部分の醜状障害,学校行事,その他集団宿泊的行事,20,1.09,0.26,14,1841,7682
外貌・露出部分の醜状障害,学校行事,運動会・体育祭,19,1.03,0.25,16,1841,7682
外貌・露出部分の醜状障害,各教科等,総合的な学習の時間,18,0.98,0.23,17,1841,7682
外貌・露出部分の醜状障害,特別活動（除学校行事）,給食指導,17,0.92,0.22,18,1841,7682
外貌・露出部分の醜状障害,課外指導,文化的部活動,16,0.87,0.21,19,1841,7682
外貌・露出部分の醜状障害,課外指導,その他,13,0.71,0.17,20,1841,7682
外貌・露出部分の醜状障害,学校行事,その他健康安全・体育的行事,11,0.6,0.14,21,1841,7682
外貌・露出部分の醜状障害,学校行事,遠足,9,0.49,0.12,22,1841,7682
外貌・露出部分の醜状障害,特別活動（除学校行事）,その他学級活動,9,0.49,0.12,22,1841,7682
外貌・露出部分の醜状障害,各教科等,図画工作（美術）,8,0.43,0.1,24,1841,7682
外貌・露出部分の醜状障害,特別活動（除学校行事）,児童（生徒・学生）会活動,8,0.43,0.1,24,1841,7682
