種別,競技種目,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,欠損,50,32.47,0.65,1,154,7682
せき柱障害,マット運動,31,20.13,0.4,2,154,7682
せき柱障害,跳箱運動,12,7.79,0.16,3,154,7682
せき柱障害,水泳,9,5.84,0.12,4,154,7682
せき柱障害,体操（組体操）,8,5.19,0.1,5,154,7682
せき柱障害,柔道,6,3.9,0.08,6,154,7682
せき柱障害,サッカー・フットサル,5,3.25,0.07,7,154,7682
せき柱障害,その他,4,2.6,0.05,8,154,7682
せき柱障害,鉄棒運動,4,2.6,0.05,8,154,7682
せき柱障害,バレーボール,3,1.95,0.04,10,154,7682
せき柱障害,体操（その他）,3,1.95,0.04,10,154,7682
せき柱障害,走り高跳び,3,1.95,0.04,10,154,7682
せき柱障害,バドミントン,2,1.3,0.03,13,154,7682
せき柱障害,ラグビー,2,1.3,0.03,13,154,7682
せき柱障害,器械体操・新体操（その他）,2,1.3,0.03,13,154,7682
せき柱障害,野球（含軟式）,2,1.3,0.03,13,154,7682
せき柱障害,スキー,1,0.65,0.01,17,154,7682
せき柱障害,バスケットボール,1,0.65,0.01,17,154,7682
せき柱障害,武道等（その他）,1,0.65,0.01,17,154,7682
せき柱障害,準備・整理運動,1,0.65,0.01,17,154,7682
せき柱障害,短距離走,1,0.65,0.01,17,154,7682
せき柱障害,自転車競技,1,0.65,0.01,17,154,7682
せき柱障害,走り幅跳び,1,0.65,0.01,17,154,7682
せき柱障害,陸上競技（その他）,1,0.65,0.01,17,154,7682
そしゃく機能障害,欠損,10,50.0,0.13,1,20,7682
そしゃく機能障害,バスケットボール,2,10.0,0.03,2,20,7682
そしゃく機能障害,野球（含軟式）,2,10.0,0.03,2,20,7682
そしゃく機能障害,サッカー・フットサル,1,5.0,0.01,4,20,7682
そしゃく機能障害,ソフトボール,1,5.0,0.01,4,20,7682
そしゃく機能障害,テニス（含ソフトテニス）,1,5.0,0.01,4,20,7682
そしゃく機能障害,ドッジボール,1,5.0,0.01,4,20,7682
そしゃく機能障害,バレーボール,1,5.0,0.01,4,20,7682
そしゃく機能障害,水泳,1,5.0,0.01,4,20,7682
上肢切断・機能障害,欠損,107,49.31,1.39,1,217,7682
上肢切断・機能障害,柔道,15,6.91,0.2,2,217,7682
上肢切断・機能障害,跳箱運動,13,5.99,0.17,3,217,7682
