種別,通学方法,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,欠損,150,97.4,1.95,1,154,7682
せき柱障害,自転車,3,1.95,0.04,2,154,7682
せき柱障害,徒歩,1,0.65,0.01,3,154,7682
そしゃく機能障害,欠損,19,95.0,0.25,1,20,7682
そしゃく機能障害,原動機付自転車,1,5.0,0.01,2,20,7682
上肢切断・機能障害,欠損,192,88.48,2.5,1,217,7682
上肢切断・機能障害,徒歩,11,5.07,0.14,2,217,7682
上肢切断・機能障害,自転車,9,4.15,0.12,3,217,7682
上肢切断・機能障害,原動機付自転車,3,1.38,0.04,4,217,7682
上肢切断・機能障害,鉄道,2,0.92,0.03,5,217,7682
下肢切断・機能障害,欠損,153,96.84,1.99,1,158,7682
下肢切断・機能障害,原動機付自転車,2,1.27,0.03,2,158,7682
下肢切断・機能障害,鉄道,2,1.27,0.03,2,158,7682
下肢切断・機能障害,徒歩,1,0.63,0.01,4,158,7682
外貌・露出部分の醜状障害,欠損,1675,90.98,21.8,1,1841,7682
外貌・露出部分の醜状障害,徒歩,83,4.51,1.08,2,1841,7682
外貌・露出部分の醜状障害,自転車,71,3.86,0.92,3,1841,7682
外貌・露出部分の醜状障害,原動機付自転車,6,0.33,0.08,4,1841,7682
外貌・露出部分の醜状障害,バス,3,0.16,0.04,5,1841,7682
外貌・露出部分の醜状障害,鉄道,2,0.11,0.03,6,1841,7682
外貌・露出部分の醜状障害,自動車,1,0.05,0.01,7,1841,7682
手指切断・機能障害,欠損,488,97.02,6.35,1,503,7682
手指切断・機能障害,自転車,9,1.79,0.12,2,503,7682
手指切断・機能障害,徒歩,5,0.99,0.07,3,503,7682
手指切断・機能障害,原動機付自転車,1,0.2,0.01,4,503,7682
歯牙障害,欠損,1321,83.45,17.2,1,1583,7682
歯牙障害,自転車,218,13.77,2.84,2,1583,7682
歯牙障害,徒歩,43,2.72,0.56,3,1583,7682
歯牙障害,鉄道,1,0.06,0.01,4,1583,7682
精神・神経障害,欠損,833,94.87,10.84,1,878,7682
精神・神経障害,徒歩,21,2.39,0.27,2,878,7682
精神・神経障害,自転車,20,2.28,0.26,3,878,7682
精神・神経障害,原動機付自転車,3,0.34,0.04,4,878,7682
精神・神経障害,その他,1,0.11,0.01,5,878,7682
聴力障害,欠損,118,97.52,1.54,1,121,7682
聴力障害,自転車,3,2.48,0.04,2,121,7682
胸腹部臓器障害,欠損,400,97.32,5.21,1,411,7682
胸腹部臓器障害,自転車,9,2.19,0.12,2,411,7682
胸腹部臓器障害,徒歩,2,0.49,0.03,3,411,7682
視力・眼球運動障害,欠損,1717,97.12,22.35,1,1768,7682
視力・眼球運動障害,徒歩,34,1.92,0.44,2,1768,7682
視力・眼球運動障害,自転車,14,0.79,0.18,3,1768,7682
視力・眼球運動障害,バス,1,0.06,0.01,4,1768,7682
視力・眼球運動障害,原動機付自転車,1,0.06,0.01,4,1768,7682
視力・眼球運動障害,鉄道,1,0.06,0.01,4,1768,7682
足指切断・機能障害,欠損,26,92.86,0.34,1,28,7682
足指切断・機能障害,原動機付自転車,1,3.57,0.01,2,28,7682
足指切断・機能障害,徒歩,1,3.57,0.01,2,28,7682
