種別,給付年度,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,1,15,9.74,0.2,1,154,7682
せき柱障害,27,14,9.09,0.18,2,154,7682
せき柱障害,22,13,8.44,0.17,3,154,7682
せき柱障害,26,11,7.14,0.14,4,154,7682
せき柱障害,30,11,7.14,0.14,4,154,7682
せき柱障害,5,10,6.49,0.13,6,154,7682
せき柱障害,2,9,5.84,0.12,7,154,7682
せき柱障害,28,9,5.84,0.12,7,154,7682
せき柱障害,25,8,5.19,0.1,9,154,7682
せき柱障害,29,8,5.19,0.1,9,154,7682
せき柱障害,3,8,5.19,0.1,9,154,7682
せき柱障害,18,7,4.55,0.09,12,154,7682
せき柱障害,24,7,4.55,0.09,12,154,7682
せき柱障害,19,5,3.25,0.07,14,154,7682
せき柱障害,4,5,3.25,0.07,14,154,7682
せき柱障害,20,4,2.6,0.05,16,154,7682
せき柱障害,23,4,2.6,0.05,16,154,7682
せき柱障害,17,3,1.95,0.04,18,154,7682
せき柱障害,21,3,1.95,0.04,18,154,7682
そしゃく機能障害,24,3,15.0,0.04,1,20,7682
そしゃく機能障害,18,2,10.0,0.03,2,20,7682
そしゃく機能障害,19,2,10.0,0.03,2,20,7682
そしゃく機能障害,21,2,10.0,0.03,2,20,7682
そしゃく機能障害,22,2,10.0,0.03,2,20,7682
そしゃく機能障害,27,2,10.0,0.03,2,20,7682
そしゃく機能障害,3,2,10.0,0.03,2,20,7682
そしゃく機能障害,17,1,5.0,0.01,8,20,7682
そしゃく機能障害,23,1,5.0,0.01,8,20,7682
そしゃく機能障害,28,1,5.0,0.01,8,20,7682
そしゃく機能障害,4,1,5.0,0.01,8,20,7682
そしゃく機能障害,5,1,5.0,0.01,8,20,7682
上肢切断・機能障害,1,17,7.83,0.22,1,217,7682
上肢切断・機能障害,22,15,6.91,0.2,2,217,7682
上肢切断・機能障害,2,14,6.45,0.18,3,217,7682
上肢切断・機能障害,21,14,6.45,0.18,3,217,7682
上肢切断・機能障害,5,14,6.45,0.18,3,217,7682
上肢切断・機能障害,28,13,5.99,0.17,6,217,7682
上肢切断・機能障害,29,13,5.99,0.17,6,217,7682
上肢切断・機能障害,24,12,5.53,0.16,8,217,7682
上肢切断・機能障害,25,12,5.53,0.16,8,217,7682
上肢切断・機能障害,26,12,5.53,0.16,8,217,7682
上肢切断・機能障害,18,11,5.07,0.14,11,217,7682
上肢切断・機能障害,27,11,5.07,0.14,11,217,7682
上肢切断・機能障害,19,10,4.61,0.13,13,217,7682
上肢切断・機能障害,23,10,4.61,0.13,13,217,7682
上肢切断・機能障害,20,9,4.15,0.12,15,217,7682
上肢切断・機能障害,3,9,4.15,0.12,15,217,7682
上肢切断・機能障害,17,7,3.23,0.09,17,217,7682
上肢切断・機能障害,30,7,3.23,0.09,17,217,7682
上肢切断・機能障害,4,7,3.23,0.09,17,217,7682
下肢切断・機能障害,24,13,8.23,0.17,1,158,7682
下肢切断・機能障害,19,11,6.96,0.14,2,158,7682
下肢切断・機能障害,2,11,6.96,0.14,2,158,7682
下肢切断・機能障害,1,10,6.33,0.13,4,158,7682
