種別,性別,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,男,95,61.69,1.24,1,154,7682
せき柱障害,女,59,38.31,0.77,2,154,7682
そしゃく機能障害,女,10,50.0,0.13,1,20,7682
そしゃく機能障害,男,10,50.0,0.13,1,20,7682
上肢切断・機能障害,男,152,70.05,1.98,1,217,7682
上肢切断・機能障害,女,65,29.95,0.85,2,217,7682
下肢切断・機能障害,男,107,67.72,1.39,1,158,7682
下肢切断・機能障害,女,51,32.28,0.66,2,158,7682
外貌・露出部分の醜状障害,男,1031,56.0,13.42,1,1841,7682
外貌・露出部分の醜状障害,女,810,44.0,10.54,2,1841,7682
手指切断・機能障害,男,343,68.19,4.46,1,503,7682
手指切断・機能障害,女,160,31.81,2.08,2,503,7682
歯牙障害,男,1191,75.24,15.5,1,1583,7682
歯牙障害,女,392,24.76,5.1,2,1583,7682
精神・神経障害,男,585,66.63,7.62,1,878,7682
精神・神経障害,女,293,33.37,3.81,2,878,7682
聴力障害,男,87,71.9,1.13,1,121,7682
聴力障害,女,34,28.1,0.44,2,121,7682
胸腹部臓器障害,男,370,90.02,4.82,1,411,7682
胸腹部臓器障害,女,41,9.98,0.53,2,411,7682
視力・眼球運動障害,男,1494,84.5,19.45,1,1768,7682
視力・眼球運動障害,女,274,15.5,3.57,2,1768,7682
足指切断・機能障害,男,18,64.29,0.23,1,28,7682
足指切断・機能障害,女,10,35.71,0.13,2,28,7682
