全体順位,品詞,品詞細分類1,品詞内順位,件数,品詞内割合（％）,全体割合（％）,品詞合計件数,全形態素数
1,名詞,一般,1,79026,55.1361,20.6381,143329,382913
2,助詞,格助詞,1,61030,60.9721,15.9383,100095,382913
3,動詞,自立,1,48637,80.3055,12.7018,60565,382913
4,助動詞,未設定,1,28682,100.0,7.4905,28682,382913
5,名詞,サ変接続,2,28376,19.7978,7.4106,143329,382913
6,記号,読点,1,25389,63.1646,6.6305,40195,382913
7,助詞,連体化,2,18208,18.1907,4.7551,100095,382913
8,名詞,接尾,3,16793,11.7164,4.3856,143329,382913
9,助詞,接続助詞,3,16513,16.4973,4.3125,100095,382913
10,記号,句点,2,13044,32.4518,3.4065,40195,382913
11,名詞,非自立,4,10801,7.5358,2.8207,143329,382913
12,動詞,非自立,2,9816,16.2074,2.5635,60565,382913
13,接頭詞,名詞接続,1,4308,89.0083,1.1251,4840,382913
14,名詞,数,5,3556,2.481,0.9287,143329,382913
15,名詞,副詞可能,6,3081,2.1496,0.8046,143329,382913
16,動詞,接尾,3,2112,3.4872,0.5516,60565,382913
17,助詞,係助詞,4,1659,1.6574,0.4333,100095,382913
18,形容詞,自立,1,1640,97.7937,0.4283,1677,382913
19,連体詞,未設定,1,1601,100.0,0.4181,1601,382913
20,助詞,並立助詞,5,1539,1.5375,0.4019,100095,382913
21,副詞,一般,1,882,58.6047,0.2303,1505,382913
22,名詞,固有名詞,7,754,0.5261,0.1969,143329,382913
23,記号,括弧開,3,685,1.7042,0.1789,40195,382913
24,記号,括弧閉,4,680,1.6918,0.1776,40195,382913
25,名詞,形容動詞語幹,8,674,0.4702,0.176,143329,382913
26,副詞,助詞類接続,2,623,41.3953,0.1627,1505,382913
27,接頭詞,数接続,2,524,10.8264,0.1368,4840,382913
28,助詞,副詞化,6,505,0.5045,0.1319,100095,382913
29,助詞,副助詞,7,414,0.4136,0.1081,100095,382913
30,接続詞,未設定,1,392,100.0,0.1024,392,382913
31,記号,一般,5,232,0.5772,0.0606,40195,382913
32,名詞,代名詞,9,209,0.1458,0.0546,143329,382913
33,助詞,終助詞,8,153,0.1529,0.04,100095,382913
34,記号,空白,6,102,0.2538,0.0266,40195,382913
35,助詞,副助詞／並立助詞／終助詞,9,74,0.0739,0.0193,100095,382913
36,記号,アルファベット,7,63,0.1567,0.0165,40195,382913
37,名詞,接続詞的,10,54,0.0377,0.0141,143329,382913
38,形容詞,非自立,2,32,1.9082,0.0084,1677,382913
39,感動詞,未設定,1,18,100.0,0.0047,18,382913
40,フィラー,未設定,1,9,100.0,0.0024,9,382913
41,接頭詞,動詞接続,3,8,0.1653,0.0021,4840,382913
42,その他,間投,1,5,100.0,0.0013,5,382913
43,形容詞,接尾,3,5,0.2982,0.0013,1677,382913
44,名詞,ナイ形容詞語幹,11,3,0.0021,0.0008,143329,382913
45,名詞,特殊,12,2,0.0014,0.0005,143329,382913
