全体順位,品詞,品詞別順位,基本形,出現回数,出現事例数,事例出現率（％）,1事例当たり平均出現回数,対象事例数
1,動詞,1,する,15485,6712,87.3731,2.3071,7682
2,動詞,2,いる,7534,5314,69.1747,1.4178,7682
9,動詞,3,当たる,1787,1708,22.2338,1.0463,7682
15,動詞,4,れる,1522,1340,17.4434,1.1358,7682
22,動詞,5,なる,1181,1043,13.5772,1.1323,7682
29,動詞,6,打つ,871,835,10.8696,1.0431,7682
33,動詞,7,残る,819,797,10.3749,1.0276,7682
37,動詞,8,受ける,785,749,9.7501,1.0481,7682
38,動詞,9,しまう,846,717,9.3335,1.1799,7682
39,動詞,10,走る,806,704,9.1643,1.1449,7682
41,動詞,11,くる,729,697,9.0732,1.0459,7682
45,動詞,12,倒れる,651,612,7.9667,1.0637,7682
46,動詞,13,行う,732,601,7.8235,1.218,7682
51,動詞,14,ある,605,551,7.1726,1.098,7682
52,動詞,15,遊ぶ,570,545,7.0945,1.0459,7682
54,動詞,16,ぶつかる,556,534,6.9513,1.0412,7682
56,動詞,17,崩す,519,518,6.743,1.0019,7682
66,動詞,18,ぶつける,427,422,5.4934,1.0118,7682
69,動詞,19,投げる,450,403,5.246,1.1166,7682
70,動詞,20,蹴る,427,400,5.207,1.0675,7682
75,動詞,21,滑る,401,388,5.0508,1.0335,7682
88,動詞,22,取る,334,321,4.1786,1.0405,7682
89,動詞,23,行く,331,319,4.1526,1.0376,7682
90,動詞,24,入る,325,306,3.9833,1.0621,7682
92,動詞,25,持つ,339,304,3.9573,1.1151,7682
94,動詞,26,切る,311,303,3.9443,1.0264,7682
95,動詞,27,落ちる,314,300,3.9052,1.0467,7682
98,動詞,28,つく,303,291,3.7881,1.0412,7682
99,動詞,29,られる,317,287,3.736,1.1045,7682
100,動詞,30,出る,295,286,3.723,1.0315,7682
107,動詞,31,飛ぶ,280,274,3.5668,1.0219,7682
121,動詞,32,せる,259,248,3.2283,1.0444,7682
125,動詞,33,かける,250,241,3.1372,1.0373,7682
131,動詞,34,負う,235,234,3.0461,1.0043,7682
136,動詞,35,歩く,234,221,2.8769,1.0588,7682
139,動詞,36,ふざける,222,217,2.8248,1.023,7682
142,動詞,37,失う,216,212,2.7597,1.0189,7682
143,動詞,37,加える,213,212,2.7597,1.0047,7682
151,動詞,39,乗る,209,196,2.5514,1.0663,7682
152,動詞,39,向かう,198,196,2.5514,1.0102,7682
155,動詞,41,割れる,200,192,2.4993,1.0417,7682
168,動詞,42,破る,180,179,2.3301,1.0056,7682
170,動詞,43,できる,181,178,2.3171,1.0169,7682
173,動詞,44,折れる,185,176,2.2911,1.0511,7682
174,動詞,44,かかる,178,176,2.2911,1.0114,7682
179,動詞,46,捕る,197,173,2.252,1.1387,7682
