全体順位,語1,語1品詞,語2,語2品詞,共起事例数,共起事例率（％）,語1出現事例数,語2出現事例数,対象事例数
1,いる,動詞,する,動詞,4813,62.653,5314,6712,7682
2,する,動詞,中,名詞,3788,49.3101,6712,4291,7682
3,する,動詞,際,名詞,2774,36.1104,6712,3015,7682
4,いる,動詞,中,名詞,2731,35.5506,5314,4291,7682
5,いる,動詞,際,名詞,2187,28.4691,5314,3015,7682
6,する,動詞,部,名詞,2089,27.1934,6712,2321,7682
7,する,動詞,生徒,名詞,2034,26.4775,6712,2296,7682
8,中,名詞,際,名詞,1869,24.3296,4291,3015,7682
9,する,動詞,練習,名詞,1854,24.1343,6712,2068,7682
10,中,名詞,部,名詞,1753,22.8196,4291,2321,7682
11,する,動詞,ところ,名詞,1733,22.5592,6712,1929,7682
12,いる,動詞,生徒,名詞,1700,22.1297,5314,2296,7682
13,する,動詞,負傷,名詞,1632,21.2445,6712,1632,7682
14,いる,動詞,ところ,名詞,1591,20.7108,5314,1929,7682
15,いる,動詞,部,名詞,1572,20.4634,5314,2321,7682
16,中,名詞,練習,名詞,1442,18.7712,4291,2068,7682
17,いる,動詞,練習,名詞,1437,18.7061,5314,2068,7682
18,する,動詞,ボール,名詞,1434,18.667,6712,1623,7682
19,する,動詞,右,名詞,1355,17.6386,6712,1550,7682
20,する,動詞,当たる,動詞,1353,17.6126,6712,1708,7682
21,中,名詞,生徒,名詞,1336,17.3913,4291,2296,7682
22,する,動詞,左,名詞,1280,16.6623,6712,1470,7682
23,いる,動詞,当たる,動詞,1267,16.4931,5314,1708,7682
24,する,動詞,眼,名詞,1249,16.2588,6712,1473,7682
25,する,動詞,転倒,名詞,1240,16.1416,6712,1254,7682
26,する,動詞,れる,動詞,1202,15.647,6712,1340,7682
27,練習,名詞,部,名詞,1180,15.3606,2068,2321,7682
28,する,動詞,ため,名詞,1169,15.2174,6712,1266,7682
29,いる,動詞,ボール,名詞,1162,15.1263,5314,1623,7682
30,いる,動詞,負傷,名詞,1127,14.6707,5314,1632,7682
31,いる,動詞,右,名詞,1121,14.5926,5314,1550,7682
32,する,動詞,他,名詞,1072,13.9547,6712,1224,7682
33,いる,動詞,眼,名詞,1062,13.8245,5314,1473,7682
34,中,名詞,当たる,動詞,1046,13.6162,4291,1708,7682
35,いる,動詞,左,名詞,1042,13.5642,5314,1470,7682
36,ボール,名詞,中,名詞,1042,13.5642,1623,4291,7682
37,部,名詞,際,名詞,1028,13.3819,2321,3015,7682
38,する,動詞,活動,名詞,992,12.9133,6712,1104,7682
39,ところ,名詞,中,名詞,989,12.8743,1929,4291,7682
40,する,動詞,とき,名詞,986,12.8352,6712,1108,7682
41,いる,動詞,ため,名詞,981,12.7701,5314,1266,7682
42,中,名詞,右,名詞,969,12.6139,4291,1550,7682
43,活動,名詞,部,名詞,964,12.5488,1104,2321,7682
44,する,動詞,顔面,名詞,939,12.2234,6712,1039,7682
45,いる,動詞,他,名詞,938,12.2104,5314,1224,7682
46,中,名詞,負傷,名詞,937,12.1973,4291,1632,7682
47,いる,動詞,れる,動詞,931,12.1192,5314,1340,7682
48,中,名詞,左,名詞,931,12.1192,4291,1470,7682
49,中,名詞,眼,名詞,929,12.0932,4291,1473,7682
50,する,動詞,授業,名詞,909,11.8329,6712,990,7682
51,する,動詞,児童,名詞,901,11.7287,6712,1055,7682
52,いる,動詞,とき,名詞,891,11.5985,5314,1108,7682
53,する,動詞,なる,動詞,881,11.4684,6712,1043,7682
54,生徒,名詞,部,名詞,872,11.3512,2296,2321,7682
55,いる,動詞,児童,名詞,866,11.2731,5314,1055,7682
56,中,名詞,活動,名詞,866,11.2731,4291,1104,7682
57,生徒,名詞,際,名詞,851,11.0778,2296,3015,7682
58,生徒,名詞,練習,名詞,848,11.0388,2296,2068,7682
59,する,動詞,試合,名詞,841,10.9477,6712,965,7682
60,する,動詞,体育,名詞,829,10.7915,6712,891,7682
61,練習,名詞,際,名詞,829,10.7915,2068,3015,7682
62,れる,動詞,中,名詞,823,10.7134,1340,4291,7682
63,する,動詞,場,名詞,822,10.7003,6712,886,7682
64,いる,動詞,活動,名詞,819,10.6613,5314,1104,7682
65,する,動詞,強打,名詞,808,10.5181,6712,810,7682
66,中,名詞,授業,名詞,803,10.453,4291,990,7682
67,いる,動詞,授業,名詞,801,10.427,5314,990,7682
68,する,動詞,相手,名詞,777,10.1146,6712,908,7682
69,いる,動詞,転倒,名詞,774,10.0755,5314,1254,7682
70,ボール,名詞,当たる,動詞,762,9.9193,1623,1708,7682
71,ボール,名詞,練習,名詞,761,9.9063,1623,2068,7682
72,する,動詞,運動,名詞,757,9.8542,6712,809,7682
73,負傷,名詞,際,名詞,748,9.737,1632,3015,7682
74,中,名詞,試合,名詞,738,9.6069,4291,965,7682
75,する,動詞,残る,動詞,737,9.5939,6712,797,7682
76,右,名詞,眼,名詞,737,9.5939,1550,1473,7682
77,中,名詞,残る,動詞,735,9.5678,4291,797,7682
78,当たる,動詞,眼,名詞,733,9.5418,1708,1473,7682
79,ボール,名詞,部,名詞,732,9.5288,1623,2321,7682
80,いる,動詞,なる,動詞,730,9.5027,5314,1043,7682
81,当たる,動詞,生徒,名詞,730,9.5027,1708,2296,7682
82,する,動詞,時間,名詞,728,9.4767,6712,822,7682
83,する,動詞,打つ,動詞,714,9.2945,6712,835,7682
84,いる,動詞,体育,名詞,706,9.1903,5314,891,7682
85,ボール,名詞,生徒,名詞,705,9.1773,1623,2296,7682
86,する,動詞,受ける,動詞,702,9.1382,6712,749,7682
87,する,動詞,後,名詞,700,9.1122,6712,788,7682
88,いる,動詞,場,名詞,699,9.0992,5314,886,7682
89,当たる,動詞,練習,名詞,699,9.0992,1708,2068,7682
90,中,名詞,他,名詞,694,9.0341,4291,1224,7682
91,当たる,動詞,部,名詞,693,9.0211,1708,2321,7682
92,中,名詞,転倒,名詞,692,9.0081,4291,1254,7682
93,いる,動詞,顔面,名詞,680,8.8519,5314,1039,7682
94,する,動詞,前歯,名詞,678,8.8258,6712,750,7682
95,場,名詞,運動,名詞,677,8.8128,886,809,7682
96,中,名詞,体育,名詞,673,8.7607,4291,891,7682
97,する,動詞,時,名詞,667,8.6826,6712,753,7682
98,左,名詞,眼,名詞,659,8.5785,1470,1473,7682
99,右,名詞,際,名詞,657,8.5525,1550,3015,7682
100,他,名詞,生徒,名詞,649,8.4483,1224,2296,7682
101,体育,名詞,授業,名詞,649,8.4483,891,990,7682
102,いる,動詞,運動,名詞,648,8.4353,5314,809,7682
103,左,名詞,際,名詞,644,8.3832,1470,3015,7682
104,中,名詞,場,名詞,643,8.3702,4291,886,7682
105,いる,動詞,時間,名詞,641,8.3442,5314,822,7682
106,部,名詞,野球,名詞,638,8.3051,2321,702,7682
107,生徒,名詞,眼,名詞,635,8.2661,2296,1473,7682
108,する,動詞,野球,名詞,629,8.188,6712,702,7682
109,ため,名詞,中,名詞,623,8.1099,1266,4291,7682
110,くる,動詞,する,動詞,617,8.0318,697,6712,7682
111,当たる,動詞,際,名詞,617,8.0318,1708,3015,7682
112,する,動詞,走る,動詞,616,8.0187,6712,704,7682
