順位,品詞,基本形,出現回数,出現事例数,事例出現率（％）
1,動詞,する,15485,6712,87.3731
2,動詞,いる,7534,5314,69.1747
3,名詞,中,4509,4291,55.8578
4,名詞,際,3098,3015,39.2476
5,名詞,生徒,3740,2296,29.888
6,名詞,ところ,2038,1929,25.1106
7,名詞,右,2081,1550,20.177
8,名詞,左,1943,1470,19.1356
9,名詞,ため,1449,1266,16.4801
10,名詞,他,1383,1224,15.9334
11,名詞,とき,1165,1108,14.4233
12,名詞,活動,1134,1104,14.3713
13,名詞,児童,1927,1055,13.7334
14,動詞,なる,1181,1043,13.5772
15,名詞,授業,1015,990,12.8873
16,名詞,後,860,788,10.2577
17,名詞,時,798,753,9.8021
18,動詞,受ける,785,749,9.7501
19,動詞,行う,732,601,7.8235
20,名詞,前,628,588,7.6543
21,動詞,ある,605,551,7.1726
22,名詞,上,583,541,7.0424
23,名詞,下,404,374,4.8685
24,名詞,よう,399,366,4.7644
25,名詞,こと,327,305,3.9703
26,名詞,学校,284,278,3.6188
27,名詞,自分,225,216,2.8118
28,動詞,できる,181,178,2.3171
29,名詞,その後,187,177,2.3041
30,名詞,それ,107,106,1.3798
31,名詞,もの,63,62,0.8071
32,名詞,災害,42,42,0.5467
33,名詞,発生,21,20,0.2603
34,名詞,事故,11,10,0.1302
35,名詞,これ,5,5,0.0651
