順位,カテゴリ,サブカテゴリ,出現回数,出現事例数,事例出現率(%),対象事例数
1,未分類,未分類,185699,7682,100.0,7682
2,受傷機転,転倒,2115,1982,25.8006,7682
3,原因物,スポーツ用具,2759,1934,25.1757,7682
4,受傷部位,眼,2034,1664,21.661,7682
5,受傷部位,顎顔面,1371,1264,16.454,7682
6,行動,移動,1040,891,11.5985,7682
7,受傷部位,上肢,1095,847,11.0258,7682
8,行動,球技,877,794,10.3359,7682
9,受傷部位,歯牙,831,777,10.1146,7682
10,受傷機転,衝突,799,755,9.8282,7682
11,受傷部位,下肢,721,667,8.6826,7682
12,原因物,乗り物,856,622,8.0968,7682
13,衝突対象,床,508,465,6.0531,7682
14,受傷機転,転落,474,454,5.9099,7682
15,衝突対象,地面,448,429,5.5845,7682
16,傷害結果,骨折,412,389,5.0638,7682
17,受傷機転,滑走,401,388,5.0508,7682
18,受傷部位,頭部,414,373,4.8555,7682
19,受傷機転,切創,311,303,3.9443,7682
20,受傷機転,接触,245,239,3.1112,7682
21,行動,乗車,209,196,2.5514,7682
22,衝突対象,階段,273,194,2.5254,7682
23,原因物,遊具,294,192,2.4993,7682
24,環境要因,路面,199,178,2.3171,7682
25,受傷機転,つまずき,171,169,2.1999,7682
26,行動,昇降,167,148,1.9266,7682
27,傷害結果,脱臼,131,131,1.7053,7682
28,衝突対象,壁,131,124,1.6142,7682
29,傷害結果,欠損,106,104,1.3538,7682
30,行動,運動,111,94,1.2236,7682
31,傷害結果,裂傷,85,84,1.0935,7682
32,衝突対象,自転車部品,75,68,0.8852,7682
33,環境要因,天候,69,66,0.8592,7682
34,受傷機転,挟圧,55,55,0.716,7682
35,衝突対象,柱,48,46,0.5988,7682
36,傷害結果,熱傷,37,37,0.4816,7682
