傷害種別,傷害種別内順位,カテゴリ,サブカテゴリ,出現回数,出現事例数,カテゴリ事例数,カテゴリ内出現率(%)
せき柱障害,1,受傷機転,転落,49,47,154,30.5195
せき柱障害,2,傷害結果,骨折,45,42,154,27.2727
せき柱障害,3,受傷機転,転倒,39,39,154,25.3247
せき柱障害,4,衝突対象,床,25,23,154,14.9351
せき柱障害,5,受傷部位,下肢,21,18,154,11.6883
せき柱障害,6,受傷部位,上肢,17,17,154,11.039
せき柱障害,7,衝突対象,地面,16,16,154,10.3896
せき柱障害,8,行動,乗車,13,13,154,8.4416
せき柱障害,9,行動,昇降,12,9,154,5.8442
せき柱障害,9,行動,運動,12,9,154,5.8442
せき柱障害,11,原因物,スポーツ用具,12,8,154,5.1948
せき柱障害,11,受傷機転,滑走,8,8,154,5.1948
せき柱障害,13,原因物,乗り物,9,6,154,3.8961
せき柱障害,13,原因物,遊具,6,6,154,3.8961
せき柱障害,13,行動,移動,6,6,154,3.8961
せき柱障害,16,行動,球技,6,5,154,3.2468
せき柱障害,16,衝突対象,階段,6,5,154,3.2468
せき柱障害,18,受傷部位,眼,7,4,154,2.5974
せき柱障害,18,環境要因,天候,4,4,154,2.5974
せき柱障害,20,傷害結果,脱臼,3,3,154,1.9481
せき柱障害,20,受傷機転,衝突,3,3,154,1.9481
せき柱障害,20,受傷部位,頭部,3,3,154,1.9481
せき柱障害,20,衝突対象,壁,3,3,154,1.9481
せき柱障害,24,受傷機転,接触,2,2,154,1.2987
せき柱障害,24,受傷部位,顎顔面,2,2,154,1.2987
せき柱障害,24,環境要因,路面,2,2,154,1.2987
せき柱障害,24,衝突対象,自転車部品,2,2,154,1.2987
せき柱障害,28,受傷機転,つまずき,1,1,154,0.6494
せき柱障害,28,受傷機転,挟圧,1,1,154,0.6494
そしゃく機能障害,1,受傷部位,顎顔面,12,10,20,50.0
そしゃく機能障害,2,原因物,スポーツ用具,6,5,20,25.0
そしゃく機能障害,3,受傷機転,転倒,5,4,20,20.0
そしゃく機能障害,4,原因物,乗り物,4,3,20,15.0
そしゃく機能障害,4,受傷機転,転落,4,3,20,15.0
そしゃく機能障害,4,受傷機転,衝突,3,3,20,15.0
そしゃく機能障害,4,受傷部位,上肢,3,3,20,15.0
そしゃく機能障害,8,受傷部位,歯牙,2,2,20,10.0
そしゃく機能障害,9,原因物,遊具,3,1,20,5.0
そしゃく機能障害,9,衝突対象,自転車部品,2,1,20,5.0
そしゃく機能障害,9,衝突対象,階段,2,1,20,5.0
そしゃく機能障害,9,傷害結果,欠損,1,1,20,5.0
そしゃく機能障害,9,受傷機転,切創,1,1,20,5.0
そしゃく機能障害,9,受傷機転,滑走,1,1,20,5.0
そしゃく機能障害,9,受傷部位,眼,1,1,20,5.0
上肢切断・機能障害,1,受傷機転,転倒,99,95,217,43.7788
上肢切断・機能障害,2,傷害結果,骨折,54,51,217,23.5023
上肢切断・機能障害,3,衝突対象,地面,42,40,217,18.4332
上肢切断・機能障害,4,受傷部位,上肢,37,30,217,13.8249
上肢切断・機能障害,5,受傷機転,転落,30,28,217,12.9032
上肢切断・機能障害,6,衝突対象,床,30,27,217,12.4424
上肢切断・機能障害,6,受傷部位,下肢,28,27,217,12.4424
上肢切断・機能障害,8,行動,移動,25,23,217,10.5991
上肢切断・機能障害,9,行動,球技,21,20,217,9.2166
上肢切断・機能障害,10,行動,乗車,20,19,217,8.7558
上肢切断・機能障害,11,原因物,スポーツ用具,22,17,217,7.8341
上肢切断・機能障害,11,受傷機転,衝突,18,17,217,7.8341
上肢切断・機能障害,13,受傷機転,滑走,15,15,217,6.9124
上肢切断・機能障害,14,原因物,乗り物,21,12,217,5.53
上肢切断・機能障害,14,原因物,遊具,15,12,217,5.53
上肢切断・機能障害,14,行動,運動,15,12,217,5.53
上肢切断・機能障害,17,受傷機転,接触,8,8,217,3.6866
上肢切断・機能障害,18,行動,昇降,7,6,217,2.765
上肢切断・機能障害,18,受傷機転,つまずき,6,6,217,2.765
上肢切断・機能障害,20,受傷部位,眼,10,5,217,2.3041
上肢切断・機能障害,20,受傷部位,頭部,6,5,217,2.3041
上肢切断・機能障害,22,衝突対象,壁,4,4,217,1.8433
上肢切断・機能障害,23,受傷機転,切創,4,3,217,1.3825
上肢切断・機能障害,23,受傷部位,顎顔面,4,3,217,1.3825
上肢切断・機能障害,23,傷害結果,脱臼,3,3,217,1.3825
上肢切断・機能障害,23,環境要因,路面,3,3,217,1.3825
上肢切断・機能障害,27,衝突対象,階段,3,2,217,0.9217
上肢切断・機能障害,27,環境要因,天候,2,2,217,0.9217
上肢切断・機能障害,29,傷害結果,裂傷,1,1,217,0.4608
上肢切断・機能障害,29,受傷機転,挟圧,1,1,217,0.4608
上肢切断・機能障害,29,受傷部位,歯牙,1,1,217,0.4608
上肢切断・機能障害,29,衝突対象,自転車部品,1,1,217,0.4608
下肢切断・機能障害,1,受傷機転,転倒,59,57,158,36.0759
下肢切断・機能障害,2,受傷部位,下肢,44,39,158,24.6835
下肢切断・機能障害,3,行動,移動,31,27,158,17.0886
下肢切断・機能障害,4,傷害結果,骨折,22,22,158,13.9241
下肢切断・機能障害,5,受傷機転,転落,22,21,158,13.2911
下肢切断・機能障害,6,原因物,スポーツ用具,17,15,158,9.4937
下肢切断・機能障害,7,受傷機転,衝突,15,13,158,8.2278
下肢切断・機能障害,8,行動,乗車,13,12,158,7.5949
下肢切断・機能障害,9,衝突対象,階段,14,11,158,6.962
下肢切断・機能障害,9,行動,球技,13,11,158,6.962
下肢切断・機能障害,9,受傷機転,滑走,11,11,158,6.962
下肢切断・機能障害,9,行動,昇降,11,11,158,6.962
下肢切断・機能障害,13,衝突対象,床,8,8,158,5.0633
下肢切断・機能障害,14,原因物,遊具,10,7,158,4.4304
下肢切断・機能障害,14,原因物,乗り物,7,7,158,4.4304
下肢切断・機能障害,14,受傷機転,接触,7,7,158,4.4304
下肢切断・機能障害,14,衝突対象,地面,7,7,158,4.4304
下肢切断・機能障害,18,受傷部位,上肢,7,5,158,3.1646
下肢切断・機能障害,18,行動,運動,6,5,158,3.1646
下肢切断・機能障害,20,傷害結果,脱臼,3,3,158,1.8987
下肢切断・機能障害,20,受傷機転,つまずき,3,3,158,1.8987
下肢切断・機能障害,20,受傷部位,眼,3,3,158,1.8987
下肢切断・機能障害,20,受傷部位,頭部,3,3,158,1.8987
下肢切断・機能障害,20,受傷部位,顎顔面,3,3,158,1.8987
下肢切断・機能障害,20,環境要因,天候,3,3,158,1.8987
下肢切断・機能障害,26,環境要因,路面,3,2,158,1.2658
下肢切断・機能障害,27,受傷機転,挟圧,1,1,158,0.6329
下肢切断・機能障害,27,衝突対象,壁,1,1,158,0.6329
外貌・露出部分の醜状障害,1,受傷機転,転倒,642,612,1841,33.2428
外貌・露出部分の醜状障害,2,受傷部位,顎顔面,406,363,1841,19.7175
外貌・露出部分の醜状障害,3,行動,移動,386,353,1841,19.1744
外貌・露出部分の醜状障害,4,受傷機転,衝突,300,285,1841,15.4807
外貌・露出部分の醜状障害,5,受傷機転,切創,225,222,1841,12.0587
外貌・露出部分の醜状障害,6,受傷部位,上肢,232,206,1841,11.1896
外貌・露出部分の醜状障害,7,受傷部位,下肢,219,205,1841,11.1353
外貌・露出部分の醜状障害,8,原因物,スポーツ用具,250,179,1841,9.723
外貌・露出部分の醜状障害,9,受傷機転,滑走,144,140,1841,7.6046
外貌・露出部分の醜状障害,10,受傷部位,眼,143,130,1841,7.0614
外貌・露出部分の醜状障害,11,衝突対象,地面,126,122,1841,6.6268
外貌・露出部分の醜状障害,12,原因物,乗り物,162,112,1841,6.0837
