傷害種別,順位,特徴語,平均TF-IDF,出現事例数,カテゴリ事例数,カテゴリ内出現率(%)
せき柱障害,1,背中,0.06893286,45,154,29.2208
せき柱障害,2,腰,0.05520367,38,154,24.6753
せき柱障害,3,マット,0.05191382,35,154,22.7273
せき柱障害,4,体育,0.0511203,51,154,33.1169
せき柱障害,5,転,0.05078141,28,154,18.1818
せき柱障害,6,倒立,0.04884667,24,154,15.5844
せき柱障害,7,せき柱,0.04749723,27,154,17.5325
せき柱障害,8,骨折,0.04736151,42,154,27.2727
せき柱障害,9,変形,0.04605424,29,154,18.8312
せき柱障害,10,圧迫,0.03963094,25,154,16.2338
せき柱障害,11,練習,0.03896529,57,154,37.013
せき柱障害,12,障害,0.0379297,33,154,21.4286
せき柱障害,13,胸椎,0.03684904,19,154,12.3377
せき柱障害,14,崩す,0.0368003,33,154,21.4286
せき柱障害,15,バランス,0.03584388,32,154,20.7792
せき柱障害,16,運動,0.03442739,36,154,23.3766
せき柱障害,17,落下,0.03392056,29,154,18.8312
せき柱障害,18,体育館,0.03156035,30,154,19.4805
せき柱障害,19,腰椎,0.02992106,17,154,11.039
せき柱障害,20,着地,0.02893923,20,154,12.987
せき柱障害,21,強い,0.02752995,26,154,16.8831
せき柱障害,22,残る,0.02703646,31,154,20.1299
せき柱障害,23,床,0.02651226,23,154,14.9351
せき柱障害,24,強打,0.02616281,26,154,16.8831
せき柱障害,25,落ちる,0.02606099,22,154,14.2857
せき柱障害,26,背部,0.02408057,11,154,7.1429
せき柱障害,27,転落,0.02319107,18,154,11.6883
せき柱障害,28,腰部,0.02088363,10,154,6.4935
せき柱障害,29,体操,0.0206609,14,154,9.0909
せき柱障害,30,跳箱,0.01994955,10,154,6.4935
せき柱障害,31,転倒,0.01986349,24,154,15.5844
せき柱障害,32,部,0.01972816,31,154,20.1299
せき柱障害,33,首,0.01971333,13,154,8.4416
せき柱障害,34,乗る,0.01934146,13,154,8.4416
せき柱障害,35,打つ,0.01914904,21,154,13.6364
せき柱障害,36,痛み,0.01864471,15,154,9.7403
せき柱障害,37,頚椎,0.01834457,9,154,5.8442
せき柱障害,38,肩,0.01788411,11,154,7.1429
せき柱障害,39,地面,0.01751763,16,154,10.3896
せき柱障害,40,場,0.01719726,19,154,12.3377
せき柱障害,41,支える,0.01713443,10,154,6.4935
せき柱障害,42,治療,0.01701935,17,154,11.039
せき柱障害,43,倒れる,0.01698931,15,154,9.7403
せき柱障害,44,手,0.01661956,17,154,11.039
せき柱障害,45,頭,0.01650429,14,154,9.0909
せき柱障害,46,時間,0.01639695,17,154,11.039
せき柱障害,47,体,0.01622337,13,154,8.4416
せき柱障害,48,足,0.01585909,18,154,11.6883
せき柱障害,49,痛める,0.01575443,10,154,6.4935
せき柱障害,50,鎖骨,0.01563915,7,154,4.5455
せき柱障害,51,れる,0.0155954,21,154,13.6364
せき柱障害,52,しまう,0.0151033,15,154,9.7403
せき柱障害,53,補助,0.01506129,9,154,5.8442
せき柱障害,54,階,0.01437987,11,154,7.1429
せき柱障害,55,プール,0.0142999,8,154,5.1948
せき柱障害,56,つく,0.01423388,12,154,7.7922
せき柱障害,57,打ちつける,0.01376699,8,154,5.1948
せき柱障害,58,跳ぶ,0.01350057,9,154,5.8442
