順位,特徴語,平均TF-IDF,出現事例数,対象事例数,事例出現率(%)
1,部,0.03439505,2321,7682,30.2135
2,練習,0.03419314,2068,7682,26.9201
3,ボール,0.03249916,1623,7682,21.1273
4,当たる,0.03248976,1708,7682,22.2338
5,眼,0.02959892,1473,7682,19.1747
6,負傷,0.02909624,1632,7682,21.2445
7,転倒,0.02351608,1254,7682,16.3239
8,試合,0.02264627,965,7682,12.5618
9,顔面,0.02152924,1039,7682,13.5251
10,相手,0.0214645,908,7682,11.8198
11,れる,0.0209633,1340,7682,17.4434
12,打つ,0.01896735,835,7682,10.8696
13,体育,0.01829095,891,7682,11.5985
14,野球,0.0179347,702,7682,9.1382
15,前歯,0.01780919,750,7682,9.7631
16,強打,0.01728383,810,7682,10.5441
17,場,0.01720076,886,7682,11.5335
18,運動,0.0162437,809,7682,10.5311
19,時間,0.01606944,822,7682,10.7003
20,友人,0.01542467,691,7682,8.9951
21,くる,0.0150308,697,7682,9.0732
22,走る,0.01491012,704,7682,9.1643
23,しまう,0.01489931,717,7682,9.3335
24,残る,0.01470692,797,7682,10.3749
25,足,0.01428346,667,7682,8.6826
26,ぶつかる,0.01369785,534,7682,6.9513
27,強い,0.01358631,577,7682,7.5111
28,サッカー,0.01357142,463,7682,6.0271
29,直撃,0.01348647,488,7682,6.3525
30,歯,0.01328934,498,7682,6.4827
31,手,0.01306377,634,7682,8.2531
32,体育館,0.01280058,562,7682,7.3158
33,口,0.01269602,490,7682,6.3785
34,教室,0.01258571,580,7682,7.5501
35,遊ぶ,0.01256425,545,7682,7.0945
36,打球,0.01248543,352,7682,4.5821
37,蹴る,0.01226336,400,7682,5.207
38,バランス,0.01208416,534,7682,6.9513
39,崩す,0.01186617,518,7682,6.743
40,倒れる,0.01178044,612,7682,7.9667
41,顔,0.01126407,451,7682,5.8709
42,床,0.01091048,465,7682,6.0531
43,ぶつける,0.01083118,422,7682,5.4934
44,投げる,0.01077477,403,7682,5.246
45,地面,0.01021566,429,7682,5.5845
