種別,順位,特徴語,平均TF-IDF,カテゴリ事例数
せき柱障害,1,背中,0.06893286,154
せき柱障害,2,腰,0.05520367,154
せき柱障害,3,マット,0.05191382,154
せき柱障害,4,体育,0.0511203,154
せき柱障害,5,転,0.05078141,154
せき柱障害,6,倒立,0.04884667,154
せき柱障害,7,せき柱,0.04749723,154
せき柱障害,8,骨折,0.04736151,154
せき柱障害,9,変形,0.04605424,154
せき柱障害,10,圧迫,0.03963094,154
せき柱障害,11,練習,0.03896529,154
せき柱障害,12,障害,0.0379297,154
せき柱障害,13,胸椎,0.03684904,154
せき柱障害,14,崩す,0.0368003,154
せき柱障害,15,バランス,0.03584388,154
せき柱障害,16,運動,0.03442739,154
せき柱障害,17,落下,0.03392056,154
せき柱障害,18,体育館,0.03156035,154
せき柱障害,19,腰椎,0.02992106,154
せき柱障害,20,着地,0.02893923,154
せき柱障害,21,強い,0.02752995,154
せき柱障害,22,残る,0.02703646,154
せき柱障害,23,床,0.02651226,154
せき柱障害,24,強打,0.02616281,154
せき柱障害,25,落ちる,0.02606099,154
せき柱障害,26,背部,0.02408057,154
せき柱障害,27,転落,0.02319107,154
せき柱障害,28,腰部,0.02088363,154
せき柱障害,29,体操,0.0206609,154
せき柱障害,30,跳箱,0.01994955,154
せき柱障害,31,転倒,0.01986349,154
せき柱障害,32,部,0.01972816,154
せき柱障害,33,首,0.01971333,154
せき柱障害,34,乗る,0.01934146,154
せき柱障害,35,打つ,0.01914904,154
せき柱障害,36,痛み,0.01864471,154
せき柱障害,37,頚椎,0.01834457,154
せき柱障害,38,肩,0.01788411,154
せき柱障害,39,地面,0.01751763,154
せき柱障害,40,場,0.01719726,154
せき柱障害,41,支える,0.01713443,154
せき柱障害,42,治療,0.01701935,154
せき柱障害,43,倒れる,0.01698931,154
せき柱障害,44,手,0.01661956,154
せき柱障害,45,頭,0.01650429,154
せき柱障害,46,時間,0.01639695,154
せき柱障害,47,体,0.01622337,154
せき柱障害,48,足,0.01585909,154
せき柱障害,49,痛める,0.01575443,154
せき柱障害,50,鎖骨,0.01563915,154
そしゃく機能障害,1,顎,0.08479355,20
そしゃく機能障害,2,負傷,0.0590485,20
