全体順位,品詞,品詞細分類1,品詞内順位,件数,品詞内割合(%),全体割合(%),品詞合計件数,全形態素数
1,名詞,一般,1,14142,55.57,20.1095,25449,70325
2,助詞,格助詞,1,11722,62.554,16.6683,18739,70325
3,動詞,自立,1,9414,81.1622,13.3864,11599,70325
4,名詞,サ変接続,2,5271,20.712,7.4952,25449,70325
5,助動詞,未設定,1,5237,100.0,7.4469,5237,70325
6,記号,読点,1,4873,63.9585,6.9293,7619,70325
7,助詞,連体化,2,3283,17.5196,4.6683,18739,70325
8,助詞,接続助詞,3,3044,16.2442,4.3285,18739,70325
9,名詞,接尾,3,2724,10.7038,3.8734,25449,70325
10,記号,句点,2,2455,32.2221,3.4909,7619,70325
11,名詞,非自立,4,2036,8.0003,2.8951,25449,70325
12,動詞,非自立,2,1894,16.329,2.6932,11599,70325
13,接頭詞,名詞接続,1,739,91.6873,1.0508,806,70325
14,名詞,数,5,584,2.2948,0.8304,25449,70325
15,名詞,副詞可能,6,522,2.0512,0.7423,25449,70325
16,連体詞,未設定,1,336,100.0,0.4778,336,70325
17,動詞,接尾,3,291,2.5088,0.4138,11599,70325
18,助詞,並立助詞,4,279,1.4889,0.3967,18739,70325
19,形容詞,自立,1,254,96.9466,0.3612,262,70325
20,助詞,係助詞,5,231,1.2327,0.3285,18739,70325
21,副詞,一般,1,149,71.2919,0.2119,209,70325
22,記号,括弧閉,3,119,1.5619,0.1692,7619,70325
23,記号,括弧開,4,118,1.5488,0.1678,7619,70325
24,名詞,形容動詞語幹,7,84,0.3301,0.1194,25449,70325
25,助詞,副詞化,6,64,0.3415,0.091,18739,70325
26,接頭詞,数接続,2,64,7.9404,0.091,806,70325
27,接続詞,未設定,1,62,100.0,0.0882,62,70325
28,副詞,助詞類接続,2,60,28.7081,0.0853,209,70325
29,助詞,副助詞,7,58,0.3095,0.0825,18739,70325
30,助詞,終助詞,8,47,0.2508,0.0668,18739,70325
31,名詞,固有名詞,8,44,0.1729,0.0626,25449,70325
32,記号,一般,5,38,0.4988,0.054,7619,70325
33,名詞,代名詞,9,29,0.114,0.0412,25449,70325
34,名詞,接続詞的,10,13,0.0511,0.0185,25449,70325
35,助詞,副助詞／並立助詞／終助詞,9,11,0.0587,0.0156,18739,70325
36,記号,アルファベット,6,10,0.1313,0.0142,7619,70325
37,形容詞,非自立,2,6,2.2901,0.0085,262,70325
38,記号,空白,7,6,0.0788,0.0085,7619,70325
39,その他,間投,1,3,100.0,0.0043,3,70325
40,感動詞,未設定,1,3,100.0,0.0043,3,70325
41,接頭詞,動詞接続,3,3,0.3722,0.0043,806,70325
42,形容詞,接尾,3,2,0.7634,0.0028,262,70325
43,フィラー,未設定,1,1,100.0,0.0014,1,70325
