全体順位,品詞,品詞別順位,基本形,出現回数,出現事例数,事例出現率(%),1事例当たり平均出現回数,対象事例数
1,動詞,1,する,3278,1428,90.2085,2.2955,1583
2,動詞,2,いる,1437,1049,66.2666,1.3699,1583
3,名詞,1,中,941,902,56.9804,1.0432,1583
4,名詞,2,前歯,764,721,45.5464,1.0596,1583
5,名詞,3,際,637,620,39.1661,1.0274,1583
6,名詞,4,生徒,813,505,31.9015,1.6099,1583
7,名詞,5,顔面,501,489,30.8907,1.0245,1583
8,名詞,6,部,551,485,30.638,1.1361,1583
9,名詞,7,練習,507,462,29.1851,1.0974,1583
10,名詞,8,歯,489,444,28.048,1.1014,1583
11,動詞,3,当たる,427,410,25.9002,1.0415,1583
12,名詞,9,ボール,506,402,25.3948,1.2587,1583
13,名詞,10,転倒,409,398,25.1421,1.0276,1583
14,名詞,11,負傷,375,373,23.5629,1.0054,1583
15,名詞,12,口,366,359,22.6785,1.0195,1583
16,名詞,13,ところ,373,357,22.5521,1.0448,1583
17,名詞,14,強打,303,302,19.0777,1.0033,1583
18,名詞,15,ため,289,259,16.3613,1.1158,1583
19,名詞,16,活動,261,253,15.9823,1.0316,1583
20,名詞,17,試合,245,237,14.9716,1.0338,1583
21,名詞,18,とき,240,230,14.5294,1.0435,1583
22,名詞,19,自転車,293,216,13.645,1.3565,1583
23,名詞,20,本,255,215,13.5818,1.186,1583
24,名詞,21,相手,267,211,13.3291,1.2654,1583
25,名詞,22,野球,209,205,12.9501,1.0195,1583
26,動詞,4,打つ,207,202,12.7606,1.0248,1583
27,動詞,5,加える,198,197,12.4447,1.0051,1583
28,名詞,23,歯科,197,197,12.4447,1.0,1583
29,名詞,24,補綴,196,195,12.3184,1.0051,1583
30,名詞,25,他,218,191,12.0657,1.1414,1583
31,名詞,26,床,206,189,11.9394,1.0899,1583
32,名詞,27,顔,189,183,11.5603,1.0328,1583
33,名詞,27,折,184,183,11.5603,1.0055,1583
34,動詞,6,れる,203,180,11.3708,1.1278,1583
35,動詞,7,破る,176,175,11.055,1.0057,1583
36,名詞,29,体育,172,169,10.6759,1.0178,1583
37,名詞,30,授業,167,163,10.2969,1.0245,1583
38,名詞,31,前,176,162,10.2337,1.0864,1583
39,動詞,8,しまう,192,159,10.0442,1.2075,1583
40,名詞,32,場,162,157,9.9179,1.0318,1583
41,動詞,9,折れる,154,152,9.602,1.0132,1583
42,動詞,10,くる,155,149,9.4125,1.0403,1583
43,動詞,11,なる,160,146,9.223,1.0959,1583
44,名詞,33,足,153,142,8.9703,1.0775,1583
45,名詞,34,上,152,140,8.844,1.0857,1583
46,名詞,34,運動,144,140,8.844,1.0286,1583
47,名詞,36,時,138,133,8.4018,1.0376,1583
48,形容詞,1,強い,134,131,8.2754,1.0229,1583
49,名詞,37,児童,228,129,8.1491,1.7674,1583
50,動詞,12,ぶつかる,129,125,7.8964,1.032,1583
51,動詞,12,ぶつける,127,125,7.8964,1.016,1583
52,名詞,38,バランス,126,124,7.8332,1.0161,1583
53,名詞,38,時間,125,124,7.8332,1.0081,1583
54,名詞,40,手,135,123,7.7701,1.0976,1583
55,名詞,41,友人,171,121,7.6437,1.4132,1583
56,動詞,14,崩す,120,120,7.5805,1.0,1583
