全体順位,語1,語1品詞,語2,語2品詞,共起事例数,共起事例率(%),語1出現事例数,語2出現事例数,対象事例数
1,いる,動詞,する,動詞,969,61.2129,1049,1428,1583
2,する,動詞,中,名詞,818,51.674,1428,902,1583
3,する,動詞,前歯,名詞,651,41.1244,1428,721,1583
4,する,動詞,際,名詞,582,36.7656,1428,620,1583
5,いる,動詞,中,名詞,527,33.2912,1049,902,1583
6,いる,動詞,前歯,名詞,483,30.5117,1049,721,1583
7,する,動詞,顔面,名詞,453,28.6166,1428,489,1583
8,する,動詞,部,名詞,451,28.4902,1428,485,1583
9,する,動詞,生徒,名詞,450,28.427,1428,505,1583
10,いる,動詞,際,名詞,432,27.29,1049,620,1583
11,中,名詞,前歯,名詞,425,26.8478,902,721,1583
12,する,動詞,練習,名詞,415,26.216,1428,462,1583
13,する,動詞,歯,名詞,402,25.3948,1428,444,1583
14,する,動詞,転倒,名詞,396,25.0158,1428,398,1583
15,いる,動詞,生徒,名詞,375,23.6892,1049,505,1583
16,する,動詞,負傷,名詞,373,23.5629,1428,373,1583
17,中,名詞,際,名詞,367,23.1838,902,620,1583
18,中,名詞,部,名詞,364,22.9943,902,485,1583
19,する,動詞,ボール,名詞,362,22.868,1428,402,1583
20,する,動詞,当たる,動詞,342,21.6045,1428,410,1583
21,する,動詞,ところ,名詞,331,20.9097,1428,357,1583
22,中,名詞,練習,名詞,324,20.4675,902,462,1583
23,いる,動詞,部,名詞,318,20.0884,1049,485,1583
24,する,動詞,口,名詞,318,20.0884,1428,359,1583
25,前歯,名詞,際,名詞,310,19.5831,721,620,1583
26,いる,動詞,練習,名詞,309,19.5199,1049,462,1583
27,いる,動詞,ところ,名詞,304,19.204,1049,357,1583
28,いる,動詞,顔面,名詞,303,19.1409,1049,489,1583
29,する,動詞,強打,名詞,302,19.0777,1428,302,1583
30,いる,動詞,歯,名詞,289,18.2565,1049,444,1583
31,いる,動詞,当たる,動詞,288,18.1933,1049,410,1583
32,中,名詞,歯,名詞,287,18.1301,902,444,1583
33,中,名詞,生徒,名詞,281,17.7511,902,505,1583
34,いる,動詞,ボール,名詞,277,17.4984,1049,402,1583
35,練習,名詞,部,名詞,272,17.1826,462,485,1583
36,中,名詞,顔面,名詞,257,16.235,902,489,1583
37,ボール,名詞,中,名詞,254,16.0455,402,902,1583
38,いる,動詞,口,名詞,252,15.9191,1049,359,1583
39,いる,動詞,負傷,名詞,250,15.7928,1049,373,1583
40,する,動詞,ため,名詞,247,15.6033,1428,259,1583
41,中,名詞,当たる,動詞,244,15.4138,902,410,1583
42,する,動詞,活動,名詞,240,15.1611,1428,253,1583
43,中,名詞,転倒,名詞,237,14.9716,902,398,1583
44,活動,名詞,部,名詞,229,14.4662,253,485,1583
45,いる,動詞,転倒,名詞,219,13.8345,1049,398,1583
46,前歯,名詞,部,名詞,218,13.7713,721,485,1583
47,前歯,名詞,生徒,名詞,217,13.7081,721,505,1583
48,中,名詞,口,名詞,210,13.266,902,359,1583
49,する,動詞,試合,名詞,209,13.2028,1428,237,1583
50,中,名詞,負傷,名詞,209,13.2028,902,373,1583
51,する,動詞,とき,名詞,208,13.1396,1428,230,1583
52,する,動詞,自転車,名詞,208,13.1396,1428,216,1583
53,部,名詞,際,名詞,207,13.0764,485,620,1583
54,いる,動詞,ため,名詞,202,12.7606,1049,259,1583
55,際,名詞,顔面,名詞,201,12.6974,620,489,1583
56,ボール,名詞,練習,名詞,200,12.6342,402,462,1583
57,前歯,名詞,当たる,動詞,200,12.6342,721,410,1583
58,加える,動詞,歯科,名詞,196,12.3816,197,197,1583
59,前歯,名詞,練習,名詞,195,12.3184,721,462,1583
60,加える,動詞,補綴,名詞,195,12.3184,197,195,1583
61,当たる,動詞,練習,名詞,195,12.3184,410,462,1583
62,歯科,名詞,補綴,名詞,195,12.3184,197,195,1583
63,中,名詞,活動,名詞,194,12.2552,902,253,1583
64,ボール,名詞,部,名詞,193,12.192,402,485,1583
65,生徒,名詞,際,名詞,193,12.192,505,620,1583
66,生徒,名詞,部,名詞,192,12.1289,505,485,1583
67,する,動詞,野球,名詞,191,12.0657,1428,205,1583
68,いる,動詞,強打,名詞,189,11.9394,1049,302,1583
69,当たる,動詞,生徒,名詞,189,11.9394,410,505,1583
70,いる,動詞,活動,名詞,188,11.8762,1049,253,1583
71,いる,動詞,とき,名詞,187,11.813,1049,230,1583
72,ボール,名詞,当たる,動詞,187,11.813,402,410,1583
73,中,名詞,加える,動詞,187,11.813,902,197,1583
74,中,名詞,歯科,名詞,187,11.813,902,197,1583
75,中,名詞,補綴,名詞,187,11.813,902,195,1583
76,する,動詞,本,名詞,186,11.7498,1428,215,1583
77,練習,名詞,際,名詞,186,11.7498,462,620,1583
78,する,動詞,加える,動詞,185,11.6867,1428,197,1583
79,する,動詞,歯科,名詞,185,11.6867,1428,197,1583
