順位,品詞,基本形,出現回数,出現事例数,事例出現率(%)
1,動詞,する,3278,1428,90.2085
2,動詞,いる,1437,1049,66.2666
3,名詞,中,941,902,56.9804
4,名詞,際,637,620,39.1661
5,名詞,生徒,813,505,31.9015
6,名詞,ところ,373,357,22.5521
7,名詞,ため,289,259,16.3613
8,名詞,活動,261,253,15.9823
9,名詞,とき,240,230,14.5294
10,名詞,他,218,191,12.0657
11,名詞,授業,167,163,10.2969
12,名詞,前,176,162,10.2337
13,動詞,なる,160,146,9.223
14,名詞,上,152,140,8.844
15,名詞,時,138,133,8.4018
16,名詞,児童,228,129,8.1491
17,名詞,後,120,115,7.2647
18,動詞,受ける,109,107,6.7593
19,動詞,行う,94,87,5.4959
20,動詞,ある,85,81,5.1169
21,名詞,下,77,72,4.5483
22,名詞,よう,55,51,3.2217
23,名詞,こと,51,49,3.0954
24,名詞,右,51,47,2.969
25,名詞,学校,45,45,2.8427
26,名詞,自分,41,40,2.5268
27,名詞,左,44,38,2.4005
28,動詞,できる,35,35,2.211
29,名詞,それ,14,14,0.8844
30,名詞,もの,10,10,0.6317
31,名詞,その後,6,6,0.379
32,名詞,これ,1,1,0.0632
33,名詞,事故,1,1,0.0632
34,名詞,災害,1,1,0.0632
