順位,品詞,基本形,出現回数,出現事例数
1,動詞,する,3278,1428
2,動詞,いる,1437,1049
3,名詞,中,941,902
4,名詞,際,637,620
5,名詞,生徒,813,505
6,名詞,部,551,485
7,名詞,練習,507,462
8,名詞,歯,489,444
9,動詞,当たる,427,410
10,名詞,負傷,375,373
11,名詞,口,366,359
12,名詞,ところ,373,357
13,名詞,強打,303,302
14,名詞,ため,289,259
15,名詞,活動,261,253
16,名詞,試合,245,237
17,名詞,とき,240,230
18,名詞,本,255,215
19,名詞,相手,267,211
20,名詞,野球,209,205
21,動詞,打つ,207,202
22,動詞,加える,198,197
23,名詞,歯科,197,197
24,名詞,補綴,196,195
25,名詞,他,218,191
26,名詞,顔,189,183
27,名詞,折,184,183
28,動詞,れる,203,180
29,動詞,破る,176,175
30,名詞,体育,172,169
31,名詞,授業,167,163
32,名詞,前,176,162
33,動詞,しまう,192,159
34,名詞,場,162,157
35,動詞,折れる,154,152
36,動詞,くる,155,149
37,動詞,なる,160,146
38,名詞,上,152,140
39,名詞,運動,144,140
40,名詞,時,138,133
41,形容詞,強い,134,131
42,名詞,児童,228,129
43,動詞,ぶつける,127,125
44,名詞,バランス,126,124
45,名詞,時間,125,124
46,名詞,友人,171,121
47,動詞,崩す,120,120
48,名詞,後,120,115
49,名詞,下校,109,108
50,動詞,受ける,109,107
51,名詞,体育館,111,100
52,名詞,ノック,108,100
53,名詞,直撃,100,99
54,名詞,２,105,95
55,名詞,教室,104,95
56,名詞,登校,93,90
57,動詞,行う,94,87
58,名詞,前方,87,87
59,名詞,人,103,86
60,名詞,打球,97,85
61,名詞,口元,86,85
62,動詞,ある,85,81
63,名詞,守備,80,79
64,名詞,３,88,78
65,動詞,取る,83,78
66,動詞,抜ける,78,77
67,名詞,廊下,93,76
68,動詞,飛ぶ,76,76
69,名詞,道路,83,75
70,動詞,遊ぶ,76,75
71,名詞,頭,77,74
72,名詞,選手,79,72
73,名詞,下,77,72
74,名詞,バスケットボール,72,71
75,名詞,ソフトボール,68,68
76,動詞,捕る,72,65
77,動詞,振る,66,63
78,名詞,サッカー,64,62
79,名詞,休憩,60,60
80,動詞,行く,60,59
81,動詞,打ちつける,58,58
82,名詞,唇,56,56
83,名詞,2,61,55
84,動詞,落ちる,56,55
85,名詞,バッター,59,52
86,動詞,持つ,55,52
87,名詞,よう,55,51
88,名詞,肘,51,50
89,名詞,チーム,55,49
90,名詞,膝,53,49
91,動詞,つく,52,49
92,動詞,出る,51,49
93,名詞,こと,51,49
94,名詞,出血,51,49
95,名詞,口唇,50,49
96,名詞,バッティング,55,48
97,名詞,右,51,47
98,名詞,終了,47,47
99,名詞,イレギュラー,46,46
100,名詞,学校,45,45
101,名詞,1,57,43
102,名詞,１,51,43
103,名詞,3,50,43
104,名詞,近く,44,43
105,動詞,られる,43,43
106,名詞,体,43,43
107,動詞,向かう,43,42
108,名詞,前輪,43,42
109,動詞,ふざける,42,42
110,名詞,途中,42,42
111,名詞,状態,45,41
112,動詞,せる,43,41
113,動詞,追いかける,42,41
114,名詞,前のめり,41,41
115,名詞,後方,42,40
116,名詞,自分,41,40
117,名詞,後ろ,42,39
118,動詞,折る,40,39
119,名詞,勢い,40,39
120,名詞,左,44,38
121,動詞,かける,42,38
122,名詞,横,41,38
123,名詞,付近,40,38
124,動詞,打ち付ける,38,38
125,名詞,下り坂,36,36
126,名詞,ゲーム,36,35
127,動詞,できる,35,35
128,名詞,イレギュラーバウンド,35,35
129,名詞,部分,35,34
130,名詞,シュート,37,33
131,動詞,立つ,35,33
132,名詞,治療,35,33
133,動詞,来る,34,33
134,動詞,入る,33,33
135,名詞,ネット,42,32
136,名詞,グラウンド,33,31
137,動詞,切れる,31,31
138,名詞,バレーボール,31,31
139,名詞,準備,31,31
140,名詞,友達,36,30
141,名詞,内,31,30
142,動詞,欠ける,30,30
143,名詞,部員,34,29
144,動詞,離れる,32,29
145,動詞,避ける,30,29
146,名詞,打撲,30,29
147,名詞,移動,30,29
148,名詞,ブレーキ,29,29
149,名詞,ゴール,36,28
150,動詞,見る,31,28
151,名詞,キャッチャー,31,27
152,名詞,素振り,29,27
153,名詞,まま,27,27
154,名詞,損傷,27,27
155,名詞,フライ,28,26
156,名詞,救急,28,26
157,動詞,押す,27,26
158,名詞,コンクリート,27,26
159,動詞,誤る,26,26
160,名詞,他校,26,26
161,名詞,側,26,26
162,名詞,大会,26,26
163,名詞,祭,26,26
164,名詞,走行,27,25
165,名詞,タイヤ,26,25
166,名詞,隣,26,25
167,名詞,ごと,25,25
168,名詞,数,25,25
169,名詞,鬼ごっこ,25,25
170,名詞,階,35,24
171,名詞,室,28,24
172,名詞,歩道,27,24
173,動詞,追う,26,24
174,名詞,バウンド,25,24
175,動詞,気付く,24,24
176,動詞,終わる,24,24
177,動詞,負う,24,24
178,名詞,両手,24,24
179,名詞,搬送,24,24
180,名詞,激突,24,24
181,名詞,ｍ,24,24
182,名詞,清掃,30,23
183,動詞,おる,25,23
184,動詞,いく,24,23
185,動詞,拾う,24,23
186,名詞,ディフェンス,24,23
187,名詞,外,24,23
188,名詞,ピッチャー,23,23
