順位,カテゴリ,サブカテゴリ,出現回数,出現事例数,事例出現率(%)
1,受傷部位,歯牙,798,746,47.1257
2,受傷部位,顎顔面,613,573,36.1971
3,原因物,スポーツ用具,734,527,33.2912
4,受傷機転,転倒,539,507,32.0278
5,原因物,乗り物,336,232,14.6557
6,衝突対象,床,206,189,11.9394
7,受傷機転,衝突,195,186,11.7498
8,行動,移動,171,152,9.602
9,受傷部位,下肢,153,142,8.9703
10,受傷部位,上肢,136,124,7.8332
11,受傷機転,滑走,118,112,7.0752
12,衝突対象,地面,106,101,6.3803
13,傷害結果,脱臼,89,89,5.6222
14,行動,球技,89,83,5.2432
15,受傷機転,接触,71,68,4.2956
16,傷害結果,欠損,55,55,3.4744
17,受傷機転,転落,55,54,3.4112
18,環境要因,路面,58,53,3.3481
19,受傷部位,頭部,48,48,3.0322
20,受傷機転,つまずき,45,44,2.7795
21,衝突対象,階段,64,43,2.7164
22,行動,乗車,45,39,2.4637
23,受傷部位,眼,43,34,2.1478
24,衝突対象,自転車部品,35,31,1.9583
25,受傷機転,切創,30,30,1.8951
26,原因物,遊具,42,27,1.7056
27,行動,昇降,32,27,1.7056
28,衝突対象,壁,28,25,1.5793
29,環境要因,天候,22,21,1.3266
30,傷害結果,骨折,19,18,1.1371
31,傷害結果,裂傷,15,15,0.9476
32,行動,運動,13,10,0.6317
33,受傷機転,挟圧,7,7,0.4422
34,衝突対象,柱,3,3,0.1895
