順位,特徴語,平均TF-IDF,出現事例数,対象事例数,事例出現率(%)
1,前歯,0.05097564,721,1583,45.5464
2,練習,0.04291716,462,1583,29.1851
3,部,0.04265199,485,1583,30.638
4,当たる,0.04200815,410,1583,25.9002
5,ボール,0.04120016,402,1583,25.3948
6,顔面,0.04106664,489,1583,30.8907
7,歯,0.04023569,444,1583,28.048
8,転倒,0.03716905,398,1583,25.1421
9,負傷,0.03688809,373,1583,23.5629
10,口,0.03620973,359,1583,22.6785
11,強打,0.0294502,302,1583,19.0777
12,試合,0.02892896,237,1583,14.9716
13,野球,0.02723933,205,1583,12.9501
14,相手,0.02723595,211,1583,13.3291
15,自転車,0.02444682,216,1583,13.645
16,打つ,0.02334503,202,1583,12.7606
17,歯科,0.02283671,197,1583,12.4447
18,加える,0.02280467,197,1583,12.4447
19,補綴,0.02275081,195,1583,12.3184
20,本,0.02262492,215,1583,13.5818
21,顔,0.02237233,183,1583,11.5603
22,折,0.02222869,183,1583,11.5603
23,破る,0.02158088,175,1583,11.055
24,床,0.02148725,189,1583,11.9394
25,体育,0.02080722,169,1583,10.6759
26,折れる,0.02062007,152,1583,9.602
27,場,0.01942396,157,1583,9.9179
28,ノック,0.01926205,100,1583,6.3171
29,れる,0.0188553,180,1583,11.3708
30,しまう,0.01836991,159,1583,10.0442
31,ぶつかる,0.01812243,125,1583,7.8964
32,運動,0.01785617,140,1583,8.844
33,強い,0.01785118,131,1583,8.2754
34,くる,0.01784775,149,1583,9.4125
35,足,0.01728556,142,1583,8.9703
36,ぶつける,0.01718212,125,1583,7.8964
37,バランス,0.01638878,124,1583,7.8332
38,友人,0.01621628,121,1583,7.6437
39,崩す,0.01593034,120,1583,7.5805
40,打球,0.01577608,85,1583,5.3696
41,バット,0.01560055,113,1583,7.1383
42,走る,0.01541251,115,1583,7.2647
43,時間,0.01533341,124,1583,7.8332
44,直撃,0.01510466,99,1583,6.2539
45,滑る,0.01501559,112,1583,7.0752
46,手,0.01494863,123,1583,7.7701
47,下校,0.01459299,108,1583,6.8225
48,地面,0.01377826,101,1583,6.3803
49,守備,0.01377743,79,1583,4.9905
50,登校,0.01360923,90,1583,5.6854
51,体育館,0.01359764,100,1583,6.3171
52,口元,0.01297207,85,1583,5.3696
53,脱臼,0.01278186,89,1583,5.6222
54,選手,0.01248211,72,1583,4.5483
55,２,0.01245099,95,1583,6.0013
56,バスケットボール,0.01241486,71,1583,4.4852
57,教室,0.01241242,95,1583,6.0013
58,頭,0.0124081,74,1583,4.6747
59,接触,0.011808,68,1583,4.2956
60,道路,0.01164692,75,1583,4.7378
61,飛ぶ,0.01159325,76,1583,4.801
62,取る,0.01156891,78,1583,4.9274
63,捕る,0.01153036,65,1583,4.1061
64,前方,0.01150153,87,1583,5.4959
65,顎,0.01125378,76,1583,4.801
66,３,0.01101727,78,1583,4.9274
67,廊下,0.0109993,76,1583,4.801
68,サッカー,0.01097963,62,1583,3.9166
69,ソフトボール,0.01080727,68,1583,4.2956
70,抜ける,0.01072602,77,1583,4.8642
71,イレギュラー,0.01069983,46,1583,2.9059
72,倒れる,0.01069884,87,1583,5.4959
73,衝突,0.01067122,66,1583,4.1693
74,肘,0.01032441,50,1583,3.1586
75,人,0.01029078,86,1583,5.4327
76,遊ぶ,0.01016886,75,1583,4.7378
77,振る,0.0097956,63,1583,3.9798
78,投げる,0.00943732,55,1583,3.4744
79,球,0.0093976,53,1583,3.3481
80,バッター,0.00935053,52,1583,3.2849
81,休憩,0.00931173,60,1583,3.7903
82,バッティング,0.00920667,48,1583,3.0322
83,打ちつける,0.00901163,58,1583,3.6639
84,唇,0.00896763,56,1583,3.5376
85,行く,0.00882087,59,1583,3.7271
86,欠損,0.00876066,55,1583,3.4744
87,イレギュラーバウンド,0.00860615,35,1583,2.211
88,チーム,0.00832395,49,1583,3.0954
89,口唇,0.0081981,49,1583,3.0954
90,頭部,0.0080575,48,1583,3.0322
91,膝,0.00794039,49,1583,3.0954
92,落ちる,0.00787104,55,1583,3.4744
93,折る,0.00752802,39,1583,2.4637
94,2,0.00751275,55,1583,3.4744
95,出る,0.00737607,49,1583,3.0954
96,つまずく,0.00731226,44,1583,2.7795
97,前輪,0.00711266,42,1583,2.6532
98,持つ,0.00710831,52,1583,3.2849
99,つく,0.00707839,49,1583,3.0954
100,ふざける,0.00703077,42,1583,2.6532
101,転ぶ,0.00693077,36,1583,2.2742
102,終了,0.00692676,47,1583,2.969
103,出血,0.00690647,49,1583,3.0954
104,歩く,0.00678657,42,1583,2.6532
105,追いかける,0.00676192,41,1583,2.59
106,近く,0.00671338,43,1583,2.7164
107,ゲーム,0.00671257,35,1583,2.211
108,前のめり,0.00666554,41,1583,2.59
109,階段,0.00661893,43,1583,2.7164
110,られる,0.00653195,43,1583,2.7164
111,後ろ,0.00653034,39,1583,2.4637
112,せる,0.00651145,41,1583,2.59
113,途中,0.00644577,42,1583,2.6532
114,3,0.0063491,43,1583,2.7164
115,向かう,0.00623271,42,1583,2.6532
116,1,0.00615866,43,1583,2.7164
117,付近,0.00614298,38,1583,2.4005
118,下り坂,0.00611046,36,1583,2.2742
119,シュート,0.00610749,33,1583,2.0846
120,１,0.00607604,43,1583,2.7164
121,グラウンド,0.00600705,31,1583,1.9583
122,打ち付ける,0.00596652,38,1583,2.4005
123,バレーボール,0.00594249,31,1583,1.9583
124,乗る,0.00589642,39,1583,2.4637
125,切れる,0.00585668,31,1583,1.9583
126,体,0.00585131,43,1583,2.7164
127,段差,0.00581735,31,1583,1.9583
128,後方,0.00581451,40,1583,2.5268
129,バウンド,0.00575082,24,1583,1.5161
130,ピッチャー,0.00565857,23,1583,1.4529
131,勢い,0.00562714,39,1583,2.4637
132,かける,0.00558311,38,1583,2.4005
133,状態,0.00554989,41,1583,2.59
134,横,0.00551067,38,1583,2.4005
135,ネット,0.0054695,32,1583,2.0215
136,立つ,0.00546517,33,1583,2.0846
137,入る,0.00545285,33,1583,2.0846
138,蹴る,0.00541468,29,1583,1.832
139,来る,0.00537662,33,1583,2.0846
140,ハンドル,0.00531078,31,1583,1.9583
141,避ける,0.00523477,29,1583,1.832
142,欠ける,0.00521618,30,1583,1.8951
143,素振り,0.00520005,27,1583,1.7056
144,ディフェンス,0.0051844,23,1583,1.4529
145,誤る,0.00518269,26,1583,1.6425
146,歯牙,0.00517739,34,1583,2.1478
147,キャッチャー,0.00516887,27,1583,1.7056
148,部分,0.00516126,34,1583,2.1478
149,準備,0.00515307,31,1583,1.9583
150,治療,0.00514784,33,1583,2.0846
151,部員,0.00513243,29,1583,1.832
152,打撲,0.00513124,29,1583,1.832
153,フライ,0.0050755,26,1583,1.6425
154,友達,0.00505615,30,1583,1.8951
155,他校,0.0050207,26,1583,1.6425
156,移動,0.0048344,29,1583,1.832
157,上顎,0.00482862,27,1583,1.7056
158,形式,0.0048116,22,1583,1.3898
159,ゴール,0.00479978,28,1583,1.7688
160,損傷,0.0047845,27,1583,1.7056
161,切る,0.00466101,30,1583,1.8951
162,内,0.00463833,30,1583,1.8951
163,離れる,0.0046077,29,1583,1.832
164,走行,0.00457693,25,1583,1.5793
165,祭,0.00454534,26,1583,1.6425
166,拾う,0.00444545,23,1583,1.4529
167,当たり,0.00441898,21,1583,1.3266
168,ブレーキ,0.00440578,29,1583,1.832
169,ラケット,0.00440566,23,1583,1.4529
170,鬼ごっこ,0.00437565,25,1583,1.5793
171,車,0.00436241,28,1583,1.7688
172,目,0.00436189,30,1583,1.8951
173,大会,0.00435996,26,1583,1.6425
174,終わる,0.00432443,24,1583,1.5161
175,落下,0.00431795,29,1583,1.832
176,コンクリート,0.00429342,26,1583,1.6425
177,歩道,0.00426519,24,1583,1.5161
178,隣,0.00426195,25,1583,1.5793
179,側,0.00423976,26,1583,1.6425
180,スティック,0.00422476,20,1583,1.2634
181,壁,0.00421564,25,1583,1.5793
182,肩,0.0042029,22,1583,1.3898
183,押す,0.00419135,26,1583,1.6425
184,損ねる,0.00418117,18,1583,1.1371
185,的,0.00416654,22,1583,1.3898
186,路面,0.00416144,22,1583,1.3898
187,タイヤ,0.00416008,25,1583,1.5793
188,ゴールキーパー,0.00414648,19,1583,1.2003
189,激突,0.00412931,24,1583,1.5161
190,見る,0.0041157,28,1583,1.7688
191,額,0.00411178,19,1583,1.2003
192,まま,0.00407534,27,1583,1.7056
193,参加,0.00407459,22,1583,1.3898
194,気付く,0.00406366,24,1583,1.5161
195,外れる,0.00405971,20,1583,1.2634
196,バント,0.00405759,15,1583,0.9476
197,室,0.00403122,24,1583,1.5161
198,転落,0.00402643,25,1583,1.5793
199,清掃,0.00399675,23,1583,1.4529
200,きれる,0.00399632,21,1583,1.3266
201,追う,0.00397902,24,1583,1.5161
202,レシーブ,0.00395526,17,1583,1.0739
203,救急,0.00393998,26,1583,1.6425
204,外,0.00389448,23,1583,1.4529
205,支柱,0.00386286,20,1583,1.2634
206,守る,0.00385545,19,1583,1.2003
207,スピード,0.00385408,21,1583,1.3266
208,とる,0.0038398,21,1583,1.3266
209,いく,0.00382272,23,1583,1.4529
210,搬送,0.0037809,24,1583,1.5161
211,負う,0.00373537,24,1583,1.5161
212,昼食,0.00373403,21,1583,1.3266
213,ごと,0.00373011,25,1583,1.5793
214,跳ね返る,0.00372683,16,1583,1.0107
215,別,0.0037154,20,1583,1.2634
216,おる,0.00370643,23,1583,1.4529
217,送球,0.00368905,17,1583,1.0739
218,打者,0.00367743,18,1583,1.1371
219,鼻,0.00367021,21,1583,1.3266
220,両手,0.00364718,24,1583,1.5161
221,着地,0.00361608,19,1583,1.2003
222,直接,0.00359926,15,1583,0.9476
223,上がる,0.00359166,21,1583,1.3266
224,降りる,0.00357533,22,1583,1.3898
225,柔道,0.00357024,15,1583,0.9476
226,失う,0.00356265,21,1583,1.3266
227,打撃,0.00355879,16,1583,1.0107
228,階,0.00354958,24,1583,1.5161
229,キャッチ,0.00353099,16,1583,1.0107
230,クラス,0.00350622,20,1583,1.2634
231,戻る,0.00349444,22,1583,1.3898
232,上唇,0.00346622,17,1583,1.0739
233,ｍ,0.00346194,24,1583,1.5161
234,数,0.00340505,25,1583,1.5793
235,ホッケー,0.0033939,16,1583,1.0107
236,二,0.00338846,20,1583,1.2634
237,絡まる,0.0033755,15,1583,0.9476
238,引っ掛かる,0.00335204,18,1583,1.1371
239,腕,0.00334884,17,1583,1.0739
240,競技,0.00333751,20,1583,1.2634
241,坂道,0.0033267,18,1583,1.1371
242,急,0.00331977,20,1583,1.2634
243,そう,0.00331772,19,1583,1.2003
244,校庭,0.00331506,19,1583,1.2003
245,机,0.00330197,20,1583,1.2634
246,雨,0.00330166,20,1583,1.2634
247,出す,0.00330138,19,1583,1.2003
248,曲がる,0.00329991,17,1583,1.0739
249,校舎,0.00329975,19,1583,1.2003
250,４,0.00329315,17,1583,1.0739
251,朝,0.00327474,20,1583,1.2634
252,側溝,0.00326841,17,1583,1.0739
253,意識,0.00326004,20,1583,1.2634
254,傘,0.00325328,16,1583,1.0107
255,振り向く,0.00324108,17,1583,1.0739
256,昼休み,0.00322486,17,1583,1.0739
257,方向,0.00321998,18,1583,1.1371
258,棒,0.00321589,19,1583,1.2003
259,シート,0.00320391,13,1583,0.8212
260,外野,0.00318188,14,1583,0.8844
261,正面,0.00317637,17,1583,1.0739
262,バッターボックス,0.0031678,15,1583,0.9476
263,鉄棒,0.00313056,16,1583,1.0107
264,口腔,0.00310708,18,1583,1.1371
265,脱落,0.0031068,16,1583,1.0107
266,ドッジボール,0.00310149,13,1583,0.8212
267,骨折,0.00308437,18,1583,1.1371
268,先,0.0030834,21,1583,1.3266
269,上下,0.00307821,17,1583,1.0739
270,特定,0.00307087,17,1583,1.0739
271,ひっかかる,0.00306687,14,1583,0.8844
272,ショート,0.00305993,14,1583,0.8844
273,受診,0.00302569,18,1583,1.1371
274,プール,0.00302251,15,1583,0.9476
275,ジャンプ,0.00301974,16,1583,1.0107
276,指導,0.00301331,18,1583,1.1371
277,セカンド,0.00300079,13,1583,0.8212
278,サード,0.0029812,13,1583,0.8212
279,激しい,0.00295901,15,1583,0.9476
280,ドリブル,0.00295172,13,1583,0.8212
281,ランニング,0.00294539,15,1583,0.9476
282,うし,0.00293458,17,1583,1.0739
283,ろ,0.00293458,17,1583,1.0739
284,かかる,0.00292224,18,1583,1.1371
285,間,0.00290955,19,1583,1.2003
286,テニス,0.00289252,14,1583,0.8844
287,コート,0.00288722,17,1583,1.0739
288,次,0.00288185,16,1583,1.0107
289,の,0.00288085,18,1583,1.1371
290,カーブ,0.00287534,14,1583,0.8844
291,使う,0.00286877,16,1583,1.0107
292,止まる,0.0028594,16,1583,1.0107
293,抜け落ちる,0.00285667,17,1583,1.0739
294,キャッチボール,0.0028543,12,1583,0.7581
295,瞬間,0.00285417,17,1583,1.0739
296,破損,0.002846,13,1583,0.8212
297,下る,0.00283458,16,1583,1.0107
298,濡れる,0.00282777,15,1583,0.9476
299,雑巾,0.00282496,11,1583,0.6949
300,方,0.00281599,16,1583,1.0107
