順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,受傷部位:下肢,足,1.0,667,667,667,667,7682
2,床,衝突対象:床,1.0,465,465,465,465,7682
3,地面,衝突対象:地面,1.0,429,429,429,429,7682
4,傷害結果:骨折,骨折,1.0,389,389,389,389,7682
5,受傷機転:滑走,滑る,1.0,388,388,388,388,7682
6,受傷部位:頭部,頭部,1.0,373,373,373,373,7682
7,切る,受傷機転:切創,1.0,303,303,303,303,7682
8,受傷機転:接触,接触,1.0,239,239,239,239,7682
9,乗る,行動:乗車,1.0,196,196,196,196,7682
10,衝突対象:階段,階段,1.0,194,194,194,194,7682
11,つまずく,受傷機転:つまずき,1.0,169,169,169,169,7682
12,傷害結果:脱臼,脱臼,1.0,131,131,131,131,7682
13,壁,衝突対象:壁,1.0,124,124,124,124,7682
14,傷害結果:欠損,欠損,1.0,104,104,104,104,7682
15,行動:運動,跳ぶ,1.0,94,94,94,94,7682
16,傷害結果:裂傷,裂傷,1.0,84,84,84,84,7682
17,ハンドル,衝突対象:自転車部品,1.0,68,68,68,68,7682
18,受傷機転:挟圧,挟まる,1.0,55,55,55,55,7682
19,柱,衝突対象:柱,1.0,46,46,46,46,7682
20,傷害結果:熱傷,熱傷,1.0,37,37,37,37,7682
21,つま,づく,1.0,21,21,21,21,7682
22,散る,瞳,0.991071,111,112,111,112,7682
23,歯科,補綴,0.985294,201,204,201,204,7682
24,前歯,受傷部位:歯牙,0.965251,750,750,777,777,7682
25,動,細,0.965116,83,85,84,86,7682
26,細,除,0.964286,81,84,81,84,7682
27,動,除,0.952941,81,85,81,85,7682
28,痕,線,0.951807,158,159,165,166,7682
29,斑,黄,0.95,19,20,19,20,7682
30,うし,ろ,0.948718,111,111,117,117,7682
31,加える,補綴,0.948113,201,212,201,212,7682
32,制限,域,0.945946,35,37,35,37,7682
33,加える,歯科,0.943925,202,212,204,214,7682
34,器質,精神,0.9375,15,15,16,16,7682
35,頚,髄,0.9375,15,16,15,16,7682
36,119,通報,0.928571,26,26,28,28,7682
37,出来事,管理,0.916667,33,34,35,36,7682
38,複,視,0.904762,76,76,84,84,7682
39,硬い,血腫,0.894737,17,18,18,19,7682
40,受傷部位:眼,眼,0.885216,1473,1664,1473,1664,7682
41,ドクター,ヘリ,0.882353,15,15,17,17,7682
42,折,破る,0.881773,179,203,179,203,7682
43,可動,域,0.875,35,40,35,40,7682
44,出来事,関わる,0.868421,33,34,37,38,7682
45,円,孔,0.866667,13,15,13,15,7682
46,バランス,崩す,0.848858,483,534,518,569,7682
47,管理,関わる,0.846154,33,35,37,39,7682
48,状,痕,0.84492,158,186,159,187,7682
49,ボール,原因物:スポーツ用具,0.839193,1623,1623,1934,1934,7682
50,制限,可動,0.833333,35,37,40,42,7682
51,受傷部位:顎顔面,顔面,0.821994,1039,1264,1039,1264,7682
52,状,線,0.818653,158,186,165,193,7682
53,不要,解析,0.818182,9,10,10,11,7682
54,搬送,救急,0.816193,373,414,416,457,7682
55,中心,点,0.8,36,40,41,45,7682
56,行動:移動,走る,0.790123,704,891,704,891,7682
57,断,裂,0.785714,22,26,24,28,7682
58,中心,暗い,0.782609,36,40,42,46,7682
59,はぐ,ふく,0.769231,10,10,13,13,7682
60,暗い,点,0.765957,36,42,41,47,7682
61,医療,機関,0.75,12,16,12,16,7682
62,水分,補給,0.75,9,10,11,12,7682
63,受傷部位:上肢,手,0.748524,634,847,634,847,7682
64,ICD,植込み,0.736842,56,57,75,76,7682
65,付,原動機,0.733333,11,12,14,15,7682
66,環境要因:天候,雨,0.727273,48,66,48,66,7682
67,うつ,伏せ,0.722222,13,18,13,18,7682
68,至近,距離,0.708861,56,56,79,79,7682
69,ぶつかる,受傷機転:衝突,0.707285,534,534,755,755,7682
70,脳,高次,0.684783,63,92,63,92,7682
71,孔,黄,0.684211,13,13,19,19,7682
72,行動:昇降,降りる,0.682432,101,148,101,148,7682
73,(,),0.677419,21,31,21,31,7682
