順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,受傷機転:転倒,受傷部位:顎顔面,0.288783,242,507,573,838,1583
2,原因物:乗り物,受傷機転:転倒,0.287456,165,232,507,574,1583
3,受傷機転:転倒,受傷部位:歯牙,0.233268,237,507,746,1016,1583
4,原因物:スポーツ用具,受傷部位:歯牙,0.226397,235,527,746,1038,1583
5,受傷機転:転倒,衝突対象:床,0.208333,120,507,189,576,1583
6,受傷機転:滑走,受傷部位:下肢,0.203791,43,112,142,211,1583
7,受傷部位:歯牙,受傷部位:顎顔面,0.200182,220,746,573,1099,1583
8,受傷部位:下肢,衝突対象:床,0.182143,51,142,189,280,1583
9,原因物:スポーツ用具,受傷部位:顎顔面,0.164021,155,527,573,945,1583
10,原因物:乗り物,衝突対象:地面,0.160279,46,232,101,287,1583
11,受傷機転:転倒,受傷部位:下肢,0.152753,86,507,142,563,1583
12,受傷機転:滑走,受傷機転:転倒,0.150558,81,112,507,538,1583
13,原因物:乗り物,受傷部位:顎顔面,0.15,105,232,573,700,1583
14,受傷機転:転倒,衝突対象:地面,0.134328,72,507,101,536,1583
15,受傷部位:顎顔面,衝突対象:床,0.130564,88,573,189,674,1583
16,行動:昇降,衝突対象:階段,0.129032,8,27,43,62,1583
17,受傷機転:転倒,行動:移動,0.128425,75,507,152,584,1583
18,受傷機転:滑走,衝突対象:床,0.127341,34,112,189,267,1583
19,受傷部位:歯牙,衝突対象:床,0.121103,101,746,189,834,1583
20,受傷機転:衝突,受傷部位:歯牙,0.117506,98,186,746,834,1583
21,原因物:乗り物,衝突対象:自転車部品,0.114407,27,232,31,236,1583
22,原因物:乗り物,環境要因:路面,0.108949,28,232,53,257,1583
23,傷害結果:脱臼,傷害結果:骨折,0.103093,10,89,18,97,1583
24,受傷機転:滑走,受傷部位:上肢,0.102804,22,112,124,214,1583
25,原因物:乗り物,受傷部位:歯牙,0.102593,91,232,746,887,1583
26,受傷機転:転落,衝突対象:階段,0.102273,9,54,43,88,1583
27,傷害結果:脱臼,受傷部位:歯牙,0.101583,77,89,746,758,1583
28,受傷部位:上肢,衝突対象:床,0.098246,28,124,189,285,1583
29,受傷機転:衝突,行動:移動,0.097403,30,186,152,308,1583
30,受傷部位:下肢,受傷部位:顎顔面,0.094946,62,142,573,653,1583
31,原因物:遊具,受傷機転:転落,0.094595,7,27,54,74,1583
32,受傷部位:顎顔面,衝突対象:地面,0.094156,58,573,101,616,1583
33,受傷機転:転落,行動:乗車,0.094118,8,54,39,85,1583
34,受傷機転:衝突,受傷部位:顎顔面,0.09366,65,186,573,694,1583
35,受傷部位:歯牙,行動:移動,0.092457,76,746,152,822,1583
36,受傷部位:下肢,受傷部位:歯牙,0.088235,72,142,746,816,1583
37,原因物:スポーツ用具,受傷機転:衝突,0.08689,57,527,186,656,1583
38,原因物:スポーツ用具,行動:球技,0.085409,48,527,83,562,1583
39,受傷部位:下肢,行動:移動,0.084871,23,142,152,271,1583
40,傷害結果:脱臼,傷害結果:裂傷,0.083333,8,89,15,96,1583
41,受傷機転:転倒,環境要因:路面,0.083172,43,507,53,517,1583
42,原因物:遊具,行動:乗車,0.081967,5,27,39,61,1583
43,行動:乗車,行動:昇降,0.081967,5,39,27,61,1583
44,受傷部位:上肢,受傷部位:顎顔面,0.08062,52,124,573,645,1583
45,受傷機転:転落,行動:昇降,0.08,6,54,27,75,1583
46,環境要因:路面,衝突対象:地面,0.076923,11,53,101,143,1583
47,環境要因:路面,衝突対象:自転車部品,0.076923,6,53,31,78,1583
48,受傷部位:顎顔面,行動:移動,0.075668,51,573,152,674,1583
49,受傷機転:滑走,受傷部位:顎顔面,0.075353,48,112,573,637,1583
50,受傷機転:つまずき,衝突対象:階段,0.074074,6,44,43,81,1583
51,受傷部位:上肢,受傷部位:歯牙,0.07275,59,124,746,811,1583
52,原因物:乗り物,受傷機転:滑走,0.071651,23,232,112,321,1583
53,原因物:乗り物,受傷機転:接触,0.071429,20,232,68,280,1583
54,受傷部位:上肢,衝突対象:地面,0.071429,15,124,101,210,1583
55,原因物:乗り物,行動:乗車,0.071146,18,232,39,253,1583
56,受傷機転:滑走,衝突対象:地面,0.070352,14,112,101,199,1583
57,受傷部位:眼,衝突対象:階段,0.069444,5,34,43,72,1583
58,原因物:乗り物,受傷機転:衝突,0.069054,27,232,186,391,1583
59,受傷機転:衝突,受傷部位:頭部,0.068493,15,186,48,219,1583
60,受傷部位:上肢,受傷部位:下肢,0.068273,17,124,142,249,1583
61,傷害結果:欠損,受傷部位:歯牙,0.068,51,55,746,750,1583
62,受傷機転:転倒,受傷部位:上肢,0.067682,40,507,124,591,1583
63,受傷機転:つまずき,環境要因:路面,0.065934,6,44,53,91,1583
64,受傷機転:つまずき,行動:移動,0.065217,12,44,152,184,1583
65,受傷機転:滑走,環境要因:路面,0.064516,10,112,53,155,1583
66,受傷機転:滑走,環境要因:天候,0.064,8,112,21,125,1583
67,受傷機転:つまずき,受傷機転:転倒,0.063707,33,44,507,518,1583
68,受傷機転:滑走,受傷部位:歯牙,0.063197,51,112,746,807,1583
69,受傷機転:接触,受傷機転:転倒,0.062847,34,68,507,541,1583
70,原因物:スポーツ用具,受傷部位:上肢,0.06199,38,527,124,613,1583
71,受傷機転:滑走,衝突対象:階段,0.061644,9,112,43,146,1583
72,環境要因:天候,衝突対象:自転車部品,0.061224,3,21,31,49,1583
73,傷害結果:骨折,受傷機転:転落,0.058824,4,18,54,68,1583
74,原因物:遊具,行動:昇降,0.058824,3,27,27,51,1583
75,行動:移動,衝突対象:地面,0.058577,14,152,101,239,1583
76,受傷部位:眼,環境要因:天候,0.057692,3,34,21,52,1583
77,受傷部位:上肢,行動:移動,0.057471,15,124,152,261,1583
78,受傷部位:歯牙,衝突対象:地面,0.057428,46,746,101,801,1583
79,行動:移動,衝突対象:床,0.055728,18,152,189,323,1583
80,受傷機転:衝突,受傷機転:転倒,0.054795,36,186,507,657,1583
81,受傷機転:接触,受傷部位:頭部,0.054545,6,68,48,110,1583
82,受傷機転:転落,衝突対象:地面,0.054422,8,54,101,147,1583
83,原因物:乗り物,環境要因:天候,0.054167,13,232,21,240,1583
