順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,床,衝突対象:床,1.0,189,189,189,189,1583
2,受傷部位:下肢,足,1.0,142,142,142,142,1583
3,受傷機転:滑走,滑る,1.0,112,112,112,112,1583
4,地面,衝突対象:地面,1.0,101,101,101,101,1583
5,傷害結果:脱臼,脱臼,1.0,89,89,89,89,1583
6,受傷機転:接触,接触,1.0,68,68,68,68,1583
7,傷害結果:欠損,欠損,1.0,55,55,55,55,1583
8,受傷部位:頭部,頭部,1.0,48,48,48,48,1583
9,つまずく,受傷機転:つまずき,1.0,44,44,44,44,1583
10,衝突対象:階段,階段,1.0,43,43,43,43,1583
11,乗る,行動:乗車,1.0,39,39,39,39,1583
12,ハンドル,衝突対象:自転車部品,1.0,31,31,31,31,1583
13,切る,受傷機転:切創,1.0,30,30,30,30,1583
14,壁,衝突対象:壁,1.0,25,25,25,25,1583
15,傷害結果:骨折,骨折,1.0,18,18,18,18,1583
16,うし,ろ,1.0,17,17,17,17,1583
17,傷害結果:裂傷,裂傷,1.0,15,15,15,15,1583
18,行動:運動,跳ぶ,1.0,10,10,10,10,1583
19,受傷機転:挟圧,挟まる,1.0,7,7,7,7,1583
20,つま,づく,1.0,6,6,6,6,1583
21,乗り出す,身,1.0,3,3,3,3,1583
22,柱,衝突対象:柱,1.0,3,3,3,3,1583
23,研究,課題,1.0,3,3,3,3,1583
24,受傷部位:上肢,手,0.991935,123,124,123,124,1583
25,加える,歯科,0.989899,196,197,197,198,1583
26,加える,補綴,0.989848,195,197,195,197,1583
27,歯科,補綴,0.989848,195,197,195,197,1583
28,前歯,受傷部位:歯牙,0.966488,721,721,746,746,1583
29,折,破る,0.956284,175,183,175,183,1583
30,環境要因:天候,雨,0.952381,20,21,20,21,1583
31,原因物:乗り物,自転車,0.931034,216,232,216,232,1583
32,搬送,救急,0.923077,24,24,26,26,1583
33,受傷部位:眼,目,0.882353,30,34,30,34,1583
34,バランス,崩す,0.876923,114,124,120,130,1583
35,受傷部位:顎顔面,顔面,0.853403,489,573,489,573,1583
36,行動:昇降,降りる,0.814815,22,27,22,27,1583
37,デッキ,ブラシ,0.8,4,4,5,5,1583
38,受傷機転:転倒,転倒,0.78501,398,507,398,507,1583
39,ボール,原因物:スポーツ用具,0.762808,402,402,527,527,1583
40,行動:移動,走る,0.756579,115,152,115,152,1583
41,至近,距離,0.75,3,3,4,4,1583
42,歯槽,骨,0.727273,8,8,11,11,1583
43,路,通学,0.727273,8,10,9,11,1583
44,場,運動,0.697143,122,157,140,175,1583
45,ぶつかる,受傷機転:衝突,0.672043,125,125,186,186,1583
46,投げる,行動:球技,0.662651,55,55,83,83,1583
47,スティック,ホッケー,0.636364,14,20,16,22,1583
48,てんかん,発作,0.625,5,5,8,8,1583
49,支援,特別,0.6,3,4,4,5,1583
50,原因物:遊具,鉄棒,0.592593,16,27,16,27,1583
51,段差,環境要因:路面,0.584906,31,31,53,53,1583
52,悪い,気分,0.583333,7,10,9,12,1583
53,受傷機転:転落,落下,0.537037,29,54,29,54,1583
54,傷害結果:骨折,骨,0.526316,10,18,11,19,1583
55,骨,骨折,0.526316,10,11,18,19,1583
56,経路,通常,0.5,4,4,8,8,1583
57,寄宿舎,浴室,0.5,3,5,4,6,1583
58,立てる,腹,0.5,3,4,5,6,1583
59,ピッチングマシン,マシン,0.5,2,3,3,4,1583
60,休業,春季,0.5,2,3,3,4,1583
61,かけっこ,追う,0.48,12,13,24,25,1583
62,下る,坂道,0.478261,11,16,18,23,1583
63,受傷機転:転落,転落,0.462963,25,54,25,54,1583
64,がけ,雑巾,0.461538,6,8,11,13,1583
65,歩行,者,0.461538,6,11,8,13,1583
66,傷害結果:骨折,歯槽,0.444444,8,18,8,18,1583
67,歯槽,骨折,0.444444,8,8,18,18,1583
68,クラブ,ゴルフ,0.444444,4,9,4,9,1583
69,戦,紅白,0.444444,4,8,5,9,1583
70,休憩,時間,0.4375,56,60,124,128,1583
71,ソフトボール,バット,0.425197,54,68,113,127,1583
72,練習,部,0.402963,272,462,485,675,1583
73,じゃれる,休み,0.4,2,4,3,5,1583
74,上履き,脱ぐ,0.4,2,3,4,5,1583
75,左折,通行,0.4,2,4,3,5,1583
76,逃げる,鬼,0.384615,5,13,5,13,1583
77,受診,治療,0.378378,14,18,33,37,1583
78,サイド,プール,0.375,6,7,15,16,1583
79,テニス,ラケット,0.37037,10,14,23,27,1583
80,部,野球,0.363636,184,485,205,506,1583
81,搬送,治療,0.357143,15,24,33,42,1583
82,受傷機転:衝突,衝突,0.354839,66,186,66,186,1583
83,行動:球技,蹴る,0.349398,29,83,29,83,1583
84,降る,雨,0.347826,8,11,20,23,1583
85,ジャンプ,着地,0.346154,9,16,19,26,1583
86,原因物:スポーツ用具,当たる,0.342407,239,527,410,698,1583
87,救急,治療,0.340909,15,26,33,44,1583
88,原因物:遊具,遊具,0.333333,9,27,9,27,1583
89,環境要因:天候,降る,0.333333,8,21,11,24,1583
90,さ,高い,0.333333,6,9,15,18,1583
91,ずれる,タイミング,0.333333,2,3,5,6,1583
92,キック,ボード,0.333333,2,5,3,6,1583
93,スパイク,結ぶ,0.333333,2,5,3,6,1583
94,ダブルス,組む,0.333333,2,5,3,6,1583
95,チアリーディング,ポジション,0.333333,2,3,5,6,1583
96,チアリーディング,受け止める,0.333333,2,3,5,6,1583
97,デッキ,柄,0.333333,2,4,4,6,1583
98,パンチ,腹部,0.333333,2,3,5,6,1583
99,マネージャー,出し,0.333333,2,3,5,6,1583
100,ミーティング,貧血,0.333333,2,4,4,6,1583
101,両足,弾み,0.333333,2,5,3,6,1583
102,卒業,式,0.333333,2,3,5,6,1583
103,団,竹,0.333333,2,3,5,6,1583
104,逸れる,鉄柱,0.333333,2,4,4,6,1583
105,原因物:スポーツ用具,練習,0.332884,247,527,462,742,1583
106,登校,自転車,0.330435,76,90,216,230,1583
107,原因物:乗り物,転倒,0.329114,156,232,398,474,1583
108,自転車,転倒,0.329004,152,216,398,462,1583
109,ハンドル,操作,0.322581,10,31,10,31,1583
110,失う,意識,0.322581,10,21,20,31,1583
111,操作,衝突対象:自転車部品,0.322581,10,10,31,31,1583
112,歩道,車道,0.32,8,24,9,25,1583
113,原因物:乗り物,登校,0.319672,78,232,90,244,1583
114,かける,ブレーキ,0.313725,16,38,29,51,1583
