順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,うし,ろ,1.0,17,17,17,17,1583
2,つま,づく,1.0,6,6,6,6,1583
3,乗り出す,身,1.0,3,3,3,3,1583
4,研究,課題,1.0,3,3,3,3,1583
5,加える,歯科,0.989899,196,197,197,198,1583
6,加える,補綴,0.989848,195,197,195,197,1583
7,歯科,補綴,0.989848,195,197,195,197,1583
8,折,破る,0.956284,175,183,175,183,1583
9,搬送,救急,0.923077,24,24,26,26,1583
10,バランス,崩す,0.876923,114,124,120,130,1583
11,デッキ,ブラシ,0.8,4,4,5,5,1583
12,至近,距離,0.75,3,3,4,4,1583
13,歯槽,骨,0.727273,8,8,11,11,1583
14,路,通学,0.727273,8,10,9,11,1583
15,場,運動,0.697143,122,157,140,175,1583
16,スティック,ホッケー,0.636364,14,20,16,22,1583
17,てんかん,発作,0.625,5,5,8,8,1583
18,支援,特別,0.6,3,4,4,5,1583
19,悪い,気分,0.583333,7,10,9,12,1583
20,骨,骨折,0.526316,10,11,18,19,1583
21,経路,通常,0.5,4,4,8,8,1583
22,寄宿舎,浴室,0.5,3,5,4,6,1583
23,立てる,腹,0.5,3,4,5,6,1583
24,ピッチングマシン,マシン,0.5,2,3,3,4,1583
25,休業,春季,0.5,2,3,3,4,1583
26,かけっこ,追う,0.48,12,13,24,25,1583
27,下る,坂道,0.478261,11,16,18,23,1583
28,がけ,雑巾,0.461538,6,8,11,13,1583
29,歩行,者,0.461538,6,11,8,13,1583
30,歯槽,骨折,0.444444,8,8,18,18,1583
31,クラブ,ゴルフ,0.444444,4,9,4,9,1583
32,戦,紅白,0.444444,4,8,5,9,1583
33,休憩,時間,0.4375,56,60,124,128,1583
34,ソフトボール,バット,0.425197,54,68,113,127,1583
35,練習,部,0.402963,272,462,485,675,1583
36,じゃれる,休み,0.4,2,4,3,5,1583
37,上履き,脱ぐ,0.4,2,3,4,5,1583
38,左折,通行,0.4,2,4,3,5,1583
39,逃げる,鬼,0.384615,5,13,5,13,1583
40,受診,治療,0.378378,14,18,33,37,1583
41,サイド,プール,0.375,6,7,15,16,1583
42,テニス,ラケット,0.37037,10,14,23,27,1583
43,部,野球,0.363636,184,485,205,506,1583
44,搬送,治療,0.357143,15,24,33,42,1583
45,降る,雨,0.347826,8,11,20,23,1583
46,ジャンプ,着地,0.346154,9,16,19,26,1583
47,救急,治療,0.340909,15,26,33,44,1583
48,さ,高い,0.333333,6,9,15,18,1583
49,ずれる,タイミング,0.333333,2,3,5,6,1583
50,キック,ボード,0.333333,2,5,3,6,1583
51,スパイク,結ぶ,0.333333,2,5,3,6,1583
52,ダブルス,組む,0.333333,2,5,3,6,1583
53,チアリーディング,ポジション,0.333333,2,3,5,6,1583
54,チアリーディング,受け止める,0.333333,2,3,5,6,1583
55,デッキ,柄,0.333333,2,4,4,6,1583
56,パンチ,腹部,0.333333,2,3,5,6,1583
57,マネージャー,出し,0.333333,2,3,5,6,1583
58,ミーティング,貧血,0.333333,2,4,4,6,1583
59,両足,弾み,0.333333,2,5,3,6,1583
60,卒業,式,0.333333,2,3,5,6,1583
61,団,竹,0.333333,2,3,5,6,1583
62,逸れる,鉄柱,0.333333,2,4,4,6,1583
63,登校,自転車,0.330435,76,90,216,230,1583
