特徴種別,特徴,区分,All出現率(%),歯牙障害出現率(%),出現率差_歯牙障害-All
カテゴリ特徴集合,受傷部位:歯牙,共通,10.1146,47.1257,37.0112
カテゴリ特徴集合,受傷部位:顎顔面,共通,16.454,36.1971,19.743
カテゴリ特徴集合,原因物:スポーツ用具,共通,25.1757,33.2912,8.1155
カテゴリ特徴集合,原因物:乗り物,共通,8.0968,14.6557,6.5589
カテゴリ特徴集合,受傷機転:転倒,共通,25.8006,32.0278,6.2272
カテゴリ特徴集合,衝突対象:床,共通,6.0531,11.9394,5.8862
カテゴリ特徴集合,傷害結果:脱臼,歯牙障害のみ,1.7053,5.6222,3.917
カテゴリ特徴集合,受傷機転:滑走,共通,5.0508,7.0752,2.0244
カテゴリ特徴集合,受傷機転:衝突,共通,9.8282,11.7498,1.9217
カテゴリ特徴集合,衝突対象:地面,共通,5.5845,6.3803,0.7958
カテゴリ特徴集合,受傷部位:下肢,共通,8.6826,8.9703,0.2877
カテゴリ特徴集合,行動:移動,共通,11.5985,9.602,-1.9965
カテゴリ特徴集合,受傷機転:転落,Allのみ,5.9099,3.4112,-2.4987
カテゴリ特徴集合,受傷部位:上肢,共通,11.0258,7.8332,-3.1925
カテゴリ特徴集合,傷害結果:骨折,Allのみ,5.0638,1.1371,-3.9267
カテゴリ特徴集合,行動:球技,共通,10.3359,5.2432,-5.0926
カテゴリ特徴集合,受傷部位:眼,Allのみ,21.661,2.1478,-19.5132
統合特徴集合,受傷部位:歯牙,共通,10.1146,47.1257,37.0112
統合特徴集合,前歯,共通,9.7631,45.5464,35.7833
統合特徴集合,歯,共通,6.4827,28.048,21.5653
統合特徴集合,受傷部位:顎顔面,共通,16.454,36.1971,19.743
統合特徴集合,顔面,共通,13.5251,30.8907,17.3656
統合特徴集合,口,共通,6.3785,22.6785,16.2999
統合特徴集合,歯科,歯牙障害のみ,2.6556,12.4447,9.7892
統合特徴集合,補綴,歯牙障害のみ,2.6165,12.3184,9.7019
統合特徴集合,加える,歯牙障害のみ,2.7597,12.4447,9.685
統合特徴集合,折,歯牙障害のみ,2.6425,11.5603,8.9178
統合特徴集合,転倒,共通,16.3239,25.1421,8.8183
統合特徴集合,破る,歯牙障害のみ,2.3301,11.055,8.7248
統合特徴集合,強打,共通,10.5441,19.0777,8.5336
統合特徴集合,自転車,共通,5.1159,13.645,8.5291
統合特徴集合,本,共通,5.1679,13.5818,8.4139
統合特徴集合,原因物:スポーツ用具,共通,25.1757,33.2912,8.1155
統合特徴集合,折れる,歯牙障害のみ,2.2911,9.602,7.311
統合特徴集合,原因物:乗り物,共通,8.0968,14.6557,6.5589
統合特徴集合,受傷機転:転倒,共通,25.8006,32.0278,6.2272
統合特徴集合,床,共通,6.0531,11.9394,5.8862
統合特徴集合,衝突対象:床,共通,6.0531,11.9394,5.8862
統合特徴集合,顔,共通,5.8709,11.5603,5.6895
統合特徴集合,バット,歯牙障害のみ,2.7076,7.1383,4.4307
統合特徴集合,ボール,共通,21.1273,25.3948,4.2675
統合特徴集合,口元,歯牙障害のみ,1.1846,5.3696,4.185
統合特徴集合,傷害結果:脱臼,歯牙障害のみ,1.7053,5.6222,3.917
統合特徴集合,脱臼,歯牙障害のみ,1.7053,5.6222,3.917
統合特徴集合,ノック,歯牙障害のみ,2.4603,6.3171,3.8568
統合特徴集合,野球,共通,9.1382,12.9501,3.8118
統合特徴集合,当たる,共通,22.2338,25.9002,3.6664
統合特徴集合,下校,歯牙障害のみ,3.6579,6.8225,3.1646
統合特徴集合,前方,歯牙障害のみ,2.7467,5.4959,2.7492
統合特徴集合,登校,歯牙障害のみ,3.0461,5.6854,2.6393
統合特徴集合,試合,共通,12.5618,14.9716,2.4097
統合特徴集合,ぶつける,共通,5.4934,7.8964,2.403
統合特徴集合,負傷,共通,21.2445,23.5629,2.3184
統合特徴集合,練習,共通,26.9201,29.1851,2.265
統合特徴集合,受傷機転:滑走,共通,5.0508,7.0752,2.0244
統合特徴集合,滑る,共通,5.0508,7.0752,2.0244
統合特徴集合,受傷機転:衝突,共通,9.8282,11.7498,1.9217
統合特徴集合,打つ,共通,10.8696,12.7606,1.891
統合特徴集合,相手,共通,11.8198,13.3291,1.5093
統合特徴集合,ぶつかる,共通,6.9513,7.8964,0.9451
統合特徴集合,２,共通,5.0638,6.0013,0.9375
統合特徴集合,バランス,共通,6.9513,7.8332,0.8819
統合特徴集合,崩す,共通,6.743,7.5805,0.8375
統合特徴集合,地面,共通,5.5845,6.3803,0.7958
統合特徴集合,衝突対象:地面,共通,5.5845,6.3803,0.7958
統合特徴集合,打球,歯牙障害のみ,4.5821,5.3696,0.7874
統合特徴集合,強い,共通,7.5111,8.2754,0.7644
統合特徴集合,しまう,共通,9.3335,10.0442,0.7107
統合特徴集合,部,共通,30.2135,30.638,0.4245
統合特徴集合,くる,共通,9.0732,9.4125,0.3393
統合特徴集合,受傷部位:下肢,共通,8.6826,8.9703,0.2877
統合特徴集合,足,共通,8.6826,8.9703,0.2877
統合特徴集合,直撃,共通,6.3525,6.2539,-0.0986
統合特徴集合,人,共通,5.8709,5.4327,-0.4381
統合特徴集合,手,共通,8.2531,7.7701,-0.483
統合特徴集合,体育,共通,11.5985,10.6759,-0.9226
統合特徴集合,体育館,共通,7.3158,6.3171,-0.9987
統合特徴集合,友人,共通,8.9951,7.6437,-1.3513
統合特徴集合,教室,共通,7.5501,6.0013,-1.5489
統合特徴集合,場,共通,11.5335,9.9179,-1.6156
統合特徴集合,運動,共通,10.5311,8.844,-1.6871
統合特徴集合,投げる,Allのみ,5.246,3.4744,-1.7716
統合特徴集合,休憩,Allのみ,5.6366,3.7903,-1.8463
統合特徴集合,走る,共通,9.1643,7.2647,-1.8996
統合特徴集合,行動:移動,共通,11.5985,9.602,-1.9965
統合特徴集合,サッカー,Allのみ,6.0271,3.9166,-2.1105
統合特徴集合,遊ぶ,Allのみ,7.0945,4.7378,-2.3567
統合特徴集合,倒れる,共通,7.9667,5.4959,-2.4708
統合特徴集合,受傷機転:転落,Allのみ,5.9099,3.4112,-2.4987
統合特徴集合,時間,共通,10.7003,7.8332,-2.8671
統合特徴集合,受傷部位:上肢,共通,11.0258,7.8332,-3.1925
統合特徴集合,蹴る,Allのみ,5.207,1.832,-3.375
統合特徴集合,救急,Allのみ,5.4153,1.6425,-3.7728
統合特徴集合,搬送,Allのみ,5.3892,1.5161,-3.8731
統合特徴集合,傷害結果:骨折,Allのみ,5.0638,1.1371,-3.9267
統合特徴集合,骨折,Allのみ,5.0638,1.1371,-3.9267
統合特徴集合,行動:球技,共通,10.3359,5.2432,-5.0926
統合特徴集合,れる,共通,17.4434,11.3708,-6.0726
統合特徴集合,残る,Allのみ,10.3749,0.1895,-10.1854
統合特徴集合,眼,Allのみ,19.1747,0.2527,-18.922
統合特徴集合,受傷部位:眼,Allのみ,21.661,2.1478,-19.5132
語特徴集合,前歯,共通,9.7631,45.5464,35.7833
語特徴集合,歯,共通,6.4827,28.048,21.5653
語特徴集合,顔面,共通,13.5251,30.8907,17.3656
語特徴集合,口,共通,6.3785,22.6785,16.2999
語特徴集合,歯科,歯牙障害のみ,2.6556,12.4447,9.7892
語特徴集合,補綴,歯牙障害のみ,2.6165,12.3184,9.7019
語特徴集合,加える,歯牙障害のみ,2.7597,12.4447,9.685
語特徴集合,折,歯牙障害のみ,2.6425,11.5603,8.9178
語特徴集合,転倒,共通,16.3239,25.1421,8.8183
語特徴集合,破る,歯牙障害のみ,2.3301,11.055,8.7248
語特徴集合,強打,共通,10.5441,19.0777,8.5336
語特徴集合,自転車,共通,5.1159,13.645,8.5291
語特徴集合,本,共通,5.1679,13.5818,8.4139
語特徴集合,折れる,歯牙障害のみ,2.2911,9.602,7.311
語特徴集合,床,共通,6.0531,11.9394,5.8862
語特徴集合,顔,共通,5.8709,11.5603,5.6895
語特徴集合,バット,歯牙障害のみ,2.7076,7.1383,4.4307
語特徴集合,ボール,共通,21.1273,25.3948,4.2675
語特徴集合,口元,歯牙障害のみ,1.1846,5.3696,4.185
語特徴集合,脱臼,歯牙障害のみ,1.7053,5.6222,3.917
語特徴集合,ノック,歯牙障害のみ,2.4603,6.3171,3.8568
語特徴集合,野球,共通,9.1382,12.9501,3.8118
語特徴集合,当たる,共通,22.2338,25.9002,3.6664
語特徴集合,下校,歯牙障害のみ,3.6579,6.8225,3.1646
語特徴集合,前方,歯牙障害のみ,2.7467,5.4959,2.7492
語特徴集合,登校,歯牙障害のみ,3.0461,5.6854,2.6393
語特徴集合,試合,共通,12.5618,14.9716,2.4097
語特徴集合,ぶつける,共通,5.4934,7.8964,2.403
語特徴集合,負傷,共通,21.2445,23.5629,2.3184
語特徴集合,練習,共通,26.9201,29.1851,2.265
語特徴集合,滑る,共通,5.0508,7.0752,2.0244
語特徴集合,打つ,共通,10.8696,12.7606,1.891
語特徴集合,相手,共通,11.8198,13.3291,1.5093
語特徴集合,ぶつかる,共通,6.9513,7.8964,0.9451
語特徴集合,２,共通,5.0638,6.0013,0.9375
語特徴集合,バランス,共通,6.9513,7.8332,0.8819
語特徴集合,崩す,共通,6.743,7.5805,0.8375
語特徴集合,地面,共通,5.5845,6.3803,0.7958
語特徴集合,打球,歯牙障害のみ,4.5821,5.3696,0.7874
語特徴集合,強い,共通,7.5111,8.2754,0.7644
語特徴集合,しまう,共通,9.3335,10.0442,0.7107
語特徴集合,部,共通,30.2135,30.638,0.4245
語特徴集合,くる,共通,9.0732,9.4125,0.3393
語特徴集合,足,共通,8.6826,8.9703,0.2877
語特徴集合,直撃,共通,6.3525,6.2539,-0.0986
語特徴集合,人,共通,5.8709,5.4327,-0.4381
語特徴集合,手,共通,8.2531,7.7701,-0.483
語特徴集合,体育,共通,11.5985,10.6759,-0.9226
語特徴集合,体育館,共通,7.3158,6.3171,-0.9987
語特徴集合,友人,共通,8.9951,7.6437,-1.3513
語特徴集合,教室,共通,7.5501,6.0013,-1.5489
語特徴集合,場,共通,11.5335,9.9179,-1.6156
語特徴集合,運動,共通,10.5311,8.844,-1.6871
語特徴集合,投げる,Allのみ,5.246,3.4744,-1.7716
語特徴集合,休憩,Allのみ,5.6366,3.7903,-1.8463
語特徴集合,走る,共通,9.1643,7.2647,-1.8996
語特徴集合,サッカー,Allのみ,6.0271,3.9166,-2.1105
語特徴集合,遊ぶ,Allのみ,7.0945,4.7378,-2.3567
語特徴集合,倒れる,共通,7.9667,5.4959,-2.4708
語特徴集合,時間,共通,10.7003,7.8332,-2.8671
語特徴集合,蹴る,Allのみ,5.207,1.832,-3.375
語特徴集合,救急,Allのみ,5.4153,1.6425,-3.7728
語特徴集合,搬送,Allのみ,5.3892,1.5161,-3.8731
語特徴集合,骨折,Allのみ,5.0638,1.1371,-3.9267
語特徴集合,れる,共通,17.4434,11.3708,-6.0726
語特徴集合,残る,Allのみ,10.3749,0.1895,-10.1854
語特徴集合,眼,Allのみ,19.1747,0.2527,-18.922
