歯牙障害特徴順位,特徴語,All平均TF-IDF,All出現事例数,歯牙障害平均TF-IDF,歯牙障害出現事例数,TF-IDF差_歯牙障害-All
1,前歯,0.01780919,750.0,0.05097564,721.0,0.03316645
2,歯,0.01328934,498.0,0.04023569,444.0,0.02694635
3,口,0.01269602,490.0,0.03620973,359.0,0.02351371
4,顔面,0.02152924,1039.0,0.04106664,489.0,0.0195374
5,歯科,0.00621534,204.0,0.02283671,197.0,0.01662137
6,補綴,0.00617876,201.0,0.02275081,195.0,0.01657205
7,加える,0.00636628,212.0,0.02280467,197.0,0.01643839
8,折,0.00627094,203.0,0.02222869,183.0,0.01595775
9,破る,0.00577027,179.0,0.02158088,175.0,0.01581061
10,折れる,0.00594989,176.0,0.02062007,152.0,0.01467018
11,自転車,0.00996879,393.0,0.02444682,216.0,0.01447803
12,転倒,0.02351608,1254.0,0.03716905,398.0,0.01365297
13,本,0.00925253,397.0,0.02262492,215.0,0.01337239
14,強打,0.01728383,810.0,0.0294502,302.0,0.01216637
15,ノック,0.00735591,189.0,0.01926205,100.0,0.01190614
16,顔,0.01126407,451.0,0.02237233,183.0,0.01110826
17,床,0.01091048,465.0,0.02148725,189.0,0.01057677
18,当たる,0.03248976,1708.0,0.04200815,410.0,0.00951839
19,口元,0.00347046,91.0,0.01297207,85.0,0.00950161
20,野球,0.0179347,702.0,0.02723933,205.0,0.00930463
21,バット,0.00670923,208.0,0.01560055,113.0,0.00889132
22,練習,0.03419314,2068.0,0.04291716,462.0,0.00872402
23,ボール,0.03249916,1623.0,0.04120016,402.0,0.008701
24,イレギュラーバウンド,0.0,0.0,0.00860615,35.0,0.00860615
25,脱臼,0.00421005,131.0,0.01278186,89.0,0.00857181
26,部,0.03439505,2321.0,0.04265199,485.0,0.00825694
27,口唇,0.0,0.0,0.0081981,49.0,0.0081981
28,負傷,0.02909624,1632.0,0.03688809,373.0,0.00779185
29,イレギュラー,0.00295253,56.0,0.01069983,46.0,0.0077473
30,守備,0.00608198,173.0,0.01377743,79.0,0.00769545
31,折る,0.0,0.0,0.00752802,39.0,0.00752802
32,抜ける,0.00359475,115.0,0.01072602,77.0,0.00713127
33,前輪,0.0,0.0,0.00711266,42.0,0.00711266
34,下校,0.00752239,281.0,0.01459299,108.0,0.0070706
35,登校,0.00659266,234.0,0.01360923,90.0,0.00701657
36,道路,0.00524854,172.0,0.01164692,75.0,0.00639838
37,ぶつける,0.01083118,422.0,0.01718212,125.0,0.00635094
38,試合,0.02264627,965.0,0.02892896,237.0,0.00628269
39,下り坂,0.0,0.0,0.00611046,36.0,0.00611046
40,唇,0.00297569,84.0,0.00896763,56.0,0.00599194
41,相手,0.0214645,908.0,0.02723595,211.0,0.00577145
42,バウンド,0.0,0.0,0.00575082,24.0,0.00575082
43,前方,0.00586266,211.0,0.01150153,87.0,0.00563887
44,捕る,0.00595709,173.0,0.01153036,65.0,0.00557327
45,滑る,0.00954886,388.0,0.01501559,112.0,0.00546673
46,欠損,0.00337008,104.0,0.00876066,55.0,0.00539058
47,ハンドル,0.0,0.0,0.00531078,31.0,0.00531078
48,避ける,0.0,0.0,0.00523477,29.0,0.00523477
49,欠ける,0.0,0.0,0.00521618,30.0,0.00521618
50,素振り,0.0,0.0,0.00520005,27.0,0.00520005
