歯牙障害特徴順位,カテゴリ,サブカテゴリ,All出現事例数,All事例出現率(%),歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All
1,受傷部位,歯牙,777,10.1146,746.0,47.1257,37.0111,4.6592
2,受傷部位,顎顔面,1264,16.454,573.0,36.1971,19.7431,2.1999
3,原因物,スポーツ用具,1934,25.1757,527.0,33.2912,8.1155,1.3224
4,原因物,乗り物,622,8.0968,232.0,14.6557,6.5589,1.8101
5,受傷機転,転倒,1982,25.8006,507.0,32.0278,6.2272,1.2414
6,衝突対象,床,465,6.0531,189.0,11.9394,5.8863,1.9724
7,傷害結果,脱臼,131,1.7053,89.0,5.6222,3.9169,3.2969
8,傷害結果,欠損,104,1.3538,55.0,3.4744,2.1206,2.5664
9,受傷機転,滑走,388,5.0508,112.0,7.0752,2.0244,1.4008
10,受傷機転,衝突,755,9.8282,186.0,11.7498,1.9216,1.1955
11,受傷機転,接触,239,3.1112,68.0,4.2956,1.1844,1.3807
12,衝突対象,自転車部品,68,0.8852,31.0,1.9583,1.0731,2.2123
13,環境要因,路面,178,2.3171,53.0,3.3481,1.031,1.445
14,衝突対象,地面,429,5.5845,101.0,6.3803,0.7958,1.1425
15,受傷機転,つまずき,169,2.1999,44.0,2.7795,0.5796,1.2635
16,環境要因,天候,66,0.8592,21.0,1.3266,0.4674,1.544
17,受傷部位,下肢,667,8.6826,142.0,8.9703,0.2877,1.0331
18,衝突対象,階段,194,2.5254,43.0,2.7164,0.191,1.0756
19,未分類,未分類,7682,100.0,1583.0,100.0,0.0,1.0
20,衝突対象,壁,124,1.6142,25.0,1.5793,-0.0349,0.9784
21,行動,乗車,196,2.5514,39.0,2.4637,-0.0877,0.9656
22,傷害結果,裂傷,84,1.0935,15.0,0.9476,-0.1459,0.8666
23,行動,昇降,148,1.9266,27.0,1.7056,-0.221,0.8853
24,受傷機転,挟圧,55,0.716,7.0,0.4422,-0.2738,0.6176
25,衝突対象,柱,46,0.5988,3.0,0.1895,-0.4093,0.3165
26,傷害結果,熱傷,37,0.4816,0.0,0.0,-0.4816,0.0
27,行動,運動,94,1.2236,10.0,0.6317,-0.5919,0.5163
28,原因物,遊具,192,2.4993,27.0,1.7056,-0.7937,0.6824
29,受傷部位,頭部,373,4.8555,48.0,3.0322,-1.8233,0.6245
30,行動,移動,891,11.5985,152.0,9.602,-1.9965,0.8279
31,受傷機転,切創,303,3.9443,30.0,1.8951,-2.0492,0.4805
32,受傷機転,転落,454,5.9099,54.0,3.4112,-2.4987,0.5772
33,受傷部位,上肢,847,11.0258,124.0,7.8332,-3.1926,0.7104
34,傷害結果,骨折,389,5.0638,18.0,1.1371,-3.9267,0.2246
35,行動,球技,794,10.3359,83.0,5.2432,-5.0927,0.5073
36,受傷部位,眼,1664,21.661,34.0,2.1478,-19.5132,0.0992
