総合順位,歯牙障害特徴順位,カテゴリ,サブカテゴリ,All出現事例数,All事例出現率(%),歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All,総合特徴スコア
1,1,受傷部位,歯牙,777,10.1146,746.0,47.1257,37.0111,4.6592,46.43624
2,2,受傷部位,顎顔面,1264,16.454,573.0,36.1971,19.7431,2.1999,26.98252
3,3,原因物,スポーツ用具,1934,25.1757,527.0,33.2912,8.1155,1.3224,14.77374
4,5,受傷機転,転倒,1982,25.8006,507.0,32.0278,6.2272,1.2414,12.63276
5,4,原因物,乗り物,622,8.0968,232.0,14.6557,6.5589,1.8101,9.49004
6,6,衝突対象,床,465,6.0531,189.0,11.9394,5.8863,1.9724,8.27418
7,7,傷害結果,脱臼,131,1.7053,89.0,5.6222,3.9169,3.2969,5.04134
8,10,受傷機転,衝突,755,9.8282,186.0,11.7498,1.9216,1.1955,4.27156
9,9,受傷機転,滑走,388,5.0508,112.0,7.0752,2.0244,1.4008,3.43944
10,8,傷害結果,欠損,104,1.3538,55.0,3.4744,2.1206,2.5664,2.81548
11,14,衝突対象,地面,429,5.5845,101.0,6.3803,0.7958,1.1425,2.07186
12,11,受傷機転,接触,239,3.1112,68.0,4.2956,1.1844,1.3807,2.04352
13,13,環境要因,路面,178,2.3171,53.0,3.3481,1.031,1.445,1.70062
14,12,衝突対象,自転車部品,68,0.8852,31.0,1.9583,1.0731,2.2123,1.46476
15,15,受傷機転,つまずき,169,2.1999,44.0,2.7795,0.5796,1.2635,1.1355
