総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,All_統合特徴,1,受傷部位:下肢,足,1.0,667,667,667,667,7682
2,All_統合特徴,2,床,衝突対象:床,1.0,465,465,465,465,7682
3,All_統合特徴,3,地面,衝突対象:地面,1.0,429,429,429,429,7682
4,All_統合特徴,4,傷害結果:骨折,骨折,1.0,389,389,389,389,7682
5,All_統合特徴,5,受傷機転:滑走,滑る,1.0,388,388,388,388,7682
6,All_統合特徴,6,受傷部位:頭部,頭部,1.0,373,373,373,373,7682
7,All_統合特徴,7,切る,受傷機転:切創,1.0,303,303,303,303,7682
8,All_統合特徴,8,受傷機転:接触,接触,1.0,239,239,239,239,7682
9,All_統合特徴,9,乗る,行動:乗車,1.0,196,196,196,196,7682
10,All_統合特徴,10,衝突対象:階段,階段,1.0,194,194,194,194,7682
11,歯牙障害_統合特徴,1,床,衝突対象:床,1.0,189,189,189,189,1583
12,All_統合特徴,11,つまずく,受傷機転:つまずき,1.0,169,169,169,169,7682
13,歯牙障害_統合特徴,2,受傷部位:下肢,足,1.0,142,142,142,142,1583
14,All_統合特徴,12,傷害結果:脱臼,脱臼,1.0,131,131,131,131,7682
15,All_統合特徴,13,壁,衝突対象:壁,1.0,124,124,124,124,7682
16,歯牙障害_統合特徴,3,受傷機転:滑走,滑る,1.0,112,112,112,112,1583
17,All_統合特徴,14,傷害結果:欠損,欠損,1.0,104,104,104,104,7682
18,歯牙障害_統合特徴,4,地面,衝突対象:地面,1.0,101,101,101,101,1583
19,All_統合特徴,15,行動:運動,跳ぶ,1.0,94,94,94,94,7682
20,歯牙障害_統合特徴,5,傷害結果:脱臼,脱臼,1.0,89,89,89,89,1583
21,All_統合特徴,16,傷害結果:裂傷,裂傷,1.0,84,84,84,84,7682
22,All_統合特徴,17,ハンドル,衝突対象:自転車部品,1.0,68,68,68,68,7682
23,歯牙障害_統合特徴,6,受傷機転:接触,接触,1.0,68,68,68,68,1583
24,All_統合特徴,18,受傷機転:挟圧,挟まる,1.0,55,55,55,55,7682
25,歯牙障害_統合特徴,7,傷害結果:欠損,欠損,1.0,55,55,55,55,1583
26,歯牙障害_統合特徴,8,受傷部位:頭部,頭部,1.0,48,48,48,48,1583
27,All_統合特徴,19,柱,衝突対象:柱,1.0,46,46,46,46,7682
28,歯牙障害_統合特徴,9,つまずく,受傷機転:つまずき,1.0,44,44,44,44,1583
29,歯牙障害_統合特徴,10,衝突対象:階段,階段,1.0,43,43,43,43,1583
30,歯牙障害_統合特徴,11,乗る,行動:乗車,1.0,39,39,39,39,1583
31,All_統合特徴,20,傷害結果:熱傷,熱傷,1.0,37,37,37,37,7682
32,歯牙障害_統合特徴,12,ハンドル,衝突対象:自転車部品,1.0,31,31,31,31,1583
33,歯牙障害_統合特徴,13,切る,受傷機転:切創,1.0,30,30,30,30,1583
34,歯牙障害_統合特徴,14,壁,衝突対象:壁,1.0,25,25,25,25,1583
35,All_語特徴,1,つま,づく,1.0,21,21,21,21,7682
36,All_統合特徴,21,つま,づく,1.0,21,21,21,21,7682
37,歯牙障害_統合特徴,15,傷害結果:骨折,骨折,1.0,18,18,18,18,1583
38,歯牙障害_語特徴,1,うし,ろ,1.0,17,17,17,17,1583
39,歯牙障害_統合特徴,16,うし,ろ,1.0,17,17,17,17,1583
40,歯牙障害_統合特徴,17,傷害結果:裂傷,裂傷,1.0,15,15,15,15,1583
41,歯牙障害_統合特徴,18,行動:運動,跳ぶ,1.0,10,10,10,10,1583
42,歯牙障害_統合特徴,19,受傷機転:挟圧,挟まる,1.0,7,7,7,7,1583
43,歯牙障害_語特徴,2,つま,づく,1.0,6,6,6,6,1583
44,歯牙障害_統合特徴,20,つま,づく,1.0,6,6,6,6,1583
45,歯牙障害_語特徴,3,乗り出す,身,1.0,3,3,3,3,1583
46,歯牙障害_語特徴,4,研究,課題,1.0,3,3,3,3,1583
47,歯牙障害_統合特徴,21,乗り出す,身,1.0,3,3,3,3,1583
48,歯牙障害_統合特徴,22,柱,衝突対象:柱,1.0,3,3,3,3,1583
49,歯牙障害_統合特徴,23,研究,課題,1.0,3,3,3,3,1583
50,歯牙障害_統合特徴,24,受傷部位:上肢,手,0.991935,123,124,123,124,1583
51,All_語特徴,2,散る,瞳,0.991071,111,112,111,112,7682
52,All_統合特徴,22,散る,瞳,0.991071,111,112,111,112,7682
53,歯牙障害_語特徴,5,加える,歯科,0.989899,196,197,197,198,1583
54,歯牙障害_統合特徴,25,加える,歯科,0.989899,196,197,197,198,1583
55,歯牙障害_語特徴,6,加える,補綴,0.989848,195,197,195,197,1583
56,歯牙障害_語特徴,7,歯科,補綴,0.989848,195,197,195,197,1583
57,歯牙障害_統合特徴,26,加える,補綴,0.989848,195,197,195,197,1583
58,歯牙障害_統合特徴,27,歯科,補綴,0.989848,195,197,195,197,1583
59,All_語特徴,3,歯科,補綴,0.985294,201,204,201,204,7682
60,All_統合特徴,23,歯科,補綴,0.985294,201,204,201,204,7682
61,歯牙障害_統合特徴,28,前歯,受傷部位:歯牙,0.966488,721,721,746,746,1583
62,All_統合特徴,24,前歯,受傷部位:歯牙,0.965251,750,750,777,777,7682
63,All_語特徴,4,動,細,0.965116,83,85,84,86,7682
64,All_統合特徴,25,動,細,0.965116,83,85,84,86,7682
65,All_語特徴,5,細,除,0.964286,81,84,81,84,7682
66,All_統合特徴,26,細,除,0.964286,81,84,81,84,7682
