総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数,歯牙障害内順位
11,歯牙障害_統合特徴,1,床,衝突対象:床,1.0,189,189,189,189,1583,1
13,歯牙障害_統合特徴,2,受傷部位:下肢,足,1.0,142,142,142,142,1583,2
16,歯牙障害_統合特徴,3,受傷機転:滑走,滑る,1.0,112,112,112,112,1583,3
18,歯牙障害_統合特徴,4,地面,衝突対象:地面,1.0,101,101,101,101,1583,4
20,歯牙障害_統合特徴,5,傷害結果:脱臼,脱臼,1.0,89,89,89,89,1583,5
23,歯牙障害_統合特徴,6,受傷機転:接触,接触,1.0,68,68,68,68,1583,6
25,歯牙障害_統合特徴,7,傷害結果:欠損,欠損,1.0,55,55,55,55,1583,7
26,歯牙障害_統合特徴,8,受傷部位:頭部,頭部,1.0,48,48,48,48,1583,8
28,歯牙障害_統合特徴,9,つまずく,受傷機転:つまずき,1.0,44,44,44,44,1583,9
29,歯牙障害_統合特徴,10,衝突対象:階段,階段,1.0,43,43,43,43,1583,10
30,歯牙障害_統合特徴,11,乗る,行動:乗車,1.0,39,39,39,39,1583,11
32,歯牙障害_統合特徴,12,ハンドル,衝突対象:自転車部品,1.0,31,31,31,31,1583,12
33,歯牙障害_統合特徴,13,切る,受傷機転:切創,1.0,30,30,30,30,1583,13
34,歯牙障害_統合特徴,14,壁,衝突対象:壁,1.0,25,25,25,25,1583,14
37,歯牙障害_統合特徴,15,傷害結果:骨折,骨折,1.0,18,18,18,18,1583,15
38,歯牙障害_語特徴,1,うし,ろ,1.0,17,17,17,17,1583,16
39,歯牙障害_統合特徴,16,うし,ろ,1.0,17,17,17,17,1583,17
40,歯牙障害_統合特徴,17,傷害結果:裂傷,裂傷,1.0,15,15,15,15,1583,18
41,歯牙障害_統合特徴,18,行動:運動,跳ぶ,1.0,10,10,10,10,1583,19
42,歯牙障害_統合特徴,19,受傷機転:挟圧,挟まる,1.0,7,7,7,7,1583,20
43,歯牙障害_語特徴,2,つま,づく,1.0,6,6,6,6,1583,21
44,歯牙障害_統合特徴,20,つま,づく,1.0,6,6,6,6,1583,22
45,歯牙障害_語特徴,3,乗り出す,身,1.0,3,3,3,3,1583,23
46,歯牙障害_語特徴,4,研究,課題,1.0,3,3,3,3,1583,24
47,歯牙障害_統合特徴,21,乗り出す,身,1.0,3,3,3,3,1583,25
48,歯牙障害_統合特徴,22,柱,衝突対象:柱,1.0,3,3,3,3,1583,26
49,歯牙障害_統合特徴,23,研究,課題,1.0,3,3,3,3,1583,27
50,歯牙障害_統合特徴,24,受傷部位:上肢,手,0.991935,123,124,123,124,1583,28
53,歯牙障害_語特徴,5,加える,歯科,0.989899,196,197,197,198,1583,29
54,歯牙障害_統合特徴,25,加える,歯科,0.989899,196,197,197,198,1583,30
55,歯牙障害_語特徴,6,加える,補綴,0.989848,195,197,195,197,1583,31
56,歯牙障害_語特徴,7,歯科,補綴,0.989848,195,197,195,197,1583,32
57,歯牙障害_統合特徴,26,加える,補綴,0.989848,195,197,195,197,1583,33
58,歯牙障害_統合特徴,27,歯科,補綴,0.989848,195,197,195,197,1583,34
61,歯牙障害_統合特徴,28,前歯,受傷部位:歯牙,0.966488,721,721,746,746,1583,35
67,歯牙障害_語特徴,8,折,破る,0.956284,175,183,175,183,1583,36
68,歯牙障害_統合特徴,29,折,破る,0.956284,175,183,175,183,1583,37
71,歯牙障害_統合特徴,30,環境要因:天候,雨,0.952381,20,21,20,21,1583,38
88,歯牙障害_統合特徴,31,原因物:乗り物,自転車,0.931034,216,232,216,232,1583,39
91,歯牙障害_語特徴,9,搬送,救急,0.923077,24,24,26,26,1583,40
92,歯牙障害_統合特徴,32,搬送,救急,0.923077,24,24,26,26,1583,41
100,歯牙障害_統合特徴,33,受傷部位:眼,目,0.882353,30,34,30,34,1583,42
105,歯牙障害_語特徴,10,バランス,崩す,0.876923,114,124,120,130,1583,43
106,歯牙障害_統合特徴,34,バランス,崩す,0.876923,114,124,120,130,1583,44
113,歯牙障害_統合特徴,35,受傷部位:顎顔面,顔面,0.853403,489,573,489,573,1583,45
126,歯牙障害_統合特徴,36,行動:昇降,降りる,0.814815,22,27,22,27,1583,46
128,歯牙障害_語特徴,11,デッキ,ブラシ,0.8,4,4,5,5,1583,47
129,歯牙障害_統合特徴,37,デッキ,ブラシ,0.8,4,4,5,5,1583,48
131,歯牙障害_統合特徴,38,受傷機転:転倒,転倒,0.78501,398,507,398,507,1583,49
135,歯牙障害_統合特徴,39,ボール,原因物:スポーツ用具,0.762808,402,402,527,527,1583,50
136,歯牙障害_統合特徴,40,行動:移動,走る,0.756579,115,152,115,152,1583,51
139,歯牙障害_語特徴,12,至近,距離,0.75,3,3,4,4,1583,52
140,歯牙障害_統合特徴,41,至近,距離,0.75,3,3,4,4,1583,53
143,歯牙障害_語特徴,13,歯槽,骨,0.727273,8,8,11,11,1583,54
144,歯牙障害_語特徴,14,路,通学,0.727273,8,10,9,11,1583,55
145,歯牙障害_統合特徴,42,歯槽,骨,0.727273,8,8,11,11,1583,56
146,歯牙障害_統合特徴,43,路,通学,0.727273,8,10,9,11,1583,57
149,歯牙障害_語特徴,15,場,運動,0.697143,122,157,140,175,1583,58
150,歯牙障害_統合特徴,44,場,運動,0.697143,122,157,140,175,1583,59
155,歯牙障害_統合特徴,45,ぶつかる,受傷機転:衝突,0.672043,125,125,186,186,1583,60
158,歯牙障害_統合特徴,46,投げる,行動:球技,0.662651,55,55,83,83,1583,61
162,歯牙障害_語特徴,16,スティック,ホッケー,0.636364,14,20,16,22,1583,62
163,歯牙障害_統合特徴,47,スティック,ホッケー,0.636364,14,20,16,22,1583,63
