順位,事故パターン,構成要素数,件数,事例割合(%)
1,原因物:スポーツ用具 -> 受傷部位:歯牙,2,77,4.8642
2,原因物:スポーツ用具 -> 受傷部位:顎顔面,2,46,2.9059
3,受傷部位:歯牙 -> 受傷部位:顎顔面,2,23,1.4529
4,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,3,21,1.3266
5,受傷機転:衝突 -> 受傷部位:歯牙,2,15,0.9476
6,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面,3,14,0.8844
7,受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:床,3,14,0.8844
8,原因物:スポーツ用具 -> 行動:球技,2,13,0.8212
9,受傷機転:転倒 -> 受傷部位:顎顔面,2,13,0.8212
10,受傷機転:転倒 -> 受傷部位:歯牙,2,12,0.7581
11,原因物:スポーツ用具 -> 受傷機転:衝突 -> 受傷部位:歯牙,3,11,0.6949
12,傷害結果:欠損 -> 原因物:スポーツ用具 -> 受傷部位:歯牙,3,10,0.6317
13,傷害結果:脱臼 -> 原因物:スポーツ用具 -> 受傷部位:歯牙,3,10,0.6317
14,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙,3,10,0.6317
15,原因物:乗り物 -> 受傷機転:転倒,2,10,0.6317
16,原因物:スポーツ用具 -> 受傷機転:衝突,2,9,0.5685
17,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:地面,4,8,0.5054
18,受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:床,4,8,0.5054
19,受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,3,7,0.4422
20,原因物:スポーツ用具 -> 受傷部位:上肢 -> 受傷部位:歯牙,3,6,0.379
21,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 行動:球技,3,6,0.379
22,原因物:スポーツ用具 -> 受傷部位:顎顔面 -> 行動:球技,3,6,0.379
23,受傷機転:衝突 -> 受傷部位:歯牙 -> 行動:移動,3,6,0.379
24,受傷機転:転倒 -> 受傷部位:歯牙 -> 衝突対象:床,3,6,0.379
25,傷害結果:欠損 -> 受傷部位:歯牙,2,6,0.379
26,受傷機転:接触 -> 受傷部位:歯牙,2,6,0.379
27,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:地面,5,5,0.3159
28,原因物:スポーツ用具 -> 受傷機転:衝突 -> 受傷部位:顎顔面,3,5,0.3159
29,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 行動:移動,3,5,0.3159
30,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 衝突対象:床,3,5,0.3159
31,原因物:スポーツ用具 -> 行動:移動,2,5,0.3159
32,受傷機転:転倒 -> 衝突対象:床,2,5,0.3159
33,受傷部位:上肢 -> 受傷部位:歯牙,2,5,0.3159
34,原因物:乗り物 -> 受傷機転:衝突 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,5,4,0.2527
35,原因物:スポーツ用具 -> 受傷機転:衝突 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,4,0.2527
36,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 行動:球技,4,4,0.2527
37,原因物:乗り物 -> 受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:顎顔面,4,4,0.2527
38,受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 衝突対象:床,4,4,0.2527
39,原因物:スポーツ用具 -> 受傷部位:上肢 -> 受傷部位:顎顔面,3,4,0.2527
40,受傷機転:衝突 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,3,4,0.2527
41,傷害結果:脱臼 -> 受傷部位:歯牙,2,4,0.2527
42,原因物:スポーツ用具 -> 受傷部位:上肢,2,4,0.2527
43,受傷部位:歯牙 -> 行動:移動,2,4,0.2527
44,受傷部位:歯牙 -> 衝突対象:床,2,4,0.2527
45,受傷部位:顎顔面 -> 衝突対象:床,2,4,0.2527
46,傷害結果:欠損 -> 原因物:スポーツ用具 -> 受傷部位:歯牙 -> 行動:球技,4,3,0.1895
47,傷害結果:欠損 -> 原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙,4,3,0.1895
48,傷害結果:脱臼 -> 傷害結果:骨折 -> 原因物:スポーツ用具 -> 受傷部位:歯牙,4,3,0.1895
49,原因物:乗り物 -> 受傷機転:接触 -> 受傷機転:転倒 -> 受傷部位:歯牙,4,3,0.1895
50,原因物:乗り物 -> 受傷機転:接触 -> 受傷機転:転倒 -> 行動:移動,4,3,0.1895
51,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 環境要因:路面,4,3,0.1895
52,受傷機転:衝突 -> 受傷部位:歯牙 -> 受傷部位:頭部 -> 受傷部位:顎顔面,4,3,0.1895
53,受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,3,0.1895
