総合順位,歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All,特徴語,歯牙障害平均TF-IDF,TF-IDF差_歯牙障害-All,総合特徴スコア
1,1,名詞,前歯,795,750,9.7631,764.0,721.0,45.5464,35.7833,4.6652,前歯,0.05097564,0.03316645,48.209225
2,2,名詞,歯,544,498,6.4827,489.0,444.0,28.048,21.5653,4.3266,歯,0.04023569,0.02694635,29.869535
3,3,名詞,顔面,1087,1039,13.5251,501.0,489.0,30.8907,17.3656,2.284,顔面,0.04106664,0.0195374,25.49748
4,4,名詞,口,508,490,6.3785,366.0,359.0,22.6785,16.3,3.5555,口,0.03620973,0.02351371,23.187071
5,26,動詞,する,15485,6712,87.3731,3278.0,1428.0,90.2085,2.8354,1.0325,,,,20.8771
6,9,名詞,転倒,1299,1254,16.3239,409.0,398.0,25.1421,8.8182,1.5402,転倒,0.03716905,0.01365297,15.211917
7,5,名詞,歯科,204,204,2.6556,197.0,197.0,12.4447,9.7891,4.6862,歯科,0.02283671,0.01662137,13.940177
8,6,名詞,補綴,202,201,2.6165,196.0,195.0,12.3184,9.7019,4.708,補綴,0.02275081,0.01657205,13.822785
9,7,動詞,加える,213,212,2.7597,198.0,197.0,12.4447,9.685,4.5094,加える,0.02280467,0.01643839,13.817779
10,11,名詞,強打,817,810,10.5441,303.0,302.0,19.0777,8.5336,1.8093,強打,0.0294502,0.01216637,13.565777
11,8,名詞,折,204,203,2.6425,184.0,183.0,11.5603,8.9178,4.3748,折,0.02222869,0.01595775,12.825635
12,12,名詞,自転車,540,393,5.1159,293.0,216.0,13.645,8.5291,2.6672,自転車,0.02444682,0.01447803,12.705903
13,63,名詞,中,4509,4291,55.8578,941.0,902.0,56.9804,1.1226,1.0201,,,,12.51868
14,10,動詞,破る,180,179,2.3301,176.0,175.0,11.055,8.7249,4.7444,破る,0.02158088,0.01581061,12.516961
15,13,名詞,本,504,397,5.1679,255.0,215.0,13.5818,8.4139,2.6281,本,0.02262492,0.01337239,12.467499
16,14,動詞,折れる,185,176,2.2911,154.0,152.0,9.602,7.3109,4.191,折れる,0.02062007,0.01467018,10.698318
17,18,名詞,ボール,2127,1623,21.1273,506.0,402.0,25.3948,4.2675,1.202,ボール,0.04120016,0.008701,10.21656
18,23,動詞,当たる,1787,1708,22.2338,427.0,410.0,25.9002,3.6664,1.1649,当たる,0.04200815,0.00951839,9.798279
19,15,名詞,床,508,465,6.0531,206.0,189.0,11.9394,5.8863,1.9724,床,0.02148725,0.01057677,9.331857
20,16,名詞,顔,477,451,5.8709,189.0,183.0,11.5603,5.6894,1.9691,顔,0.02237233,0.01110826,9.112286
21,36,名詞,練習,2372,2068,26.9201,507.0,462.0,29.1851,2.265,1.0841,練習,0.04291716,0.00872402,8.974422
22,42,名詞,生徒,3740,2296,29.888,813.0,505.0,31.9015,2.0135,1.0674,,,,8.3938
23,35,名詞,負傷,1636,1632,21.2445,375.0,373.0,23.5629,2.3184,1.1091,負傷,0.03688809,0.00779185,7.810165
24,22,名詞,野球,716,702,9.1382,209.0,205.0,12.9501,3.8119,1.4171,野球,0.02723933,0.00930463,7.332383
25,17,名詞,バット,256,208,2.7076,141.0,113.0,7.1383,4.4307,2.6364,バット,0.01560055,0.00889132,6.747492
26,21,名詞,ノック,209,189,2.4603,108.0,100.0,6.3171,3.8568,2.5676,ノック,0.01926205,0.01190614,6.310834
27,19,名詞,口元,92,91,1.1846,86.0,85.0,5.3696,4.185,4.5328,口元,0.01297207,0.00950161,6.209081
28,33,名詞,試合,1036,965,12.5618,245.0,237.0,14.9716,2.4098,1.1918,試合,0.02892896,0.00628269,6.032389
29,20,名詞,脱臼,131,131,1.7053,89.0,89.0,5.6222,3.9169,3.2969,脱臼,0.01278186,0.00857181,5.898521
30,25,名詞,下校,285,281,3.6579,109.0,108.0,6.8225,3.1646,1.8651,下校,0.01459299,0.0070706,5.23616
