総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数,歯牙障害内順位
11,歯牙障害_統合特徴,1,床,衝突対象:床,1.0,189,189,189,189,1583,1
13,歯牙障害_統合特徴,2,受傷部位:下肢,足,1.0,142,142,142,142,1583,2
16,歯牙障害_統合特徴,3,受傷機転:滑走,滑る,1.0,112,112,112,112,1583,3
18,歯牙障害_統合特徴,4,地面,衝突対象:地面,1.0,101,101,101,101,1583,4
20,歯牙障害_統合特徴,5,傷害結果:脱臼,脱臼,1.0,89,89,89,89,1583,5
23,歯牙障害_統合特徴,6,受傷機転:接触,接触,1.0,68,68,68,68,1583,6
25,歯牙障害_統合特徴,7,傷害結果:欠損,欠損,1.0,55,55,55,55,1583,7
26,歯牙障害_統合特徴,8,受傷部位:頭部,頭部,1.0,48,48,48,48,1583,8
28,歯牙障害_統合特徴,9,つまずく,受傷機転:つまずき,1.0,44,44,44,44,1583,9
29,歯牙障害_統合特徴,10,衝突対象:階段,階段,1.0,43,43,43,43,1583,10
30,歯牙障害_統合特徴,11,乗る,行動:乗車,1.0,39,39,39,39,1583,11
32,歯牙障害_統合特徴,12,ハンドル,衝突対象:自転車部品,1.0,31,31,31,31,1583,12
33,歯牙障害_統合特徴,13,切る,受傷機転:切創,1.0,30,30,30,30,1583,13
34,歯牙障害_統合特徴,14,壁,衝突対象:壁,1.0,25,25,25,25,1583,14
37,歯牙障害_統合特徴,15,傷害結果:骨折,骨折,1.0,18,18,18,18,1583,15
38,歯牙障害_語特徴,1,うし,ろ,1.0,17,17,17,17,1583,16
39,歯牙障害_統合特徴,16,うし,ろ,1.0,17,17,17,17,1583,17
40,歯牙障害_統合特徴,17,傷害結果:裂傷,裂傷,1.0,15,15,15,15,1583,18
41,歯牙障害_統合特徴,18,行動:運動,跳ぶ,1.0,10,10,10,10,1583,19
42,歯牙障害_統合特徴,19,受傷機転:挟圧,挟まる,1.0,7,7,7,7,1583,20
43,歯牙障害_語特徴,2,つま,づく,1.0,6,6,6,6,1583,21
44,歯牙障害_統合特徴,20,つま,づく,1.0,6,6,6,6,1583,22
45,歯牙障害_語特徴,3,乗り出す,身,1.0,3,3,3,3,1583,23
46,歯牙障害_語特徴,4,研究,課題,1.0,3,3,3,3,1583,24
47,歯牙障害_統合特徴,21,乗り出す,身,1.0,3,3,3,3,1583,25
48,歯牙障害_統合特徴,22,柱,衝突対象:柱,1.0,3,3,3,3,1583,26
49,歯牙障害_統合特徴,23,研究,課題,1.0,3,3,3,3,1583,27
50,歯牙障害_統合特徴,24,受傷部位:上肢,手,0.991935,123,124,123,124,1583,28
53,歯牙障害_語特徴,5,加える,歯科,0.989899,196,197,197,198,1583,29
54,歯牙障害_統合特徴,25,加える,歯科,0.989899,196,197,197,198,1583,30
