順位,事故パターン,構成要素数,件数,事例割合(%)
1,原因物:スポーツ用具 -> 受傷部位:歯牙,2,77,4.8642
2,原因物:スポーツ用具 -> 受傷部位:顎顔面,2,46,2.9059
3,受傷部位:歯牙 -> 受傷部位:顎顔面,2,23,1.4529
4,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,3,21,1.3266
5,受傷機転:衝突 -> 受傷部位:歯牙,2,15,0.9476
6,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面,3,14,0.8844
7,受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:床,3,14,0.8844
8,原因物:スポーツ用具 -> 行動:球技,2,13,0.8212
9,受傷機転:転倒 -> 受傷部位:顎顔面,2,13,0.8212
10,受傷機転:転倒 -> 受傷部位:歯牙,2,12,0.7581
11,原因物:スポーツ用具 -> 受傷機転:衝突 -> 受傷部位:歯牙,3,11,0.6949
12,傷害結果:欠損 -> 原因物:スポーツ用具 -> 受傷部位:歯牙,3,10,0.6317
13,傷害結果:脱臼 -> 原因物:スポーツ用具 -> 受傷部位:歯牙,3,10,0.6317
14,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙,3,10,0.6317
15,原因物:乗り物 -> 受傷機転:転倒,2,10,0.6317
16,原因物:スポーツ用具 -> 受傷機転:衝突,2,9,0.5685
17,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:地面,4,8,0.5054
18,受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:床,4,8,0.5054
19,受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,3,7,0.4422
20,原因物:スポーツ用具 -> 受傷部位:上肢 -> 受傷部位:歯牙,3,6,0.379
