順位,カテゴリ,サブカテゴリ,特徴,出現事例数,事例出現率(%)
1,受傷部位,歯牙,受傷部位:歯牙,679,42.8932
2,受傷部位,顎顔面,受傷部位:顎顔面,542,34.2388
3,受傷機転,転倒,受傷機転:転倒,498,31.4593
4,原因物,スポーツ用具,原因物:スポーツ用具,406,25.6475
5,原因物,乗り物,原因物:乗り物,224,14.1503
6,衝突対象,床,衝突対象:床,183,11.5603
7,受傷機転,衝突,受傷機転:衝突,170,10.7391
8,行動,移動,行動:移動,149,9.4125
9,受傷部位,下肢,受傷部位:下肢,137,8.6545
10,受傷部位,上肢,受傷部位:上肢,117,7.391
11,受傷機転,滑走,受傷機転:滑走,112,7.0752
12,衝突対象,地面,衝突対象:地面,101,6.3803
13,傷害結果,脱臼,傷害結果:脱臼,89,5.6222
14,行動,球技,行動:球技,78,4.9274
15,受傷機転,接触,受傷機転:接触,58,3.6639
16,傷害結果,欠損,傷害結果:欠損,55,3.4744
17,環境要因,路面,環境要因:路面,53,3.3481
18,受傷機転,転落,受傷機転:転落,51,3.2217
19,受傷部位,頭部,受傷部位:頭部,46,2.9059
20,受傷機転,つまずき,受傷機転:つまずき,43,2.7164
