結果区分,項目,主要数値,文章
特徴語,前歯,35.7833,「前歯」の事例出現率は、歯牙障害で45.5%、全事例で9.8%であり、差は35.8ポイントであった
特徴語,歯,21.5653,「歯」の事例出現率は、歯牙障害で28.0%、全事例で6.5%であり、差は21.6ポイントであった
特徴語,顔面,17.3656,「顔面」の事例出現率は、歯牙障害で30.9%、全事例で13.5%であり、差は17.4ポイントであった
特徴語,口,16.3,「口」の事例出現率は、歯牙障害で22.7%、全事例で6.4%であり、差は16.3ポイントであった
特徴語,する,2.8354,「する」の事例出現率は、歯牙障害で90.2%、全事例で87.4%であり、差は2.8ポイントであった
特徴語,転倒,8.8182,「転倒」の事例出現率は、歯牙障害で25.1%、全事例で16.3%であり、差は8.8ポイントであった
特徴語,歯科,9.7891,「歯科」の事例出現率は、歯牙障害で12.4%、全事例で2.7%であり、差は9.8ポイントであった
特徴語,補綴,9.7019,「補綴」の事例出現率は、歯牙障害で12.3%、全事例で2.6%であり、差は9.7ポイントであった
特徴語,加える,9.685,「加える」の事例出現率は、歯牙障害で12.4%、全事例で2.8%であり、差は9.7ポイントであった
特徴語,強打,8.5336,「強打」の事例出現率は、歯牙障害で19.1%、全事例で10.5%であり、差は8.5ポイントであった
特徴カテゴリ,受傷部位:歯牙,37.0111,カテゴリ「受傷部位:歯牙」の事例出現率は、歯牙障害で47.1%、全事例で10.1%であった
特徴カテゴリ,受傷部位:顎顔面,19.7431,カテゴリ「受傷部位:顎顔面」の事例出現率は、歯牙障害で36.2%、全事例で16.5%であった
特徴カテゴリ,原因物:スポーツ用具,8.1155,カテゴリ「原因物:スポーツ用具」の事例出現率は、歯牙障害で33.3%、全事例で25.2%であった
特徴カテゴリ,受傷機転:転倒,6.2272,カテゴリ「受傷機転:転倒」の事例出現率は、歯牙障害で32.0%、全事例で25.8%であった
特徴カテゴリ,原因物:乗り物,6.5589,カテゴリ「原因物:乗り物」の事例出現率は、歯牙障害で14.7%、全事例で8.1%であった
特徴カテゴリ,衝突対象:床,5.8863,カテゴリ「衝突対象:床」の事例出現率は、歯牙障害で11.9%、全事例で6.1%であった
特徴カテゴリ,傷害結果:脱臼,3.9169,カテゴリ「傷害結果:脱臼」の事例出現率は、歯牙障害で5.6%、全事例で1.7%であった
特徴カテゴリ,受傷機転:衝突,1.9216,カテゴリ「受傷機転:衝突」の事例出現率は、歯牙障害で11.7%、全事例で9.8%であった
特徴カテゴリ,受傷機転:滑走,2.0244,カテゴリ「受傷機転:滑走」の事例出現率は、歯牙障害で7.1%、全事例で5.1%であった
特徴カテゴリ,傷害結果:欠損,2.1206,カテゴリ「傷害結果:欠損」の事例出現率は、歯牙障害で3.5%、全事例で1.4%であった
Jaccard,床 × 衝突対象:床,1.0,「床」と「衝突対象:床」のジャッカード係数は1.000であった
Jaccard,受傷部位:下肢 × 足,1.0,「受傷部位:下肢」と「足」のジャッカード係数は1.000であった
Jaccard,受傷機転:滑走 × 滑る,1.0,「受傷機転:滑走」と「滑る」のジャッカード係数は1.000であった
Jaccard,地面 × 衝突対象:地面,1.0,「地面」と「衝突対象:地面」のジャッカード係数は1.000であった
Jaccard,傷害結果:脱臼 × 脱臼,1.0,「傷害結果:脱臼」と「脱臼」のジャッカード係数は1.000であった
Jaccard,受傷機転:接触 × 接触,1.0,「受傷機転:接触」と「接触」のジャッカード係数は1.000であった
Jaccard,傷害結果:欠損 × 欠損,1.0,「傷害結果:欠損」と「欠損」のジャッカード係数は1.000であった
Jaccard,受傷部位:頭部 × 頭部,1.0,「受傷部位:頭部」と「頭部」のジャッカード係数は1.000であった
Jaccard,つまずく × 受傷機転:つまずき,1.0,「つまずく」と「受傷機転:つまずき」のジャッカード係数は1.000であった
Jaccard,衝突対象:階段 × 階段,1.0,「衝突対象:階段」と「階段」のジャッカード係数は1.000であった
事故パターン,原因物:スポーツ用具 -> 受傷部位:歯牙,77.0,事故パターン「原因物:スポーツ用具 -> 受傷部位:歯牙」は77件（4.9%）認められた
事故パターン,原因物:スポーツ用具 -> 受傷部位:顎顔面,46.0,事故パターン「原因物:スポーツ用具 -> 受傷部位:顎顔面」は46件（2.9%）認められた
事故パターン,受傷部位:歯牙 -> 受傷部位:顎顔面,23.0,事故パターン「受傷部位:歯牙 -> 受傷部位:顎顔面」は23件（1.5%）認められた
事故パターン,原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,21.0,事故パターン「原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面」は21件（1.3%）認められた
事故パターン,受傷機転:衝突 -> 受傷部位:歯牙,15.0,事故パターン「受傷機転:衝突 -> 受傷部位:歯牙」は15件（0.9%）認められた
事故パターン,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面,14.0,事故パターン「原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面」は14件（0.9%）認められた
事故パターン,受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:床,14.0,事故パターン「受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:床」は14件（0.9%）認められた
事故パターン,原因物:スポーツ用具 -> 行動:球技,13.0,事故パターン「原因物:スポーツ用具 -> 行動:球技」は13件（0.8%）認められた
事故パターン,受傷機転:転倒 -> 受傷部位:顎顔面,13.0,事故パターン「受傷機転:転倒 -> 受傷部位:顎顔面」は13件（0.8%）認められた
事故パターン,受傷機転:転倒 -> 受傷部位:歯牙,12.0,事故パターン「受傷機転:転倒 -> 受傷部位:歯牙」は12件（0.8%）認められた
