論点区分,順位,観察事項,数値根拠,確認事項
特徴語,1,「前歯」は歯牙障害でAllより35.7833ポイント高い。,"歯牙障害=45.5464%, All=9.7631%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,2,「歯」は歯牙障害でAllより21.5653ポイント高い。,"歯牙障害=28.048%, All=6.4827%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,3,「顔面」は歯牙障害でAllより17.3656ポイント高い。,"歯牙障害=30.8907%, All=13.5251%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,4,「口」は歯牙障害でAllより16.3ポイント高い。,"歯牙障害=22.6785%, All=6.3785%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,5,「する」は歯牙障害でAllより2.8354ポイント高い。,"歯牙障害=90.2085%, All=87.3731%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,6,「転倒」は歯牙障害でAllより8.8182ポイント高い。,"歯牙障害=25.1421%, All=16.3239%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,7,「歯科」は歯牙障害でAllより9.7891ポイント高い。,"歯牙障害=12.4447%, All=2.6556%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,8,「補綴」は歯牙障害でAllより9.7019ポイント高い。,"歯牙障害=12.3184%, All=2.6165%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,9,「加える」は歯牙障害でAllより9.685ポイント高い。,"歯牙障害=12.4447%, All=2.7597%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,10,「強打」は歯牙障害でAllより8.5336ポイント高い。,"歯牙障害=19.0777%, All=10.5441%",事故場面・受傷機転・記載方法による影響を確認する。
特徴カテゴリ,1,カテゴリ「受傷部位:歯牙」は歯牙障害で相対的に多い。,"歯牙障害=47.1257%, All=10.1146%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,2,カテゴリ「受傷部位:顎顔面」は歯牙障害で相対的に多い。,"歯牙障害=36.1971%, All=16.454%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,3,カテゴリ「原因物:スポーツ用具」は歯牙障害で相対的に多い。,"歯牙障害=33.2912%, All=25.1757%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,4,カテゴリ「受傷機転:転倒」は歯牙障害で相対的に多い。,"歯牙障害=32.0278%, All=25.8006%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,5,カテゴリ「原因物:乗り物」は歯牙障害で相対的に多い。,"歯牙障害=14.6557%, All=8.0968%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,6,カテゴリ「衝突対象:床」は歯牙障害で相対的に多い。,"歯牙障害=11.9394%, All=6.0531%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,7,カテゴリ「傷害結果:脱臼」は歯牙障害で相対的に多い。,"歯牙障害=5.6222%, All=1.7053%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,8,カテゴリ「受傷機転:衝突」は歯牙障害で相対的に多い。,"歯牙障害=11.7498%, All=9.8282%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,9,カテゴリ「受傷機転:滑走」は歯牙障害で相対的に多い。,"歯牙障害=7.0752%, All=5.0508%",辞書分類精度と未分類語の影響を確認する。
