語1,語2,共起事例数,Jaccard（ネットワーク重み）
練習,部,1180,0.36771579931442816
ボール,当たる,762,0.2967289719626168
ボール,練習,761,0.2597269624573379
当たる,眼,732,0.2992641046606705
ボール,部,732,0.22789539227895392
当たる,練習,698,0.22684432889177772
当たる,部,692,0.20743405275779375
場,運動,677,0.6650294695481336
部,野球,638,0.26750524109014673
ボール,眼,611,0.24607329842931938
眼,部,601,0.18834221247257912
眼,練習,591,0.20047489823609227
負傷,部,493,0.14248554913294798
バランス,崩す,482,0.8500881834215167
練習,野球,475,0.20697167755991286
残る,部,452,0.1695423855963991
練習,試合,448,0.17330754352030947
場,部,440,0.1590169859053126
試合,部,439,0.15419740077274324
ボール,試合,419,0.19317657906869526
練習,負傷,419,0.12770496799756173
れる,部,414,0.1275808936825886
相手,試合,390,0.2631578947368421
運動,部,389,0.14191900766143742
ボール,野球,376,0.19291944586967677
休憩,時間,375,0.42613636363636365
搬送,救急,373,0.8179824561403509
相手,部,373,0.13064798598949212
れる,救急,358,0.25644699140401145
れる,搬送,357,0.25609756097560976
ボール,負傷,354,0.12202688728024819
相手,練習,340,0.12903225806451613
当たる,野球,335,0.16152362584378013
眼,負傷,329,0.11860129776496034
ボール,相手,326,0.14791288566243194
負傷,転倒,324,0.12646370023419204
当たる,試合,319,0.13557161070973225
打つ,練習,316,0.12219644238205724
場,練習,315,0.11936339522546419
部,顔面,311,0.1020006559527714
強打,転倒,307,0.1747296528173022
打つ,部,303,0.10624123422159888
サッカー,ボール,300,0.167973124300112
眼,野球,297,0.15831556503198294
れる,負傷,296,0.11069558713537771
当たる,相手,290,0.12478485370051635
練習,運動,287,0.11081081081081082
転倒,部,287,0.08728710462287105
練習,顔面,285,0.10099220411055988
残る,運動,278,0.20933734939759036
場,残る,278,0.19786476868327402
れる,残る,278,0.14970382337102853
負傷,顔面,278,0.11617216882574175
れる,練習,272,0.08679004467134652
転倒,顔面,267,0.131786771964462
ボール,打つ,264,0.12038303693570451
直撃,練習,263,0.11469690361971217
眼,試合,255,0.11691884456671252
打つ,眼,250,0.12165450121654502
自転車,転倒,249,0.1781115879828326
強打,顔面,247,0.15418227215980024
ボール,蹴る,247,0.13915492957746478
ボール,場,245,0.10821554770318022
相手,眼,244,0.11433926897844424
打球,練習,244,0.11213235294117647
足,転倒,243,0.14481525625744934
残る,負傷,241,0.11014625228519195
場,当たる,241,0.10246598639455783
直撃,眼,239,0.13895348837209304
ボール,直撃,239,0.12767094017094016
強打,部,238,0.08226754234358798
ボール,顔面,236,0.09727947238252267
当たる,打つ,235,0.10190806591500434
場,眼,234,0.11022138483278379
サッカー,部,234,0.09176470588235294
直撃,部,234,0.09087378640776698
残る,治療,233,0.24893162393162394
