順位,元列名,カテゴリ変数全体の相互情報量,One-hot最大相互情報量,One-hot特徴量数
1,場合別2,0.028820435385620576,0.008701487077463535,40
2,被災学校種,0.027522748196281845,0.016583664531178377,10
3,場合別1,0.026018608535334383,0.012104168283256556,8
4,発生場所2,0.021570406958419688,0.012606732573932994,26
5,競技種目,0.020483517473872306,0.005669221914017364,49
6,通学方法,0.01991024772280267,0.01919276656803485,8
7,発生場所1,0.009540307611280718,0.007810860146710674,3
8,被災学年,0.004875158901807628,0.0014185655082163268,7
9,給付年度,0.0031977428051658784,0.0007641521928596767,19
10,遊具等,0.0018929388839173274,0.0006619118000357575,15
11,性別,0.0009683017891690127,0.0009683017891690127,2
