推奨順位,研究テーマ候補,研究優先度スコア,因子,カテゴリ,方向,歯牙障害件数,歯牙障害以外件数,割合差（pt）,オッズ比,95%CI下限,95%CI上限,BH補正p値,解釈上の注意
1,被災学校種「高」と歯牙障害の関連（歯牙障害で多い）,95.29411764705881,被災学校種,高,歯牙障害で多い,886,2062,22.160856708694823,2.488691315280814,2.2238295882199433,2.78509850555221,1.5431442240343066e-55,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
2,発生場所2「道路」と歯牙障害の関連（歯牙障害で多い）,94.07563025210082,発生場所2,道路,歯牙障害で多い,273,343,11.621863178382133,3.4971802461442594,2.9506933927842205,4.144879879397217,1.9507606383079315e-42,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
3,場合別1「通学中」と歯牙障害の関連（歯牙障害で多い）,93.0252100840336,場合別1,通学中,歯牙障害で多い,262,328,11.172922002788896,3.4896004505086684,2.935068266409654,4.14890223970371,6.751502289748848e-41,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
4,通学方法「自転車」と歯牙障害の関連（歯牙障害で多い）,92.22689075630252,通学方法,自転車,歯牙障害で多い,218,138,11.508654267131806,6.898646281254977,5.529790328129604,8.606351722194574,5.958828238867954e-64,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
5,被災学校種「小」と歯牙障害の関連（歯牙障害で少ない）,90.33613445378151,被災学校種,小,歯牙障害で少ない,245,1686,-12.1669335310398,0.47927671299916486,0.4136285072982266,0.5553441398991038,1.0378711791890665e-23,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
6,発生場所1「学校外（園外）」と歯牙障害の関連（歯牙障害で多い）,89.57983193277312,発生場所1,学校外（園外）,歯牙障害で多い,497,1119,13.048813341706438,2.036694167543041,1.798483430538694,2.306456129463126,1.5985987713578092e-26,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
7,発生場所2「教室（保育室）」と歯牙障害の関連（歯牙障害で少ない）,87.94117647058823,発生場所2,教室（保育室）,歯牙障害で少ない,81,701,-6.376820780971624,0.415269417286699,0.32763865841043965,0.5263380388940689,1.9736341537765326e-14,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
8,場合別2「登校（登園）中」と歯牙障害の関連（歯牙障害で多い）,86.38655462184875,場合別2,登校（登園）中,歯牙障害で多い,117,132,5.226740462718897,3.6077297531936003,2.7947226568571746,4.657247093962186,3.9439729090811256e-20,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
9,競技種目「野球（含軟式）」と歯牙障害の関連（歯牙障害で多い）,86.21848739495798,競技種目,野球（含軟式）,歯牙障害で多い,352,765,9.693220422721867,1.9937751867603255,1.732216543251513,2.2948282712272836,1.5486658324028003e-19,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
10,場合別2「下校（降園）中」と歯牙障害の関連（歯牙障害で多い）,85.92436974789916,場合別2,下校（降園）中,歯牙障害で多い,135,184,5.511223166872732,2.997106203459044,2.3826648302230526,3.7699996578921997,3.562647081146596e-18,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
