データセット,列順,列名,pandas型,解析上の種類,全件数,非欠損数,欠損数,欠損率（％）,一意値数,値例,推奨解析用途
全体,1,和暦,str,カテゴリ,7682,7682,0,0.0,2,平成 | 令和,件数・割合・クロス集計・群間比較
全体,2,給付年度,object,順序・数値候補,7682,7682,0,0.0,38,17 | 18 | 19 | 20 | 21,年度推移または学年比較（型変換の要確認）
全体,3,記号,str,ID候補,7682,7682,0,0.0,7682,17障44 | 17障46 | 17障51 | 17障155 | 17障165,重複・追跡・データ結合
全体,4,種別,str,カテゴリ,7682,7682,0,0.0,12,聴力障害 | 足指切断・機能障害 | そしゃく機能障害 | 歯牙障害 | 外貌・露出部分の醜状障害,件数・割合・クロス集計・群間比較
全体,5,被災学校種,str,カテゴリ,7682,7682,0,0.0,10,小 | 中 | 高 | 保 | 高専,件数・割合・クロス集計・群間比較
全体,6,被災学年,object,順序・数値候補,7682,7682,0,0.0,14,6 | 5 | 1 | 2 | 3,年度推移または学年比較（型変換の要確認）
全体,7,性別,str,カテゴリ,7682,7682,0,0.0,2,男 | 女,件数・割合・クロス集計・群間比較
全体,8,場合別1,str,カテゴリ,7682,7682,0,0.0,8,学校行事 | 休憩時間 | 課外指導 | 通学中 | 各教科等,件数・割合・クロス集計・群間比較
全体,9,場合別2,str,カテゴリ,7682,7601,81,1.0544,40,その他健康安全・体育的行事 | その他集団宿泊的行事 | 休憩時間中 | 運動会・体育祭 | 体育的部活動,件数・割合・クロス集計・群間比較
全体,10,競技種目,str,カテゴリ,7682,6176,1506,19.6043,49,体操（その他） | 短距離走 | サッカー・フットサル | 野球（含軟式） | ソフトボール,件数・割合・クロス集計・群間比較
全体,11,通学方法,str,カテゴリ,7682,4724,2958,38.5056,8,自転車 | 徒歩 | 原動機付自転車 | 鉄道 | ,件数・割合・クロス集計・群間比較
全体,12,発生場所1,str,カテゴリ,7682,7682,0,0.0,3,学校内・校舎外（園内・園舎外） | 学校外（園外） | 学校内・校舎内（園内・園舎内）,件数・割合・クロス集計・群間比較
全体,13,発生場所2,str,カテゴリ,7682,7682,0,0.0,26,運動場・校庭（園庭） | その他 | 体育館・屋内運動場 | 廊下 | 道路,件数・割合・クロス集計・群間比較
全体,14,遊具等,str,カテゴリ,7682,4485,3197,41.6168,15,ぶらんこ | 総合遊具・アスレティック | 鉄棒 | その他 | 雲てい,件数・割合・クロス集計・群間比較
全体,15,災害発生時の状況,str,テキスト,7682,7682,0,0.0,7645,運動会予行練習中、スタート係になりピストルでスタートの合図を行っていた際、ピストルを２０回ほど鳴らした。その後、耳鳴りの症状があらわれた。 | 宿泊学習で少年自然の家に宿泊中、トイレのため二段ベッドから階段で降りようとした際、足を滑らせ床に転倒し右肩と右耳を強く打って骨折してしまった。 | ２時限後の休み時間中に、運動場で鬼ごっこをして遊んでいた。ブランコの周囲を逃げている友人を捕まえようとした際、ブランコが左耳に当った。 | 体育大会中、朝から出発係として何回かピストルを撃っていた。事前指導として必ず耳栓をするように指導していたが、本生徒は片側しか耳栓をしなかった。しばらく続けるうちに、耳鳴りがするようになった。 | 部活動の中で、人間関係などで悩んでいた。悪口や仲間はずれ等があり、他の部員との人間関係が修正できないほどになってしまったので、顧問の先生に話をして退部した。退部したものの、ストレスや不安から食欲がなくなり、右耳が痛くなり難聴になった。,文長・N-gram・既存テキスト成果との比較
全体,16,Step7_入力元ファイル,str,技術補助列,7682,7682,0,0.0,12,Step2-10_傷害カテゴリ別解析_聴力障害抽出.csv | Step2-11_傷害カテゴリ別解析_足指切断・機能障害抽出.csv | Step2-12_傷害カテゴリ別解析_そしゃく機能障害抽出.csv | Step2-1_傷害カテゴリ別解析_歯牙障害抽出.csv | Step2-2_傷害カテゴリ別解析_外貌・露出部分の醜状障害抽出.csv,入力追跡または比較群の定義
全体,17,Step7_入力元カテゴリ,str,技術補助列,7682,7682,0,0.0,12,聴力障害 | 足指切断・機能障害 | そしゃく機能障害 | 歯牙障害 | 外貌・露出部分の醜状障害,入力追跡または比較群の定義
全体,18,Step7_歯牙障害フラグ,int64,技術補助列,7682,7682,0,0.0,2,0 | 1,入力追跡または比較群の定義
