列名,値,件数,割合（％）,列内順位
和暦,平成,6038,78.5993,1
和暦,令和,1644,21.4007,2
給付年度,18,506,6.5868,1
給付年度,19,497,6.4697,2
給付年度,22,467,6.0791,3
給付年度,20,465,6.0531,4
給付年度,21,463,6.0271,5
給付年度,17,439,5.7147,6
給付年度,27,431,5.6105,7
給付年度,24,411,5.3502,8
給付年度,26,409,5.3241,9
給付年度,30,403,5.246,10
給付年度,29,398,5.1809,11
給付年度,2,393,5.1159,12
給付年度,28,388,5.0508,13
給付年度,23,381,4.9596,14
給付年度,25,380,4.9466,15
給付年度,1,363,4.7253,16
給付年度,3,321,4.1786,17
給付年度,5,308,4.0094,18
給付年度,4,259,3.3715,19
種別,外貌・露出部分の醜状障害,1841,23.9651,1
種別,視力・眼球運動障害,1768,23.0148,2
種別,歯牙障害,1583,20.6066,3
種別,精神・神経障害,878,11.4293,4
種別,手指切断・機能障害,503,6.5478,5
種別,胸腹部臓器障害,411,5.3502,6
種別,上肢切断・機能障害,217,2.8248,7
種別,下肢切断・機能障害,158,2.0568,8
種別,せき柱障害,154,2.0047,9
種別,聴力障害,121,1.5751,10
種別,足指切断・機能障害,28,0.3645,11
種別,そしゃく機能障害,20,0.2603,12
被災学校種,高,2948,38.3754,1
被災学校種,中,2225,28.9638,2
被災学校種,小,1931,25.1367,3
被災学校種,保,250,3.2544,4
被災学校種,幼,119,1.5491,5
被災学校種,特高,87,1.1325,6
被災学校種,高専,41,0.5337,7
被災学校種,特中,39,0.5077,8
被災学校種,特小,29,0.3775,9
被災学校種,幼連,13,0.1692,10
被災学年,2,2439,31.7495,1
被災学年,1,2218,28.8727,2
被災学年,3,1702,22.1557,3
被災学年,5,461,6.001,4
被災学年,6,438,5.7016,5
被災学年,4,420,5.4673,6
被災学年,0,4,0.0521,7
性別,男,5483,71.3746,1
性別,女,2199,28.6254,2
場合別1,課外指導,2846,37.0476,1
場合別1,休憩時間,1644,21.4007,2
場合別1,各教科等,1459,18.9924,3
場合別1,通学中,590,7.6803,4
場合別1,保育中,380,4.9466,5
場合別1,学校行事,375,4.8815,6
場合別1,特別活動（除学校行事）,365,4.7514,7
場合別1,寄宿舎にあるとき,23,0.2994,8
場合別2,体育的部活動,2755,35.8631,1
場合別2,体育（保健体育）,1087,14.15,2
場合別2,休憩時間中,632,8.227,3
場合別2,昼食時休憩時間中,528,6.8732,4
場合別2,（欠損）,403,5.246,5
場合別2,下校（降園）中,319,4.1526,6
場合別2,授業終了後の特定時間中,285,3.71,7
場合別2,登校（登園）中,249,3.2413,8
場合別2,始業前の特定時間中,199,2.5905,9
場合別2,その他の教科,158,2.0568,10
場合別2,日常の清掃,129,1.6793,11
場合別2,運動会・体育祭,88,1.1455,12
場合別2,学級（ホームルーム）活動,88,1.1455,13
場合別2,競技大会・球技大会,77,1.0023,14
場合別2,その他,62,0.8071,15
場合別2,その他集団宿泊的行事,55,0.716,16
場合別2,給食指導,55,0.716,17
場合別2,文化的部活動,48,0.6248,18
場合別2,理科,46,0.5988,19
場合別2,総合的な学習の時間,46,0.5988,20
場合別2,家庭（技術・家庭）,39,0.5077,21
場合別2,遠足,33,0.4296,22
場合別2,その他学級活動,31,0.4035,23
場合別2,修学旅行,30,0.3905,24
場合別2,文化的行事,27,0.3515,25
場合別2,その他健康安全・体育的行事,26,0.3385,26
場合別2,図画工作（美術）,25,0.3254,27
場合別2,自立活動,24,0.3124,28
場合別2,通学（通園）に準ずるとき,22,0.2864,29
場合別2,工業,21,0.2734,30
場合別2,体育的クラブ活動,20,0.2603,31
場合別2,児童（生徒・学生）会活動,19,0.2473,32
場合別2,大掃除,13,0.1692,33
場合別2,水泳指導,10,0.1302,34
場合別2,農業,9,0.1172,35
場合別2,その他儀式的行事,8,0.1041,36
場合別2,文化的クラブ活動,7,0.0911,37
場合別2,勤労生産・奉仕的行事,6,0.0781,38
場合別2,林間学校,2,0.026,39
場合別2,道徳,1,0.013,40
競技種目,（欠損）,3759,48.9326,1
競技種目,野球（含軟式）,1117,14.5405,2
競技種目,サッカー・フットサル,500,6.5087,3
競技種目,バスケットボール,345,4.491,4
競技種目,ソフトボール,213,2.7727,5
競技種目,バレーボール,158,2.0568,6
競技種目,柔道,142,1.8485,7
競技種目,バドミントン,137,1.7834,8
競技種目,その他,127,1.6532,9
競技種目,テニス（含ソフトテニス）,111,1.4449,10
競技種目,ラグビー,104,1.3538,11
競技種目,水泳,93,1.2106,12
競技種目,持久走・長距離走,91,1.1846,13
競技種目,マット運動,83,1.0804,14
競技種目,ハンドボール,67,0.8722,15
競技種目,跳箱運動,63,0.8201,16
競技種目,球技（その他）,45,0.5858,17
競技種目,体操（組体操）,39,0.5077,18
競技種目,卓球,39,0.5077,19
競技種目,短距離走,37,0.4816,20
競技種目,走り高跳び,35,0.4556,21
競技種目,鉄棒運動,35,0.4556,22
競技種目,陸上競技（その他）,34,0.4426,23
競技種目,準備・整理運動,33,0.4296,24
競技種目,剣道,30,0.3905,25
競技種目,ホッケー,27,0.3515,26
競技種目,体操（その他）,24,0.3124,27
競技種目,ドッジボール,23,0.2994,28
競技種目,スキー,19,0.2473,29
競技種目,投てき,18,0.2343,30
競技種目,自転車競技,14,0.1822,31
競技種目,空手,12,0.1562,32
競技種目,ボクシング,12,0.1562,33
競技種目,レスリング,12,0.1562,34
競技種目,筋力トレーニング,11,0.1432,35
競技種目,障害走（ハードル）,11,0.1432,36
競技種目,相撲,10,0.1302,37
競技種目,走り幅跳び,10,0.1302,38
競技種目,弓道,9,0.1172,39
