給付年度,件数,割合（％）,前年度差,前年度比（％）
1,363,4.7253,,
2,393,5.1159,30.0,8.2645
3,321,4.1786,-72.0,-18.3206
4,259,3.3715,-62.0,-19.3146
5,308,4.0094,49.0,18.9189
17,439,5.7147,131.0,42.5325
18,506,6.5868,67.0,15.262
19,497,6.4697,-9.0,-1.7787
20,465,6.0531,-32.0,-6.4386
21,463,6.0271,-2.0,-0.4301
22,467,6.0791,4.0,0.8639
23,381,4.9596,-86.0,-18.4154
24,411,5.3502,30.0,7.874
25,380,4.9466,-31.0,-7.5426
26,409,5.3241,29.0,7.6316
27,431,5.6105,22.0,5.379
28,388,5.0508,-43.0,-9.9768
29,398,5.1809,10.0,2.5773
30,403,5.246,5.0,1.2563
