列名,カテゴリ,歯牙障害件数,歯牙障害以外件数,合計,カテゴリ内歯牙障害割合（％）
和暦,令和,270,1374,1644,16.4234
和暦,平成,1313,4725,6038,21.7456
給付年度,1,63,300,363,17.3554
給付年度,17,106,333,439,24.1458
給付年度,18,115,391,506,22.7273
給付年度,19,127,370,497,25.5533
給付年度,2,72,321,393,18.3206
給付年度,20,107,358,465,23.0108
給付年度,21,102,361,463,22.0302
給付年度,22,105,362,467,22.4839
給付年度,23,93,288,381,24.4094
給付年度,24,80,331,411,19.4647
給付年度,25,72,308,380,18.9474
給付年度,26,89,320,409,21.7604
給付年度,27,93,338,431,21.5777
給付年度,28,80,308,388,20.6186
給付年度,29,76,322,398,19.0955
給付年度,3,43,278,321,13.3956
給付年度,30,68,335,403,16.8734
給付年度,4,50,209,259,19.305
給付年度,5,42,266,308,13.6364
被災学校種,中,386,1839,2225,17.3483
被災学校種,保,0,250,250,0.0
被災学校種,小,245,1686,1931,12.6877
被災学校種,幼,2,117,119,1.6807
被災学校種,幼連,0,13,13,0.0
被災学校種,特中,13,26,39,33.3333
被災学校種,特小,10,19,29,34.4828
被災学校種,特高,31,56,87,35.6322
被災学校種,高,886,2062,2948,30.0543
被災学校種,高専,10,31,41,24.3902
被災学年,0,0,4,4,0.0
被災学年,1,466,1752,2218,21.0099
被災学年,2,548,1891,2439,22.4682
被災学年,3,403,1299,1702,23.678
被災学年,4,54,366,420,12.8571
被災学年,5,58,403,461,12.5813
被災学年,6,54,384,438,12.3288
性別,女,392,1807,2199,17.8263
性別,男,1191,4292,5483,21.7217
場合別1,休憩時間,250,1394,1644,15.2068
場合別1,保育中,2,378,380,0.5263
場合別1,各教科等,233,1226,1459,15.9698
場合別1,学校行事,79,296,375,21.0667
場合別1,寄宿舎にあるとき,6,17,23,26.087
場合別1,特別活動（除学校行事）,64,301,365,17.5342
場合別1,課外指導,687,2159,2846,24.1391
場合別1,通学中,262,328,590,44.4068
場合別2,その他,8,54,62,12.9032
場合別2,その他の教科,20,138,158,12.6582
場合別2,その他健康安全・体育的行事,3,23,26,11.5385
場合別2,その他儀式的行事,3,5,8,37.5
場合別2,その他学級活動,7,24,31,22.5806
場合別2,その他集団宿泊的行事,12,43,55,21.8182
場合別2,下校（降園）中,135,184,319,42.3197
場合別2,休憩時間中,94,538,632,14.8734
場合別2,体育的クラブ活動,7,13,20,35.0
場合別2,体育的部活動,674,2081,2755,24.4646
場合別2,体育（保健体育）,192,895,1087,17.6633
場合別2,修学旅行,6,24,30,20.0
場合別2,児童（生徒・学生）会活動,4,15,19,21.0526
場合別2,勤労生産・奉仕的行事,1,5,6,16.6667
場合別2,図画工作（美術）,0,25,25,0.0
場合別2,大掃除,4,9,13,30.7692
場合別2,始業前の特定時間中,24,175,199,12.0603
場合別2,学級（ホームルーム）活動,11,77,88,12.5
場合別2,家庭（技術・家庭）,0,39,39,0.0
場合別2,工業,1,20,21,4.7619
場合別2,授業終了後の特定時間中,56,229,285,19.6491
場合別2,文化的クラブ活動,0,7,7,0.0
場合別2,文化的行事,3,24,27,11.1111
場合別2,文化的部活動,7,41,48,14.5833
場合別2,日常の清掃,26,103,129,20.155
場合別2,昼食時休憩時間中,76,452,528,14.3939
場合別2,林間学校,1,1,2,50.0
場合別2,水泳指導,3,7,10,30.0
場合別2,理科,4,42,46,8.6957
場合別2,登校（登園）中,117,132,249,46.988
場合別2,競技大会・球技大会,14,63,77,18.1818
場合別2,給食指導,5,50,55,9.0909
場合別2,総合的な学習の時間,7,39,46,15.2174
場合別2,自立活動,7,17,24,29.1667
場合別2,農業,2,7,9,22.2222
場合別2,通学（通園）に準ずるとき,10,12,22,45.4545
場合別2,運動会・体育祭,20,68,88,22.7273
場合別2,道徳,0,1,1,0.0
場合別2,遠足,11,22,33,33.3333
場合別2,（欠損）,8,395,403,1.9851
競技種目,その他,26,101,127,20.4724
競技種目,サッカー・フットサル,77,423,500,15.4
競技種目,スキー,4,15,19,21.0526
競技種目,スケート,1,2,3,33.3333
競技種目,ソフトボール,75,138,213,35.2113
競技種目,テニス（含ソフトテニス）,18,93,111,16.2162
競技種目,ドッジボール,6,17,23,26.087
競技種目,ハンドボール,14,53,67,20.8955
競技種目,バスケットボール,112,233,345,32.4638
競技種目,バドミントン,12,125,137,8.7591
競技種目,バレーボール,43,115,158,27.2152
競技種目,ホッケー,20,7,27,74.0741
競技種目,ボクシング,1,11,12,8.3333
競技種目,ポートボール,1,3,4,25.0
競技種目,マット運動,5,78,83,6.0241
競技種目,ヨット,0,2,2,0.0
競技種目,ラグビー,13,91,104,12.5
競技種目,レスリング,0,12,12,0.0
競技種目,体操（その他）,4,20,24,16.6667
競技種目,体操（組体操）,2,37,39,5.1282
競技種目,剣道,5,25,30,16.6667
競技種目,卓球,4,35,39,10.2564
競技種目,器械体操・新体操（その他）,1,6,7,14.2857
競技種目,弓道,3,6,9,33.3333
競技種目,投てき,0,18,18,0.0
競技種目,持久走・長距離走,10,81,91,10.989
競技種目,柔道,13,129,142,9.1549
競技種目,武道等（その他）,0,3,3,0.0
競技種目,水泳,9,84,93,9.6774
競技種目,準備・整理運動,6,27,33,18.1818
