列名,カテゴリ数,カイ二乗値,自由度,p値,期待度5未満セル数,期待度5未満割合（％）,前提条件判定
和暦,2,22.37282282169001,1,2.2452885984787734e-06,0,0.0,概ね適合
給付年度,19,47.53035580037899,18,0.00017675781081408258,0,0.0,概ね適合
被災学校種,10,363.24443418500044,9,9.382617061822952e-73,1,5.0,概ね適合
被災学年,7,68.14933303135032,6,9.79197598784692e-13,2,14.2857,要注意
性別,2,14.557354859040851,1,0.00013595690286874695,0,0.0,概ね適合
場合別1,8,370.6908090561796,7,4.5683310496903974e-76,1,6.25,概ね適合
場合別2,40,414.93356174945336,39,2.2874424636508746e-64,16,20.0,要注意
競技種目,49,308.7124325165095,48,9.057586269361934e-40,31,31.6327,要注意
通学方法,8,382.80399878745925,7,1.1591445997318778e-78,8,50.0,要注意
発生場所1,3,152.6916223648356,2,6.9732540389727365e-34,0,0.0,概ね適合
発生場所2,26,334.2035773805274,25,7.716799471146073e-56,15,28.8462,要注意
遊具等,15,19.297927659094693,14,0.1538747208512343,13,43.3333,要注意
