列名,カテゴリ,歯牙_当該,非歯牙_当該,歯牙_その他,非歯牙_その他,Fisherオッズ比,p値
和暦,令和,270,1374,1313,4725,0.7071541887141352,1.6955151302932269e-06
和暦,平成,1313,4725,270,1374,1.4141187536743092,1.6955151302932269e-06
給付年度,1,63,300,1520,5799,0.8011776315789474,0.12618943871796534
給付年度,17,106,333,1477,5766,1.2426698872196502,0.06806507870607949
給付年度,18,115,391,1468,5708,1.1436127584548805,0.2323266645066956
給付年度,19,127,370,1456,5729,1.3505772943272942,0.00586455845392439
給付年度,2,72,321,1511,5778,0.8577101257445401,0.27636760701995305
給付年度,20,107,358,1476,5741,1.1625240344582217,0.19310563377915818
給付年度,21,102,361,1481,5738,1.0947084118127866,0.4410587283471319
給付年度,22,105,362,1478,5737,1.1258775110459858,0.3154938554642851
給付年度,23,93,288,1490,5811,1.259375,0.06861294119204298
給付年度,24,80,331,1503,5768,0.927530638622051,0.6160183940245896
給付年度,25,72,308,1511,5791,0.8959234015488152,0.4355705516421869
給付年度,26,89,320,1494,5779,1.0758262215528782,0.571733129747467
給付年度,27,93,338,1490,5761,1.063843771097256,0.6238629208128466
給付年度,28,80,308,1503,5791,1.0007690247211205,1.0
給付年度,29,76,322,1507,5777,0.9047880079298677,0.48396921747063293
給付年度,3,43,278,1540,5821,0.5846561711669626,0.0008820050976269346
給付年度,30,68,335,1515,5764,0.772281168415349,0.05776651379617449
給付年度,4,50,209,1533,5890,0.9191721520488644,0.6396595235057052
給付年度,5,42,266,1541,5833,0.5976638546398443,0.0015221188102258654
被災学校種,中,386,1839,1197,4260,0.7470007263945617,5.539407156572349e-06
被災学校種,保,0,250,1583,5849,0.0,4.6814725021292545e-26
被災学校種,小,245,1686,1338,4413,0.47927671299916486,5.232963928684369e-25
被災学校種,幼,2,117,1581,5982,0.06467831135762825,7.314305955515474e-10
被災学校種,幼連,0,13,1583,6086,0.0,0.08397641364928357
被災学校種,特中,13,26,1570,6073,1.9340764331210192,0.07067678845739434
被災学校種,特小,10,19,1573,6080,2.0343293070565798,0.10270357800009375
被災学校種,特高,31,56,1552,6043,2.1554330817378498,0.0011738269196481348
被災学校種,高,886,2062,697,4037,2.488691315280814,2.5935197042593387e-57
被災学校種,高専,10,31,1573,6068,1.2443861124213031,0.5612389481075737
被災学年,0,0,4,1583,6095,0.0,0.5873848223447302
被災学年,1,466,1752,1117,4347,1.0351142370096025,0.5754874801598029
被災学年,2,548,1891,1035,4208,1.1782146296849811,0.006385397848674035
被災学年,3,403,1299,1180,4800,1.2619877089286413,0.0004650775020515675
被災学年,4,54,366,1529,5733,0.5532063172115065,2.9769846312435374e-05
被災学年,5,58,403,1525,5696,0.5375552210877436,4.430035830117429e-06
被災学年,6,54,384,1529,5715,0.5256192773054283,4.519305719221978e-06
性別,女,392,1807,1191,4292,0.7817643579381796,0.0001232997727073342
性別,男,1191,4292,392,1807,1.2791578304201456,0.0001232997727073342
場合別1,休憩時間,250,1394,1333,4705,0.6330043773497176,4.4066191533683865e-10
場合別1,保育中,2,378,1581,5721,0.019146009658343625,7.140422725422864e-36
場合別1,各教科等,233,1226,1350,4873,0.6860062836082412,8.032428321998493e-07
場合別1,学校行事,79,296,1504,5803,1.0297697131972399,0.8443017041061053
場合別1,寄宿舎にあるとき,6,17,1577,6082,1.3611846767876459,0.45054775822647686
場合別1,特別活動（除学校行事）,64,301,1519,5798,0.8115848204033516,0.144826359610798
場合別1,課外指導,687,2159,896,3940,1.399240306358764,5.940714327555703e-09
場合別1,通学中,262,328,1321,5771,3.4896004505086684,2.2694125343693608e-42
場合別2,その他,8,54,1575,6045,0.5686067019400353,0.1560272652798888
場合別2,その他の教科,20,138,1563,5961,0.552727475034076,0.012568966449149647
場合別2,その他健康安全・体育的行事,3,23,1580,6076,0.5015960374243258,0.3348303452226324
