列名,カテゴリ数,CramersV（バイアス補正）,p値（カイ二乗）
場合別2,40,0.22122985666543732,2.2874424636508746e-64
通学方法,8,0.22119295624500945,1.1591445997318778e-78
場合別1,8,0.21759892224512942,4.5683310496903974e-76
被災学校種,10,0.21475432579754758,9.382617061822952e-73
発生場所2,26,0.20063702995445207,7.716799471146073e-56
競技種目,49,0.18423272973193847,9.057586269361934e-40
発生場所1,3,0.14006683013319798,6.9732540389727365e-34
被災学年,7,0.08995113092392945,9.79197598784692e-13
給付年度,19,0.06200236109754372,0.00017675781081408258
和暦,2,0.05274979074325102,2.2452885984787734e-06
性別,2,0.042012305773525965,0.00013595690286874695
遊具等,15,0.026258469770210992,0.1538747208512343
