列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
和暦,令和,歯牙障害以外,1374,1305.2272845613122,4.729991841609243,True
和暦,令和,歯牙障害,270,338.77271543868784,-4.729991841609246,True
和暦,平成,歯牙障害以外,4725,4793.772715438688,-4.729991841609229,True
和暦,平成,歯牙障害,1313,1244.2272845613122,4.729991841609244,True
給付年度,1,歯牙障害以外,300,288.1979953137204,1.5689831400810756,False
給付年度,1,歯牙障害,63,74.80200468627962,-1.5689831400810794,False
給付年度,17,歯牙障害以外,333,348.5369695391825,-1.8880630441769577,False
給付年度,17,歯牙障害,106,90.46303046081749,1.8880630441769577,False
給付年度,18,歯牙障害以外,391,401.7305389221557,-1.220244168548998,False
給付年度,18,歯牙障害,115,104.26946107784431,1.220244168548998,False
給付年度,19,歯牙障害以外,370,394.5851340796668,-2.819179188102089,True
給付年度,19,歯牙障害,127,102.41486592033324,2.8191791881020873,True
給付年度,2,歯牙障害以外,321,312.01601145535017,1.1502192173554864,False
給付年度,2,歯牙障害,72,80.98398854464983,-1.1502192173554864,False
給付年度,20,歯牙障害以外,358,369.17925019526166,-1.3223594614972287,False
給付年度,20,歯牙障害,107,95.82074980473836,1.322359461497227,False
給付年度,21,歯牙障害以外,361,367.59138245248636,-0.7812484616807398,False
給付年度,21,歯牙障害,102,95.40861754751367,0.7812484616807364,False
給付年度,22,歯牙障害以外,362,370.76711793803696,-1.0349560818730064,False
給付年度,22,歯牙障害,105,96.23288206196302,1.0349560818730081,False
給付年度,23,歯牙障害以外,288,302.48880499869824,-1.8824375851643353,False
給付年度,23,歯牙障害,93,78.51119500130174,1.8824375851643371,False
給付年度,24,歯牙障害以外,331,326.30682114032805,0.5882891012001971,False
給付年度,24,歯牙障害,80,84.69317885967196,-0.5882891012001988,False
給付年度,25,歯牙障害以外,308,301.6948711273106,0.8202059873134002,False
給付年度,25,歯牙障害,72,78.30512887268941,-0.8202059873134002,False
給付年度,26,歯牙障害以外,320,324.7189533975527,-0.5928828948704091,False
給付年度,26,歯牙障害,89,84.28104660244728,0.5928828948704127,False
給付年度,27,歯牙障害以外,338,342.18549856808124,-0.5130400747384772,False
給付年度,27,歯牙障害,93,88.81450143191877,0.5130400747384755,False
給付年度,28,歯牙障害以外,308,308.04634209841186,-0.0059692343983714985,False
給付年度,28,歯牙障害,80,79.95365790158813,0.005969234398373328,False
給付年度,29,歯牙障害以外,322,315.9856808122885,0.7654232474376653,False
給付年度,29,歯牙障害,76,82.01431918771154,-0.7654232474376672,False
給付年度,3,歯牙障害以外,278,254.85277271543868,3.263019965373702,True
給付年度,3,歯牙障害,43,66.14722728456131,-3.2630199653737,True
給付年度,30,歯牙障害以外,335,319.9553501692268,1.903423299855895,False
給付年度,30,歯牙障害,68,83.04464983077324,-1.9034232998558989,False
給付年度,4,歯牙障害以外,209,205.6288726894038,0.5268381569429998,False
給付年度,4,歯牙障害,50,53.3711273105962,-0.526838156943001,False
給付年度,5,歯牙障害以外,266,244.53163238739913,3.0868375780055315,True
給付年度,5,歯牙障害,42,63.468367612600886,-3.0868375780055333,True
被災学校種,中,歯牙障害以外,1839,1766.5028638375422,4.508380333788613,True
被災学校種,中,歯牙障害,386,458.4971361624577,-4.508380333788609,True
被災学校種,保,歯牙障害以外,250,198.48346784691486,8.189651965683419,True
被災学校種,保,歯牙障害,0,51.51653215308514,-8.189651965683419,True
被災学校種,小,歯牙障害以外,1686,1533.0863056495705,9.943178599980856,True
被災学校種,小,歯牙障害,245,397.9136943504296,-9.94317859998086,True
被災学校種,幼,歯牙障害以外,117,94.47813069513148,5.144291658204279,True
被災学校種,幼,歯牙障害,2,24.521869304868524,-5.14429165820428,True
被災学校種,幼連,歯牙障害以外,13,10.321140328039572,1.8384448207037776,False
被災学校種,幼連,歯牙障害,0,2.678859671960427,-1.8384448207037767,False
被災学校種,特中,歯牙障害以外,26,30.96342098411872,-1.9699652226499964,True
被災学校種,特中,歯牙障害,13,8.036579015881282,1.9699652226499957,True
被災学校種,特小,歯牙障害以外,19,23.024082270242126,-1.8509456883107833,False
被災学校種,特小,歯牙障害,10,5.975917729757875,1.8509456883107829,False
被災学校種,特高,歯牙障害以外,56,69.07224681072637,-3.484724138403258,True
被災学校種,特高,歯牙障害,31,17.927753189273627,3.484724138403259,True
被災学校種,高,歯牙障害以外,2062,2340.51705285082,-16.15532148538835,True
被災学校種,高,歯牙障害,886,607.48294714918,16.155321485388342,True
被災学校種,高専,歯牙障害以外,31,32.551288726894036,-0.6005750532229209,False
被災学校種,高専,歯牙障害,10,8.448711273105962,0.6005750532229216,False
被災学年,0,歯牙障害以外,4,3.175735485550638,1.0191878412091702,False
被災学年,0,歯牙障害,0,0.8242645144493621,-1.0191878412091702,False
被災学年,1,歯牙障害以外,1752,1760.9453267378287,-0.5568032636211742,False
被災学年,1,歯牙障害,466,457.0546732621713,0.5568032636211706,False
被災学年,2,歯牙障害以外,1891,1936.4047123145015,-2.751355947592564,True
被災学年,2,歯牙障害,548,502.5952876854986,2.751355947592561,True
被災学年,3,歯牙障害以外,1299,1351.2754491017963,-3.5506599607573777,True
被災学年,3,歯牙障害,403,350.7245508982036,3.550659960757385,True
被災学年,4,歯牙障害以外,366,333.45222598281697,4.038408102923346,True
被災学年,4,歯牙障害,54,86.54777401718303,-4.038408102923345,True
