列名,カテゴリ,a_当該歯牙,b_当該非歯牙,c_非当該歯牙,d_非当該非歯牙,オッズ比,95%CI下限,95%CI上限,0.5補正
和暦,令和,270,1374,1313,4725,0.7071541887141352,0.6122589171984263,0.8167574739526097,False
和暦,平成,1313,4725,270,1374,1.4141187536743092,1.224353656858024,1.6332959339747943,False
給付年度,1,63,300,1520,5799,0.8011776315789474,0.607069153845571,1.057351692597673,False
給付年度,17,106,333,1477,5766,1.2426698872196502,0.9913681667984703,1.5576740310206225,False
給付年度,18,115,391,1468,5708,1.1436127584548805,0.9217390969552114,1.418894072759866,False
給付年度,19,127,370,1456,5729,1.3505772943272942,1.0951727850668256,1.6655445175631658,False
給付年度,2,72,321,1511,5778,0.8577101257445401,0.6601605017031651,1.1143754555244512,False
給付年度,20,107,358,1476,5741,1.1625240344582217,0.9297852681012491,1.4535206967226901,False
給付年度,21,102,361,1481,5738,1.0947084118127866,0.8723214958079728,1.3737899531911553,False
給付年度,22,105,362,1478,5737,1.1258775110459858,0.8993461585342004,1.4094685987708029,False
給付年度,23,93,288,1490,5811,1.259375,0.9900705909078262,1.6019316250679907,False
給付年度,24,80,331,1503,5768,0.927530638622051,0.7218596726447417,1.1918010081247838,False
給付年度,25,72,308,1511,5791,0.8959234015488152,0.6889106269704994,1.165142051840016,False
給付年度,26,89,320,1494,5779,1.0758262215528782,0.8448614518110128,1.369931195818888,False
給付年度,27,93,338,1490,5761,1.063843771097256,0.8398080390481588,1.3476455531256586,False
給付年度,28,80,308,1503,5791,1.0007690247211205,0.7775216860880878,1.2881166644756392,False
給付年度,29,76,322,1507,5777,0.9047880079298677,0.7002211762187699,1.1691182259217057,False
給付年度,3,43,278,1540,5821,0.5846561711669626,0.42198407946530897,0.8100372860434266,False
給付年度,30,68,335,1515,5764,0.772281168415349,0.5914536408989074,1.008393831480222,False
給付年度,4,50,209,1533,5890,0.9191721520488644,0.6717134802681943,1.2577943869234356,False
給付年度,5,42,266,1541,5833,0.5976638546398443,0.42957042432475206,0.831533231610272,False
被災学校種,中,386,1839,1197,4260,0.7470007263945617,0.6578480200856892,0.8482355623131893,False
被災学校種,保,0,250,1583,5849,0.007373317778714752,0.0004596402216157974,0.11827906373118544,True
被災学校種,小,245,1686,1338,4413,0.47927671299916486,0.4136285072982266,0.5553441398991038,False
被災学校種,幼,2,117,1581,5982,0.06467831135762825,0.01596825622676638,0.2619750021960559,False
被災学校種,幼連,0,13,1583,6086,0.14235928381807764,0.00845780712651214,2.3961489528023097,True
被災学校種,特中,13,26,1570,6073,1.9340764331210192,0.9915780222322373,3.7724229110415144,False
被災学校種,特小,10,19,1573,6080,2.0343293070565798,0.9440529284632247,4.383753923931096,False
被災学校種,特高,31,56,1552,6043,2.1554330817378498,1.3849816004218243,3.354479054765004,False
被災学校種,高,886,2062,697,4037,2.488691315280814,2.2238295882199433,2.78509850555221,False
被災学校種,高専,10,31,1573,6068,1.2443861124213031,0.6087724425220883,2.5436381291697834,False
被災学年,0,0,4,1583,6095,0.4277093639266042,0.023014523089996124,7.94868958505675,True
被災学年,1,466,1752,1117,4347,1.0351142370096025,0.9166985877676702,1.1688263710203561,False
被災学年,2,548,1891,1035,4208,1.1782146296849811,1.0482237650804633,1.3243257402174597,False
被災学年,3,403,1299,1180,4800,1.2619877089286413,1.109664376624304,1.4352204243339135,False
被災学年,4,54,366,1529,5733,0.5532063172115065,0.4134320433730149,0.7402358726379582,False
被災学年,5,58,403,1525,5696,0.5375552210877436,0.40586977830637777,0.7119663280288936,False
