列名,カテゴリ,p値,当該カテゴリ合計,BH補正p値,BH有意（5%）
通学方法,自転車,5.007418688124331e-66,356,4.005934950499465e-65,True
被災学校種,高,2.5935197042593387e-57,2948,2.5935197042593387e-56,True
発生場所2,道路,4.917883962120836e-44,616,1.2786498301514173e-42,True
通学方法,（欠損）,2.2694125343693608e-42,7092,9.077650137477443e-42,True
場合別1,通学中,2.2694125343693608e-42,590,1.8155300274954886e-41,True
場合別1,保育中,7.140422725422864e-36,380,2.856169090169146e-35,True
場合別2,（欠損）,2.2390747435383683e-30,403,8.956298974153473e-29,True
発生場所1,学校外（園外）,6.71680156032693e-28,1616,2.015040468098079e-27,True
被災学校種,保,4.6814725021292545e-26,250,2.3407362510646274e-25,True
被災学校種,小,5.232963928684369e-25,1931,1.7443213095614563e-24,True
発生場所1,学校内・校舎内（園内・園舎内）,6.3675650272550445e-21,3133,9.551347540882567e-21,True
場合別2,登校（登園）中,2.3199840641653678e-21,249,4.639968128330736e-20,True
競技種目,野球（含軟式）,1.1712598732458152e-20,1117,5.739173378904495e-19,True
場合別2,下校（降園）中,2.993821076593778e-19,319,3.991761435458371e-18,True
発生場所2,教室（保育室）,1.824367705171585e-15,782,2.3716780167230602e-14,True
場合別1,休憩時間,4.4066191533683865e-10,1644,1.1750984408982363e-09,True
被災学校種,幼,7.314305955515474e-10,119,1.8285764888788685e-09,True
場合別2,体育的部活動,6.240279305550517e-10,2755,6.240279305550517e-09,True
場合別1,課外指導,5.940714327555703e-09,2846,1.1881428655111406e-08,True
競技種目,ホッケー,3.3980915521077897e-09,27,8.325324302664085e-08,True
発生場所2,実習実験室,2.8561413502376693e-08,160,2.4753225035393134e-07,True
場合別1,各教科等,8.032428321998493e-07,1459,1.285188531519759e-06,True
和暦,令和,1.6955151302932269e-06,1644,1.6955151302932269e-06,True
和暦,平成,1.6955151302932269e-06,6038,1.6955151302932269e-06,True
競技種目,バスケットボール,1.246241520650917e-07,345,2.0355278170631643e-06,True
