列名,カテゴリ,歯牙障害件数,歯牙障害群内割合（％）,歯牙障害以外件数,歯牙障害以外群内割合（％）,割合差_歯牙-以外（pt）,合計
給付年度,1,63,3.9798,300,4.9188,-0.9391,363
給付年度,17,106,6.6961,333,5.4599,1.2362,439
給付年度,18,115,7.2647,391,6.4109,0.8538,506
給付年度,19,127,8.0227,370,6.0666,1.9562,497
給付年度,2,72,4.5483,321,5.2632,-0.7148,393
給付年度,20,107,6.7593,358,5.8698,0.8895,465
給付年度,21,102,6.4435,361,5.919,0.5245,463
給付年度,22,105,6.633,362,5.9354,0.6976,467
給付年度,23,93,5.8749,288,4.7221,1.1528,381
給付年度,24,80,5.0537,331,5.4271,-0.3734,411
給付年度,25,72,4.5483,308,5.05,-0.5017,380
給付年度,26,89,5.6222,320,5.2468,0.3755,409
給付年度,27,93,5.8749,338,5.5419,0.333,431
給付年度,28,80,5.0537,308,5.05,0.0037,388
給付年度,29,76,4.801,322,5.2796,-0.4785,398
給付年度,3,43,2.7164,278,4.5581,-1.8418,321
給付年度,30,68,4.2956,335,5.4927,-1.1971,403
給付年度,4,50,3.1586,209,3.4268,-0.2682,259
給付年度,5,42,2.6532,266,4.3614,-1.7082,308
