列名,カテゴリ,歯牙障害件数,歯牙障害群内割合（％）,歯牙障害以外件数,歯牙障害以外群内割合（％）,割合差_歯牙-以外（pt）,合計
発生場所1,学校内・校舎内（園内・園舎内）,484,30.5749,2649,43.4333,-12.8585,3133
発生場所1,学校内・校舎外（園内・園舎外）,602,38.0291,2331,38.2194,-0.1903,2933
発生場所1,学校外（園外）,497,31.3961,1119,18.3473,13.0488,1616
発生場所2,その他,59,3.7271,320,5.2468,-1.5197,379
発生場所2,プール,16,1.0107,92,1.5084,-0.4977,108
発生場所2,ベランダ,0,0.0,17,0.2787,-0.2787,17
発生場所2,体育館・屋内運動場,245,15.4769,1007,16.5109,-1.034,1252
発生場所2,便所,9,0.5685,42,0.6886,-0.1201,51
発生場所2,公園,0,0.0,1,0.0164,-0.0164,1
発生場所2,公園・遊園地,12,0.7581,41,0.6722,0.0858,53
発生場所2,学校外体育館,40,2.5268,133,2.1807,0.3462,173
発生場所2,学校外運動場・競技場,119,7.5174,374,6.1322,1.3852,493
発生場所2,実習実験室,8,0.5054,152,2.4922,-1.9868,160
発生場所2,屋上,0,0.0,3,0.0492,-0.0492,3
発生場所2,山林野（含スキー場）,17,1.0739,49,0.8034,0.2705,66
発生場所2,廊下,96,6.0644,392,6.4273,-0.3628,488
発生場所2,手足洗場,0,0.0,3,0.0492,-0.0492,3
発生場所2,排水溝,0,0.0,2,0.0328,-0.0328,2
発生場所2,教室（保育室）,81,5.1169,701,11.4937,-6.3768,782
発生場所2,昇降口・玄関,6,0.379,96,1.574,-1.195,102
発生場所2,水飲み場,0,0.0,2,0.0328,-0.0328,2
発生場所2,河川,5,0.3159,9,0.1476,0.1683,14
発生場所2,海・湖・沼・池,2,0.1263,15,0.2459,-0.1196,17
発生場所2,講堂,3,0.1895,15,0.2459,-0.0564,18
発生場所2,農場,0,0.0,7,0.1148,-0.1148,7
発生場所2,遊戯室,0,0.0,30,0.4919,-0.4919,30
発生場所2,運動場・校庭（園庭）,567,35.8181,2159,35.3992,0.4188,2726
発生場所2,道路,273,17.2457,343,5.6239,11.6219,616
発生場所2,階段,25,1.5793,94,1.5412,0.038,119
