品詞,品詞細分類,形態素数,全形態素割合（％）,出現事例数,事例出現率（％）
名詞,一般,78979,20.6405,7682,100.0
助詞,格助詞,60993,15.94,7681,99.987
動詞,自立,48609,12.7036,7681,99.987
助動詞,*,28660,7.4901,7599,98.9196
名詞,サ変接続,28362,7.4122,7307,95.1185
記号,読点,25374,6.6313,7561,98.4249
助詞,連体化,18201,4.7567,6807,88.6097
名詞,接尾,16786,4.3869,6439,83.8193
助詞,接続助詞,16507,4.314,6534,85.056
記号,句点,13035,3.4066,7644,99.5053
名詞,非自立,10793,2.8207,6290,81.8797
動詞,非自立,9811,2.564,5805,75.5663
接頭詞,名詞接続,4306,1.1253,3182,41.4215
名詞,数,3551,0.928,1924,25.0456
名詞,副詞可能,3080,0.8049,2416,31.4501
動詞,接尾,2108,0.5509,1748,22.7545
助詞,係助詞,1657,0.433,1210,15.7511
形容詞,自立,1639,0.4283,1401,18.2374
連体詞,*,1600,0.4181,1409,18.3416
助詞,並立助詞,1537,0.4017,1330,17.3132
副詞,一般,879,0.2297,697,9.0732
名詞,固有名詞,754,0.1971,525,6.8342
記号,括弧開,685,0.179,621,8.0838
記号,括弧閉,680,0.1777,619,8.0578
名詞,形容動詞語幹,673,0.1759,601,7.8235
副詞,助詞類接続,623,0.1628,557,7.2507
接頭詞,数接続,523,0.1367,402,5.233
助詞,副詞化,505,0.132,458,5.962
助詞,副助詞,414,0.1082,379,4.9336
接続詞,*,392,0.1024,365,4.7514
記号,一般,232,0.0606,174,2.265
名詞,代名詞,208,0.0544,201,2.6165
助詞,終助詞,153,0.04,88,1.1455
助詞,副助詞／並立助詞／終助詞,74,0.0193,69,0.8982
記号,アルファベット,63,0.0165,43,0.5598
記号,空白,58,0.0152,42,0.5467
名詞,接続詞的,54,0.0141,52,0.6769
形容詞,非自立,32,0.0084,32,0.4166
感動詞,*,18,0.0047,17,0.2213
フィラー,*,9,0.0024,9,0.1172
接頭詞,動詞接続,8,0.0021,8,0.1041
その他,間投,5,0.0013,5,0.0651
形容詞,接尾,5,0.0013,5,0.0651
名詞,ナイ形容詞語幹,3,0.0008,3,0.0391
名詞,特殊,2,0.0005,2,0.026
