単語,歯牙障害_平均TFIDF,歯牙障害以外_平均TFIDF,TFIDF差_歯牙-以外,絶対差
前歯,0.08620589529819171,0.0007737465469262652,0.08543214875126545,0.08543214875126545
歯,0.0610367770236016,0.0016870122797586857,0.05934976474384292,0.05934976474384292
口,0.047694094184928634,0.0034858088945600336,0.044208285290368604,0.044208285290368604
眼,0.0003449624278371968,0.0417003659585896,-0.041355403530752406,0.041355403530752406
顔面,0.05154681262691967,0.014312289597902015,0.037234523029017655,0.037234523029017655
自転車,0.03626511001840609,0.0070528965306048755,0.029212213487801217,0.029212213487801217
補綴,0.028816731403475626,0.00016611771524096592,0.02865061368823466,0.02865061368823466
歯科,0.028802733300336857,0.0001838795591353638,0.028618853741201492,0.028618853741201492
加える,0.02864807869977314,0.0004370292553261652,0.028211049444446974,0.028211049444446974
破る,0.027318371402686305,0.0001174496111811369,0.02720092179150517,0.02720092179150517
折,0.027303282282461934,0.0005248093427278743,0.02677847293973406,0.02677847293973406
本,0.030791428344182466,0.00591249457191012,0.024878933772272346,0.024878933772272346
折れる,0.025557044961403826,0.0008874535059054291,0.024669591455498397,0.024669591455498397
転倒,0.039589751191111716,0.019875510641711374,0.019714240549400342,0.019714240549400342
強打,0.03209532347715708,0.013151093270295669,0.01894423020686141,0.01894423020686141
残る,0.00025398292534576516,0.017892811666117947,-0.017638828740772182,0.017638828740772182
床,0.025160128015330692,0.007940261423330573,0.01721986659200012,0.01721986659200012
ノック,0.02099273304199178,0.004092333178506754,0.016900399863485027,0.016900399863485027
顔,0.024688796139352997,0.008084355992329251,0.016604440147023745,0.016604440147023745
バット,0.020642214896866663,0.0043642333178587605,0.0162779815790079,0.0162779815790079
口元,0.015716420859486567,0.0002531036828584956,0.01546331717662807,0.01546331717662807
脱臼,0.014122885112760244,0.0014925639698131106,0.012630321142947133,0.012630321142947133
ガラス,0.00021647429731712906,0.012299799897759723,-0.012083325600442594,0.012083325600442594
障害,0.0001278343415291166,0.011716012211649366,-0.01158817787012025,0.01158817787012025
指,5.560771611751123e-05,0.0111588507983368,-0.01110324308221929,0.01110324308221929
イレギュラー,0.011663252885027826,0.0006306471208097998,0.011032605764218027,0.011032605764218027
野球,0.02630876538267188,0.0154598305832681,0.010848934799403782,0.010848934799403782
抜ける,0.012043619575308615,0.0012719281854366579,0.010771691389871958,0.010771691389871958
右手,0.0009767320842678678,0.011588301335623736,-0.010611569251355868,0.010611569251355868
蹴る,0.004051127875701662,0.014643037456965113,-0.01059190958126345,0.01059190958126345
守備,0.014292356540705865,0.003996177059637871,0.010296179481067994,0.010296179481067994
下校,0.01507236582742107,0.0055746856234601076,0.009497680203960962,0.009497680203960962
道路,0.013074523943621907,0.003677881564550772,0.009396642379071136,0.009396642379071136
ボール,0.04733854952455653,0.03817952934575162,0.009159020178804912,0.009159020178804912
当たる,0.03990074980831217,0.030763910938565977,0.009136838869746196,0.009136838869746196
イレギュラーバウンド,0.009333166668797827,0.00037631658084001245,0.008956850087957813,0.008956850087957813
骨折,0.0021617940957180783,0.011074671092605572,-0.008912876996887493,0.008912876996887493
手術,0.0,0.008844945844311352,-0.008844945844311352,0.008844945844311352
唇,0.009891907327621813,0.0011276803803214957,0.008764226947300318,0.008764226947300318
れる,0.015849361727332985,0.024531544267897765,-0.00868218254056478,0.00868218254056478
登校,0.013616759120646714,0.004937025706683467,0.008679733413963248,0.008679733413963248
頬,0.0008936823824537044,0.009464581944952465,-0.008570899562498761,0.008570899562498761
口唇,0.009213919514999294,0.0007254183502474783,0.008488501164751815,0.008488501164751815
折る,0.008636852334367544,0.0001561315387240399,0.008480720795643505,0.008480720795643505
左手,0.0007833766818380452,0.008988096138613674,-0.008204719456775629,0.008204719456775629
相手,0.031149983472145124,0.022967340220980084,0.00818264325116504,0.00818264325116504
瘢痕,0.00010445958248354628,0.008166894692841958,-0.008062435110358411,0.008062435110358411
保育,0.0001097404382616729,0.00791332668313798,-0.007803586244876307,0.007803586244876307
残存,0.00013858700115122104,0.007879212820109857,-0.007740625818958635,0.007740625818958635
前方,0.011910837646934704,0.004180233088228507,0.007730604558706197,0.007730604558706197
欠損,0.009371790963852976,0.0017608363790909986,0.007610954584761978,0.007610954584761978
ぶつける,0.016614615169749714,0.009040289282278648,0.007574325887471065,0.007574325887471065
負傷,0.03400796753056911,0.026574586154181325,0.007433381376387785,0.007433381376387785
捕る,0.012098627862182201,0.004923707310916482,0.007174920551265719,0.007174920551265719
性,0.0007808921832080525,0.007892730063727024,-0.007111837880518971,0.007111837880518971
滑る,0.015164804947348492,0.008214216737659336,0.0069505882096891555,0.0069505882096891555
機能,0.00014112897884767609,0.006989905361097714,-0.006848776382250037,0.006848776382250037
児,0.0004156579949154428,0.0071085286239447746,-0.006692870629029332,0.006692870629029332
前輪,0.007626699809915433,0.0010017598544751673,0.006624939955440266,0.006624939955440266
救急,0.00287887480759978,0.00942300348868267,-0.0065441286810828895,0.0065441286810828895
ドア,0.0004985105247821163,0.007040834036572866,-0.0065423235117907505,0.0065423235117907505
顎,0.012070084216010121,0.005800651196343569,0.006269433019666552,0.006269433019666552
振る,0.009940311668977917,0.0037746459408361144,0.006165665728141803,0.006165665728141803
ソフトボール,0.010787638923595345,0.004629220775890484,0.006158418147704861,0.006158418147704861
状,0.0,0.006092741749911806,-0.006092741749911806,0.006092741749911806
病院,0.000425791764109362,0.0065170447420970345,-0.006091252977987673,0.006091252977987673
搬送,0.002589211655868727,0.00864737421234125,-0.006058162556472523,0.006058162556472523
外傷,0.0005424741516111978,0.006594573512022503,-0.006052099360411305,0.006052099360411305
前額,0.00016802610155407208,0.006161158372703692,-0.005993132271149619,0.005993132271149619
バッター,0.010232516379795487,0.00424317489536709,0.005989341484428397,0.005989341484428397
サッカー,0.009046518618954735,0.015031067819637383,-0.005984549200682648,0.005984549200682648
視力,0.00013910026982335059,0.005975142985583869,-0.005836042715760518,0.005836042715760518
練習,0.04189073823545035,0.03606032282375489,0.005830415411695461,0.005830415411695461
額,0.0029981371249903645,0.00878465075840505,-0.005786513633414685,0.005786513633414685
欠ける,0.005859856543761844,0.00010589231322886206,0.005753964230532982,0.005753964230532982
歯牙,0.005739121054818258,8.496948673512046e-05,0.0056541515680831374,0.0056541515680831374
窓,0.001204284291217088,0.006791491835190523,-0.005587207543973435,0.005587207543973435
割れる,0.0004902108506862771,0.006016351413215758,-0.005526140562529481,0.005526140562529481
遊ぶ,0.007995137790421413,0.013508801581411396,-0.005513663790989982,0.005513663790989982
試合,0.027765115435948607,0.02234465627088398,0.005420459165064628,0.005420459165064628
痕,0.0,0.005384787030152843,-0.005384787030152843,0.005384787030152843
上顎,0.005483521617652928,0.00012267891050254354,0.0053608427071503845,0.0053608427071503845
線,0.0001833687812338473,0.005535826584884109,-0.0053524578036502615,0.0053524578036502615
小指,0.0,0.005303712243544204,-0.005303712243544204,0.005303712243544204
打ちつける,0.009097856273606982,0.003880786360579233,0.005217069913027749,0.005217069913027749
受診,0.002069406411960365,0.007259706255024383,-0.0051902998430640186,0.0051902998430640186
痛み,0.0006621222605442892,0.005822517847893009,-0.00516039558734872,0.00516039558734872
接触,0.011420061069345405,0.006310946026043631,0.005109115043301774,0.005109115043301774
切る,0.0034557752197695076,0.008558120532122241,-0.005102345312352733,0.005102345312352733
耳,0.0,0.005037120731990538,-0.005037120731990538,0.005037120731990538
下り坂,0.0063537306290743405,0.0013377635701441683,0.005015967058930172,0.005015967058930172
関節,0.0,0.0049476371464515535,-0.0049476371464515535,0.0049476371464515535
室,0.003358097845111924,0.008286416572476809,-0.004928318727364885,0.004928318727364885
素振り,0.0057101525166320015,0.001006880140240598,0.004703272376391404,0.004703272376391404
部,0.04206941358406415,0.037385932591330766,0.004683480992733385,0.004683480992733385
落下,0.0032517732252174652,0.007923289519934783,-0.004671516294717317,0.004671516294717317
シャトル,0.0016022219991727225,0.006180151706345593,-0.00457792970717287,0.00457792970717287
ほお,0.0005528490418730014,0.0050688915755399255,-0.0045160425336669245,0.0045160425336669245
減退,0.0,0.004505860454598593,-0.004505860454598593,0.004505860454598593
前のめり,0.006625760405395198,0.00212815029866003,0.004497610106735168,0.004497610106735168
治療,0.003863114790806298,0.008356795851759543,-0.004493681060953245,0.004493681060953245
大腿,0.00011184700747864615,0.004518341247262357,-0.004406494239783711,0.004406494239783711
投げる,0.007654344059362387,0.011998589970307913,-0.004344245910945526,0.004344245910945526
股間,0.00038821345214649797,0.004731696775849512,-0.004343483323703014,0.004343483323703014
膝,0.006860977368288178,0.011169061181672477,-0.004308083813384299,0.004308083813384299
