N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,運動 場,687,671,8.7347,1
2,部 練習,618,617,8.0318,2
2,野球 部,605,602,7.8365,3
2,バランス 崩す,482,481,6.2614,4
2,眼 当たる,480,479,6.2354,5
2,練習 試合,380,376,4.8946,6
2,休憩 時間,372,372,4.8425,7
2,搬送 れる,351,351,4.5691,8
2,ボール 眼,246,246,3.2023,9
2,救急 車,230,215,2.7988,10
2,サッカー 部,206,206,2.6816,11
2,補綴 加える,202,201,2.6165,12
2,救急 搬送,201,201,2.6165,13
2,歯科 補綴,201,201,2.6165,14
2,外傷 性,197,169,2.1999,15
2,本 児,196,139,1.8094,16
2,眼 直撃,193,193,2.5124,17
2,瘢痕 残る,185,185,2.4082,18
2,飛ぶ くる,176,174,2.265,19
2,破る 折,172,171,2.226,20
2,蹴る ボール,171,171,2.226,21
2,相手 選手,170,147,1.9136,22
2,バッティング 練習,169,163,2.1218,23
2,病院 搬送,167,167,2.1739,24
2,前歯 本,165,157,2.0437,25
2,相手 チーム,164,157,2.0437,26
2,前額 部,162,140,1.8224,27
2,眼 負傷,160,160,2.0828,28
2,線 状,159,158,2.0568,29
2,試合 相手,158,158,2.0568,30
2,状 痕,158,158,2.0568,31
2,れる 治療,154,154,2.0047,32
2,痕 残る,151,151,1.9656,33
2,体育 体育館,148,148,1.9266,34
2,昼食 休憩,146,146,1.9005,35
2,足 滑る,140,140,1.8224,36
2,顔面 強打,140,140,1.8224,37
2,受診 治療,139,139,1.8094,38
2,崩す 転倒,139,139,1.8094,39
2,ボール 取る,133,127,1.6532,40
2,細 動,133,83,1.0804,41
2,障害 残る,132,130,1.6923,42
2,滑る せる,130,129,1.6793,43
2,打つ ボール,130,130,1.6923,44
2,部 試合,128,128,1.6662,45
2,強い 当たる,127,127,1.6532,46
2,車 病院,126,126,1.6402,47
2,自転車 登校,123,123,1.6011,48
2,転倒 顔面,123,123,1.6011,49
2,部 運動,119,119,1.5491,50
2,除 細,119,81,1.0544,51
2,うし ろ,117,111,1.4449,52
2,機能 障害,117,95,1.2367,53
2,顔面 当たる,116,115,1.497,54
2,バスケットボール 部,115,114,1.484,55
2,性 散る,112,111,1.4449,56
2,散る 瞳,112,111,1.4449,57
2,特定 時間,110,110,1.4319,58
